<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20131019,1041.23,1041,1041,1041.23,700000
20131211,1439.16,1439,1439,1439.16,15000
20131222,2158.74,2159,2159,2158.74,1658
20131225,2158.74,2159,2159,2158.74,3300
20140114,1525.51,1526,1526,1525.51,10042
20140210,1525.51,1526,1526,1525.51,15000
20140224,1525.51,1526,1526,1525.51,15000
20140302,1525.51,1526,1526,1525.51,3300
20140304,1525.51,1526,1526,1525.51,15000
20140310,1526.23,1526,1526,1526.23,469
20140326,1439.16,1439,1439,1439.16,15000
20140405,1151.33,1151,1151,1151.33,15000
20140414,1115.35,1115,1115,1115.35,10000
20140415,1079.37,1079,1079,1079.37,10000
20140426,1086.57,1087,1087,1086.57,2438
20140505,1151.33,1151,1043,1053.46,1100
20140510,1079.37,1079,1079,1079.37,100
20140514,1043.39,1043,1043,1043.39,10000
20140521,1007.41,1007,1007,1007.41,10000
20140602,1008.13,1008,1008,1008.13,15000
20140603,1007.41,1007,1007,1007.41,7562
20140623,1043.39,1043,1007,1034.04,3400
20140702,1014.47,1014,1014,1014.47,2000
20140706,1014.47,1014,1014,1014.47,15000
20140722,1014.47,1014,1014,1014.47,15000
20140726,1014.47,1014,1014,1014.47,5000
20140907,1212.86,1299,1213,1264.84,1250
20140916,866.33,866,866,866.33,1500
20141022,866.33,1343,866,1225.86,26810
20141028,1039.60,1040,1040,1039.60,5000
20141130,1342.81,1343,1343,1342.81,5000
20141224,867.20,953,867,948.63,10525
20150111,838.61,839,838,838.61,25000
20150125,788.36,788,788,788.36,5525
20150201,1022.27,1022,1022,1022.27,5525
20150207,1030.93,1031,1031,1030.93,15000
20150330,1039.60,1040,1040,1039.60,5000
20150405,1039.60,1040,1040,1039.60,5000
20150406,1039.60,1040,1040,1039.60,30000
20150524,1039.60,1040,1040,1039.60,5000
20151213,1043.94,1044,1044,1043.94,100
20160504,609.33,609,609,609.33,15000
20160607,628.45,628,628,628.45,3876
20160828,446.39,446,446,446.39,15000
20161206,483.15,483,483,483.15,15000
20170109,490.16,490,485,490.16,2000
20170114,483.15,483,483,483.15,135
20170123,525.17,525,481,502.41,15000
20170326,533.92,534,534,533.92,90
20170410,663.29,663,663,663.29,15000
20170416,729.52,730,730,729.52,15000
20170424,801.68,802,802,801.68,8000
20170426,881.75,882,882,881.75,14740
20170429,969.73,970,970,969.73,24071
20170501,1066.61,1067,1067,1066.61,16870
20170502,1172.38,1172,1172,1172.38,10783
20170503,1289.02,1289,1285,1289.02,451800
20170506,1289.02,1418,1289,1406.66,186870
20170507,1417.53,1418,1383,1410.61,36721
20170508,1542.08,1543,1270,1343.39,64693
20170509,1209.94,1210,1210,1209.94,12000
20170510,1089.34,1325,1089,1091.32,117778
20170513,1156.56,1200,1157,1187.21,28759
20170514,1187.21,1305,1187,1294.95,11126
20170515,1334.49,1334,1165,1185.23,27334
20170516,1302.86,1303,1285,1294.95,35848
20170520,1414.56,1424,1166,1342.40,17214
20170521,1208.95,1363,1209,1221.80,12320
20170524,1100.22,1101,1100,1100.22,42105
20170527,1209.94,1210,1210,1209.94,51636
20170529,1089.34,1262,1089,1096.26,25785
20170531,1186.22,1191,1186,1190.17,21545
20170606,1071.55,1072,1072,1071.55,25457
20170614,1087.37,1178,1087,1138.77,34400
20170617,1205.99,1206,1087,1107.14,12000
20170624,1042.88,1043,1038,1037.94,51526
20170625,1035.96,1036,998,1007.30,23845
20170701,1075.50,1076,907,914.38,23942
20170702,987.53,1005,988,992.47,36248
20170703,1091.32,1091,989,1045.85,9554
20170704,1148.65,1149,990,1023.11,24101
20170705,1097.25,1097,1066,1075.50,5210
20170709,996.42,996,969,974.67,24685
20170710,1071.55,1072,1071,1070.56,10645
20170712,963.80,1148,964,1025.09,17187
20170715,1037.94,1127,1028,1112.08,265550
20170716,1148.65,1223,1149,1219.83,214135
20170717,1339.44,1322,1098,1123.94,86758
20170813,1196.74,1296,1117,1150.87,137808
20170814,1216.69,1228,1138,1158.85,85519
20170815,1261.57,1262,1197,1158.85,3115
20170819,1156.85,1208,1147,1158.85,2425
20170822,1097.01,1117,1007,1142.89,222887
20170823,1166.82,1167,1167,1142.89,10173
20170826,1146.88,1147,1147,1142.89,8604
20170827,1246.61,1350,1147,1145.88,19034
20170828,1146.88,1147,1147,1145.88,12850
20170829,1146.88,1247,1141,1145.88,19814
20170830,1284.50,1285,1147,1145.88,11285
20170902,1246.61,1247,1247,1145.88,804
20170904,1216.69,1217,1109,1145.88,4944
20170905,1057.12,1202,1057,1145.88,1702
20170910,1057.12,1172,1057,1144.88,23883
20170911,1170.81,1171,1171,1145.88,13064
20170912,1067.10,1068,1057,1141.89,27451
20170917,1086.04,1097,1086,1090.03,10300
20170919,1047.15,1047,988,991.30,20371
20170924,1056.12,1090,997,1077.07,10553
20170925,1184.77,1185,1185,1184.77,43383
20170927,1184.77,1217,1118,1178.79,6195
20171007,1061.11,1061,1061,1061.11,8547
20171010,1156.85,1157,955,1081.06,34284
20171011,1186.77,1187,1007,1144.88,123457
20171014,1057.12,1259,1057,1256.58,159844
20171015,1293.48,1382,1293,1327.39,165878
20171016,1396.20,1460,1247,1386.23,279544
20171017,1247.60,1525,1248,1409.16,582514
20171018,1296.47,1526,1296,1454.04,70030
20171021,1366.28,1521,1309,1341.35,128741
20171023,1346.33,1346,1346,1346.33,800
20171025,1211.70,1212,1212,1211.70,39358
20171028,1276.52,1285,1097,1215.69,5843
20171029,1100.01,1336,1095,1252.59,181491
20171030,1376.25,1377,1341,1368.28,46452
20171101,1242.62,1346,1243,1278.52,66573
20171105,1196.74,1275,1197,1243.61,15325
20171106,1273.53,1275,1227,1268.55,59703
20171107,1273.53,1395,1269,1361.29,446867
20171108,1495.93,1496,1286,1388.22,12391144
20171111,1396.20,1396,1250,1285.50,5050033
20171112,1197.74,1286,1169,1202.73,15790335
20171113,1226.66,1227,1083,1109.98,21851053
20171114,1095.02,1147,1067,1119.95,6166389
20171115,1141.89,1172,1102,1131.92,11812971
20171118,1130.92,1131,1048,1071.08,9222545
20171120,1063.11,1063,1013,1026.21,6563959
20171121,1025.21,1026,962,984.32,8431478
20171122,982.33,982,912,929.47,13041307
20171125,947.42,977,917,938.45,11826956
20171126,954.40,954,919,934.46,2604774
20171128,937.45,954,893,906.53,10284615
20171129,907.53,908,843,853.68,17644770
20171202,846.70,847,801,808.80,21147609
20171203,808.80,827,763,786.86,22573382
20171204,768.91,784,718,739.99,21783140
20171205,718.05,768,688,711.06,22213039
20171209,708.07,712,678,687.13,23290938
20171210,678.15,683,657,667.18,24959483
20171211,656.21,733,638,693.11,70281809
20171225,767.91,768,768,767.91,5834157
20171226,787.86,845,773,822.76,62514276
20171227,848.69,870,799,834.73,23671629
20171230,801.82,802,753,773.89,14626925
20171231,753.95,755,697,716.05,22947455
20180101,720.04,787,720,764.92,32547060
20180102,767.91,831,748,792.84,72513859
20180103,815.78,872,816,854.67,71644745
20180106,887.58,935,875,901.55,72083437
20180107,897.56,920,840,869.63,58546215
20180108,843.70,892,833,863.65,25867157
20180109,854.67,889,848,867.64,24082736
20180110,861.65,890,853,869.63,28763919
20180113,872.62,889,857,871.63,17441563
20180114,858.66,871,843,854.67,15924724
20180115,854.67,864,842,851.68,12166589
20180116,842.71,858,808,819.77,12567417
20180117,827.75,854,818,834.73,7916404
20180120,837.72,857,825,833.73,10167153
20180121,836.72,837,780,795.83,11107994
20180122,798.83,808,748,765.91,11881327
20180123,763.92,787,735,770.90,8165759
20180124,787.86,807,768,782.87,6246300
20180127,776.89,779,758,761.93,5813031
20180128,758.93,785,756,766.91,6550893
20180129,762.92,768,738,746.97,9176621
20180130,753.95,766,738,743.97,4091678
20180131,751.95,752,723,733.00,5440127
20180203,727.02,737,720,729.02,5284750
