<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170108,2039.00,2039,2039,2039.00,28000000
20170109,2140.51,2141,2141,2140.51,48055
20170111,2247.31,2247,2247,2247.31,62660
20170114,2359.41,2359,2359,2359.41,72927
20170115,2476.81,2477,2477,2476.81,138785
20170116,2600.38,2600,2600,2600.38,454707
20170117,2730.14,2730,2730,2730.14,6311551
20170118,2866.07,2866,2866,2866.07,1275417
20170121,3009.07,3009,2791,2944.63,25347793
20170122,3004.65,3091,3001,3080.56,4244311
20170123,3151.18,3234,3090,3173.25,10303997
20170124,3089.39,3211,3073,3132.64,4037921
20170125,3204.14,3289,3191,3282.70,7945968
20170128,3439.82,3446,3364,3438.93,2004039
20170129,3610.17,3610,3610,3610.17,2175570
20170130,3788.48,3790,3626,3780.53,9127409
20170131,3698.44,3785,3592,3663.14,7682743
20170201,3662.25,3796,3654,3725.81,1942638
20170204,3732.87,3748,3540,3622.53,3258189
20170205,3574.87,3612,3490,3550.15,2164682
20170206,3531.62,3728,3531,3677.26,1966788
20170207,3676.38,3861,3676,3798.19,3056777
20170208,3892.63,3988,3796,3955.30,5036065
20170211,3961.48,4121,3811,3945.59,2410195
20170212,3892.63,4059,3831,3948.24,1653332
20170213,3890.87,3964,3751,3780.53,4252473
20170214,3655.19,3875,3655,3815.84,1577875
20170215,3844.97,3959,3810,3898.81,1375540
20170218,3875.86,4025,3876,3981.78,1062969
20170227,4547.58,4755,4503,4576.71,6744557
20170228,4612.02,4661,4480,4590.84,3384456
20170301,4501.68,4581,4361,4491.97,1672783
20170304,4336.62,4546,4294,4421.36,712474
20170305,4348.98,4502,4349,4430.19,1010546
20170306,4475.20,4651,4466,4611.14,8273998
20170307,4792.09,4842,4722,4811.51,1343869
20170308,4987.16,5049,4787,4921.84,2859345
20170311,4768.25,4855,4689,4751.48,1403771
20170312,4757.66,4970,4731,4865.35,1432596
20170313,4854.76,5108,4855,5074.55,1475889
20170314,5296.10,5328,5208,5315.52,1087658
20170315,5287.27,5575,5287,5545.90,1273087
20170318,5649.17,5808,5299,5571.50,970564
20170325,5349.06,5693,5349,5593.56,578118
20170326,5605.04,5781,5561,5676.54,933557
20170327,5684.48,5825,5473,5697.72,2166066
20170328,5719.79,5773,5413,5523.83,902550
20170329,5549.43,5561,5296,5474.40,720062
20170403,5305.81,5639,5306,5527.36,682390
20170404,5472.64,5569,5420,5536.19,895985
20170405,5393.19,5812,5393,5764.80,1073573
20170408,5825.71,6053,5826,6033.14,435305
20170409,6046.38,6334,6046,6318.25,924404
20170410,6355.32,6633,6355,6588.35,2474937
20170412,6591.88,6795,6267,6572.46,777726
20170415,6531.86,6793,6244,6564.51,873341
20170416,6389.74,6390,6237,6243.22,402960
20170417,6372.97,6373,5932,6046.38,1158829
20170418,5744.50,6037,5745,5851.31,1296727
20170419,5931.63,6143,5932,6104.64,619807
20170422,6081.69,6143,5800,5843.36,1439389
20170423,5913.98,6136,5844,6049.03,3333842
20170424,6037.55,6160,5861,5954.58,764567
20170426,5838.95,6072,5657,5720.67,2298495
20170429,5719.79,5808,5435,5451.45,1910753
20170430,5560.90,5723,5561,5710.96,637779
20170501,5913.98,5914,5543,5689.78,590966
20170502,5720.67,5861,5649,5758.63,764334
20170503,5574.14,5822,5574,5703.02,1387856
20170506,5579.44,5988,5579,5881.32,2394399
20170507,6115.23,6115,5752,5993.42,733181
20170508,5958.11,6064,5694,5779.81,1479166
20170509,5570.61,5744,5491,5501.76,729563
20170510,5429.38,5614,5429,5556.49,2735321
20170513,5578.56,5656,5279,5358.77,614041
20170514,5295.22,5409,5091,5173.41,456884
20170515,4928.02,5049,4915,4924.49,1752432
20170516,4995.99,5170,4812,5145.16,1132521
20170517,5159.28,5383,5130,5217.54,364953
20170520,5364.95,5365,5096,5229.90,285313
20170521,5120.45,5181,4969,4971.27,1106716
20170522,5030.41,5219,5030,5205.18,1909972
20170523,5284.62,5428,5263,5343.76,1043867
20170524,5375.54,5512,5367,5426.74,514426
20170527,5511.47,5511,5296,5381.72,606724
20170528,5366.71,5605,5367,5454.10,632233
20170529,5473.52,5474,5296,5369.36,399404
20170530,5466.46,5466,5219,5360.53,204283
20170531,5296.10,5427,5225,5318.17,358303
20170603,5327.88,5406,5052,5247.55,478735
20170613,5344.30,5344,4986,5175.68,126748
20170614,5339.69,5340,4986,5195.95,129996
20170617,5294.54,5379,4953,5206.09,428910
20170618,5215.30,5372,5159,5242.02,51925
20170619,5004.29,5338,5004,5042.99,97126
20170620,5042.99,5230,4976,5030.09,37066
20170621,4972.96,5204,4787,4897.41,208479
20170624,4994.16,5106,4856,5013.51,107718
20170625,5066.95,5067,4884,4937.95,128523
20170628,5045.76,5184,5046,5141.59,240361
20170701,5206.09,5380,5206,5322.19,145711
20170702,5380.24,5436,5245,5341.54,137035
20170703,5160.02,5251,5075,5081.69,406368
20170704,5021.80,5168,4931,4960.99,46900
20170705,4966.51,5068,4713,4867.92,365916
20170708,5055.89,5057,4732,5019.96,206681
20170709,5020.88,5271,5021,5251.24,533409
20170710,5335.09,5513,5072,5432.76,1167049
20170711,5482.52,5525,5344,5441.97,742258
20170712,5444.74,5445,5170,5203.32,420955
20170715,5279.80,5463,5221,5442.89,1053187
20170716,5275.19,5621,5275,5576.50,1872716
20170717,5680.62,5692,5350,5627.18,636417
20170718,5643.77,5757,5575,5684.31,376309
20170719,5528.59,5752,5446,5672.33,280978
20170722,5492.65,5745,5493,5591.25,228767
20170723,5325.87,5618,5312,5365.49,904061
20170724,5344.30,5619,5344,5533.20,506470
20170725,5573.74,5708,5312,5564.52,341672
20170726,5353.52,5445,5287,5299.15,335134
20170729,5389.45,5389,5035,5061.42,223005
20170730,5034.70,5151,4855,4988.63,66579
20170731,5186.74,5188,5022,5066.03,47879
20170801,5146.19,5146,4897,4957.30,120553
20170802,4957.30,5149,4932,5010.74,141918
20170806,5160.02,5160,4957,5016.27,29194
20170807,4950.85,5068,4838,4903.86,103342
20170808,4828.30,5046,4828,4951.77,144221
20170809,5067.87,5068,4854,4890.04,128106
20170812,4791.44,4881,4692,4754.59,170142
20170813,4754.59,4882,4699,4740.76,99561
20170814,4653.23,4745,4652,4657.84,92618
20170815,4745.37,4790,4603,4655.99,165420
20170816,4668.89,4788,4607,4681.79,105278
20170819,4736.16,4744,4448,4475.39,327640
20170820,4422.87,4515,4287,4429.32,210877
