<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20161009,1000000.00,1000000,1000000,1000000.00,480000,48,ParsianLotus Ijara-a
20161106,1000000.00,1000000,1000000,1000000.00,17000,5,ParsianLotus Ijara-a
20170523,1000000.00,1000000,1000000,1000000.00,1000,1,ParsianLotus Ijara-a
20180318,1000000.00,1000000,1000000,1000000.00,1000,1,ParsianLotus Ijara-a
20180528,1010000.00,1010000,1010000,1010000.00,1,1,ParsianLotus Ijara-a
20180625,1000000.00,1000000,650000,766667.00,7500,2,ParsianLotus Ijara-a
20180701,1000000.00,1000000,1000000,1000000.00,200,1,ParsianLotus Ijara-a
20180702,1000000.00,1000000,1000000,1000000.00,1,1,ParsianLotus Ijara-a
20180718,1010000.00,1010000,1010000,1010000.00,9,1,ParsianLotus Ijara-a
20180722,1010000.00,1010000,1000000,1001000.00,10,2,ParsianLotus Ijara-a
20180724,1000000.00,1010000,1000000,1007500.00,4,2,ParsianLotus Ijara-a
20180731,1010000.00,1010000,1000000,1005000.00,20,4,ParsianLotus Ijara-a
20180801,1010000.00,1010000,901552,955776.00,20,2,ParsianLotus Ijara-a
20180804,901552.00,901552,901552,901552.00,3680,5,ParsianLotus Ijara-a
20180805,902905.00,1010000,902905,903276.00,3691,3,ParsianLotus Ijara-a
20180807,1000000.00,1010000,1000000,1009973.00,3709,3,ParsianLotus Ijara-a
20180827,1000000.00,1000000,900001,915385.00,1300,2,ParsianLotus Ijara-a
20180925,981000.00,981000,981000,981000.00,6000,1,ParsianLotus Ijara-a
20180930,900002.00,900002,900002,900002.00,1100,1,ParsianLotus Ijara-a
20181002,900001.00,900001,900001,900001.00,1,1,ParsianLotus Ijara-a
20181117,1000000.00,1000000,1000000,1000000.00,1000,1,ParsianLotus Ijara-a
20181118,1010000.00,1010000,1010000,1010000.00,11,1,ParsianLotus Ijara-a
20181119,1000001.00,1000001,1000001,1000001.00,11,2,ParsianLotus Ijara-a
20181203,1009999.00,1009999,1000001,1005106.00,47,6,ParsianLotus Ijara-a
20181209,1000001.00,1000001,1000001,1000001.00,1,1,ParsianLotus Ijara-a
20190122,1009999.00,1009999,1009999,1009999.00,5,3,ParsianLotus Ijara-a
20190123,1009999.00,1009999,1000001,1001381.00,21,8,ParsianLotus Ijara-a
20190126,1000001.00,1000001,1000001,1000001.00,13,3,ParsianLotus Ijara-a
20190127,1001000.00,1001000,1001000,1001000.00,1,1,ParsianLotus Ijara-a
20190129,1001000.00,1001000,1001000,1001000.00,1,1,ParsianLotus Ijara-a
20190130,1000001.00,1000001,1000001,1000001.00,2,1,ParsianLotus Ijara-a
20190202,1000001.00,1000001,1000001,1000001.00,2,2,ParsianLotus Ijara-a
20190219,1000001.00,1000001,1000001,1000001.00,2,1,ParsianLotus Ijara-a
20190225,1000001.00,1000001,1000001,1000001.00,1,1,ParsianLotus Ijara-a
20190615,1001000.00,1001000,1001000,1001000.00,9,1,ParsianLotus Ijara-a
20190616,1000001.00,1000001,1000001,1000001.00,9,1,ParsianLotus Ijara-a
20190626,1001000.00,1001000,1001000,1001000.00,3,1,ParsianLotus Ijara-a
20190702,1000001.00,1000001,1000001,1000001.00,3,1,ParsianLotus Ijara-a
20190727,1001000.00,1001000,1001000,1001000.00,1,1,ParsianLotus Ijara-a
20190729,1000001.00,1000001,1000001,1000001.00,1,1,ParsianLotus Ijara-a
20190824,1001000.00,1001000,1001000,1001000.00,2,2,ParsianLotus Ijara-a
20190827,1000001.00,1000001,1000001,1000001.00,1,1,ParsianLotus Ijara-a
20190902,1001000.00,1001000,1001000,1001000.00,1,1,ParsianLotus Ijara-a
20190914,1000001.00,1000001,1000001,1000001.00,2,1,ParsianLotus Ijara-a
20190917,1000001.00,1000001,1000001,1000001.00,1,1,ParsianLotus Ijara-a
20190922,1001000.00,1001000,1001000,1001000.00,4,1,ParsianLotus Ijara-a
20190925,1001000.00,1001000.00,1001000.00,1001000.00,16,1,ParsianLotus Ijara-a
