<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20130217,150.00,199,150,165.00,67101,106,ثترانح-ت
20130218,173.00,173,172,173.00,1181000,359,ثترانح-ت
20130219,181.00,181,181,181.00,36162,6,ثترانح-ت
20130220,190.00,190,190,190.00,2492488,150,ثترانح-ت
20130223,199.00,199,199,199.00,1423650,149,ثترانح-ت
20130224,208.00,208,192,207.00,2157486,227,ثترانح-ت
20130225,217.00,217,198,210.00,1120028,127,ثترانح-ت
20130226,219.00,219,209,214.00,463519,135,ثترانح-ت
20130227,205.00,220,204,211.00,476910,101,ثترانح-ت
20130302,202.00,207,201,201.00,112200,39,ثترانح-ت
20130303,192.00,209,191,193.00,812423,111,ثترانح-ت
20130304,190.00,201,184,191.00,540095,133,ثترانح-ت
20130305,192.00,200,190,196.00,315028,44,ثترانح-ت
20130306,190.00,203,187,195.00,366947,78,ثترانح-ت
20130309,190.00,201,186,187.00,413000,84,ثترانح-ت
20130310,179.00,190,178,181.00,682720,245,ثترانح-ت
20130311,180.00,180,172,172.00,219102,57,ثترانح-ت
20130312,164.00,166,164,164.00,290183,37,ثترانح-ت
20130313,156.00,164,156,157.00,260003,43,ثترانح-ت
20130316,159.00,162,151,156.00,194161,36,ثترانح-ت
20130317,160.00,160,150,151.00,25300,9,ثترانح-ت
20130318,156.00,158,155,158.00,547969,79,ثترانح-ت
20130325,164.00,165,164,165.00,110266,22,ثترانح-ت
20130326,173.00,173,157,162.00,1276984,158,ثترانح-ت
20130327,162.00,167,155,162.00,767704,159,ثترانح-ت
20130330,161.00,170,156,168.00,1454546,217,ثترانح-ت
20130331,164.00,174,162,170.00,680709,107,ثترانح-ت
20130403,172.00,176,162,169.00,771933,325,ثترانح-ت
20130406,165.00,169,161,161.00,1286044,227,ثترانح-ت
20130407,154.00,155,153,153.00,2610760,507,ثترانح-ت
