<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20120624,621.62,622,543,543.98,690000000,3292,شبندر-ت
20120625,552.55,562,546,553.98,70242200,4041,شبندر-ت
20120626,549.69,552,532,538.74,46616885,2363,شبندر-ت
20120627,524.92,538,517,522.06,69730343,2728,شبندر-ت
20120630,542.55,543,543,531.11,1860845,63,شبندر-ت
20120701,552.07,552,546,552.07,39983891,1570,شبندر-ت
20120702,565.89,574,562,570.65,27152077,1259,شبندر-ت
20120703,593.04,593,577,591.61,83796323,3664,شبندر-ت
20120704,609.23,615,594,608.76,40897212,2699,شبندر-ت
20120707,614.47,633,614,629.72,35427063,2026,شبندر-ت
20120708,647.82,654,639,653.53,53147693,2712,شبندر-ت
20120709,662.11,678,653,665.92,42859419,2526,شبندر-ت
20120710,650.20,665,640,646.86,25835476,1876,شبندر-ت
20120825,719.27,748,719,741.18,10959739,360,شبندر-ت
20120826,770.71,771,771,770.71,4881580,206,شبندر-ت
20120827,801.20,801,781,800.72,111406235,3926,شبندر-ت
20120902,805.96,833,805,821.20,27549716,1514,شبندر-ت
20120903,843.12,854,838,852.17,14281795,560,شبندر-ت
20120904,885.99,886,886,885.99,4140000,91,شبندر-ت
20120905,921.23,921,891,914.09,73942088,3687,شبندر-ت
20120908,924.09,950,885,918.38,38117638,5367,شبندر-ت
20120909,897.89,904,882,882.65,39152196,1721,شبندر-ت
20120910,895.51,918,883,902.18,90860279,3298,شبندر-ت
20120911,890.75,913,866,877.89,29403622,2465,شبندر-ت
20120915,882.17,913,875,908.85,37069829,4210,شبندر-ت
20120916,926.00,926,891,907.42,18214588,1270,شبندر-ت
20120917,910.28,944,910,933.62,31763800,1379,شبندر-ت
20120918,970.77,971,963,970.77,31739792,916,شبندر-ت
20120919,985.06,1009,981,1003.64,96194620,4560,شبندر-ت
20120922,1019.36,1044,1007,1041.75,74806038,4088,شبندر-ت
20120923,1062.71,1071,1000,1025.55,30593784,2191,شبندر-ت
20120924,984.59,1023,985,989.83,43705551,2438,شبندر-ت
