<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20051102,200.20,200,200,200.20,6668972
20051105,208.01,210,202,206.01,1961855
20051106,208.21,216,206,209.01,2196166
20051107,210.21,212,208,209.61,1057001
20051108,210.21,211,206,209.01,577387
20051109,208.01,209,202,208.21,562709
20051112,209.81,210,206,208.21,335184
20051113,207.61,208,206,207.81,334596
20051114,206.81,207,204,207.41,262832
20051115,206.21,207,203,206.61,333769
20051116,203.60,206,203,206.21,144644
20051119,204.20,206,202,205.81,109130
20051120,202.80,206,202,205.61,78888
20051121,201.60,205,202,205.41,85659
20051122,201.40,205,201,205.01,182767
20051123,203.20,208,201,204.81,427386
20051126,208.21,215,208,208.21,771002
20051127,218.62,219,204,211.81,793351
20051129,221.22,222,210,214.21,581176
20051130,224.83,225,220,220.02,1131532
20051203,230.83,231,215,230.83,13227588
20051204,242.24,242,242,242.24,2116868
20051205,254.25,254,240,246.05,974673
20051206,258.26,258,258,258.26,2135726
20051210,271.07,271,259,270.87,2782187
20051211,284.28,284,282,284.08,2942180
20051212,298.10,298,280,295.70,6041487
20051213,296.30,306,290,298.30,2216799
20051214,296.50,296,283,293.49,826070
20051217,278.88,291,279,291.09,325653
20051218,276.68,289,277,289.29,246059
20051219,274.88,281,275,281.08,1136682
20051220,267.07,279,267,272.87,1478009
20051221,272.87,274,268,272.07,600998
20051224,280.08,285,278,279.88,1450520
20051225,288.29,288,271,280.28,712367
20051226,283.08,288,276,280.48,248893
20051227,280.88,285,272,280.28,384047
20051228,280.28,284,277,280.28,363032
20051231,280.28,280,240,280.08,548904
20060101,279.68,280,269,279.28,190383
20060102,278.08,280,273,279.08,196562
20060103,276.88,280,273,278.68,284699
20060104,278.28,278,267,278.48,95051
20060107,271.47,278,265,277.68,127855
20060108,263.86,275,264,274.88,414707
20060109,266.87,274,263,274.07,149833
20060110,265.27,272,260,272.07,333751
20060114,258.66,272,259,271.87,16647
20060115,258.46,272,258,271.67,28793
20060116,258.26,271,258,271.27,45089
20060117,257.86,268,258,267.67,574107
20060118,267.67,268,257,267.47,75743
20060121,260.26,267,254,266.67,121818
20060122,253.45,266,253,266.07,71625
20060123,252.85,266,253,265.67,37922
20060124,252.45,265,252,265.47,13111
20060125,252.25,265,252,264.87,70831
20060128,251.65,265,252,264.67,14539
20060129,251.45,262,251,261.66,465881
20060130,250.25,261,249,260.86,117583
20060131,247.85,260,248,260.46,52845
20060201,247.45,260,247,260.26,27044
20060204,247.25,260,247,259.86,32607
20060205,247.05,260,247,259.66,1492
20060206,246.85,259,247,259.46,6475
20060207,246.65,259,247,259.26,2322
20060212,246.45,259,246,259.06,3240
20060214,246.25,259,246,258.86,13748
20060215,253.85,259,254,258.66,9662
20060218,253.65,258,254,258.46,5029
20060219,253.45,258,253,258.26,2462
20060220,253.25,258,253,258.06,3541
20060221,253.05,258,253,257.86,17545
20060222,252.85,258,253,257.66,18424
20060225,252.65,257,253,257.46,29777
20060226,252.45,257,252,257.26,20640
20060227,252.25,257,252,257.06,26131
20060228,252.05,257,252,256.86,70716
20060301,251.85,257,252,256.66,2144
20060304,251.65,256,252,256.46,7043
20060305,251.45,256,251,256.26,17190
20060306,251.25,256,251,256.06,4125
20060307,251.05,256,251,255.86,23350
20060308,250.85,256,251,255.66,14700
20060312,250.65,255,251,255.46,27520
20060313,250.45,255,250,255.26,6403
