<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010326,884.03,884,884,883.90,1913,5,Iran Glass Wool-a
20010410,885.81,893,886,893.47,722,3,Iran Glass Wool-a
20010411,893.47,893,893,893.47,1447,2,Iran Glass Wool-a
20010414,887.73,888,888,887.73,2000,1,Iran Glass Wool-a
20010415,887.73,888,888,887.73,67,1,Iran Glass Wool-a
20010416,887.73,888,888,887.73,67,1,Iran Glass Wool-a
20010417,887.86,888,888,887.86,67,1,Iran Glass Wool-a
20010418,888.49,888,888,888.49,266,4,Iran Glass Wool-a
20010421,888.75,889,889,888.88,637,4,Iran Glass Wool-a
20010422,890.41,906,890,906.24,9218,2,Iran Glass Wool-a
20010423,906.24,906,906,906.24,67,1,Iran Glass Wool-a
20010424,907.00,907,907,907.00,6404,1,Iran Glass Wool-a
20010425,908.15,909,908,908.92,327,3,Iran Glass Wool-a
20010428,909.17,909,909,909.43,1481,4,Iran Glass Wool-a
20010429,912.75,913,913,912.87,665,2,Iran Glass Wool-a
20010501,913.38,913,913,913.38,67,1,Iran Glass Wool-a
20010505,913.64,914,914,913.64,140,1,Iran Glass Wool-a
20010506,915.30,915,915,915.30,1099,2,Iran Glass Wool-a
20010508,915.43,915,915,915.43,460,1,Iran Glass Wool-a
20010512,918.75,932,919,931.76,2214,2,Iran Glass Wool-a
20010513,931.76,932,932,931.76,368,2,Iran Glass Wool-a
20010515,931.89,932,932,931.76,210,3,Iran Glass Wool-a
20010516,931.76,932,932,931.76,657,5,Iran Glass Wool-a
20010519,931.76,932,932,931.76,3719,4,Iran Glass Wool-a
20010520,931.76,932,932,931.76,281,2,Iran Glass Wool-a
20010523,932.15,933,932,933.17,2380,5,Iran Glass Wool-a
20010527,934.19,945,934,944.53,1067,2,Iran Glass Wool-a
20010530,945.17,945,945,945.17,44,1,Iran Glass Wool-a
20010606,954.99,957,955,956.53,900,4,Iran Glass Wool-a
20010611,960.36,960,960,960.36,200,1,Iran Glass Wool-a
20010612,961.25,961,961,961.25,274,3,Iran Glass Wool-a
20010613,962.53,963,962,962.40,8721,15,Iran Glass Wool-a
20010616,962.40,962,962,962.40,600,5,Iran Glass Wool-a
20010617,962.27,962,962,962.40,990,8,Iran Glass Wool-a
20010618,962.40,962,962,962.40,3426,6,Iran Glass Wool-a
20010619,962.40,963,962,962.53,1613,9,Iran Glass Wool-a
20010620,962.53,963,963,962.53,516,2,Iran Glass Wool-a
20010623,962.65,966,963,965.59,12118,25,Iran Glass Wool-a
20010624,965.97,966,966,965.97,1894,4,Iran Glass Wool-a
20010625,966.10,966,966,966.35,1403,3,Iran Glass Wool-a
20010626,966.35,966,966,965.84,14027,14,Iran Glass Wool-a
20010627,965.84,966,966,966.10,544,3,Iran Glass Wool-a
20010630,966.35,967,966,966.87,516,2,Iran Glass Wool-a
20010701,967.12,968,967,967.50,19408,6,Iran Glass Wool-a
20010702,966.87,968,967,967.50,14382,9,Iran Glass Wool-a
20010703,970.06,970,970,970.18,1133,3,Iran Glass Wool-a
20010704,972.10,1019,972,976.44,20167,19,Iran Glass Wool-a
20010731,873.05,875,873,875.09,1150,3,Iran Glass Wool-a
20010801,881.47,906,881,906.24,1191,3,Iran Glass Wool-a
20010804,931.76,932,932,931.76,1000,1,Iran Glass Wool-a
20010806,931.76,932,932,931.76,5010,22,Iran Glass Wool-a
20010807,931.76,932,932,931.76,1097,5,Iran Glass Wool-a
20010808,931.76,932,932,931.76,140,1,Iran Glass Wool-a
20010812,932.28,933,932,932.53,1067,2,Iran Glass Wool-a
20010813,944.53,945,945,944.53,1441,4,Iran Glass Wool-a
20010814,945.04,946,945,945.68,207,2,Iran Glass Wool-a
20010815,947.46,948,947,948.10,2599,3,Iran Glass Wool-a
20010819,949.63,950,950,949.63,287,2,Iran Glass Wool-a
20010820,950.27,951,950,950.78,274,3,Iran Glass Wool-a
20010822,951.55,964,951,963.67,10279,11,Iran Glass Wool-a
20010825,963.93,964,964,964.06,284,3,Iran Glass Wool-a
20010902,1012.18,1012,1012,1012.18,8252,17,Iran Glass Wool-a
20010903,1012.18,1012,1012,1012.18,1000,2,Iran Glass Wool-a
20010905,1008.22,1012,1006,1008.35,1098,6,Iran Glass Wool-a
20010915,970.06,970,966,965.84,2115,2,Iran Glass Wool-a
20010922,957.29,957,957,957.29,264,1,Iran Glass Wool-a
20010925,956.02,956,945,944.53,2203,10,Iran Glass Wool-a
20010926,931.76,932,932,931.76,1000,8,Iran Glass Wool-a
20010929,930.36,930,925,925.38,600,8,Iran Glass Wool-a
20010930,924.11,928,879,927.81,4600,13,Iran Glass Wool-a
20011002,926.40,926,926,926.28,150,3,Iran Glass Wool-a
20011003,926.28,926,919,919.00,450,5,Iran Glass Wool-a
20011006,919.00,919,913,919.00,7700,21,Iran Glass Wool-a
20011007,918.87,919,919,919.00,10100,11,Iran Glass Wool-a
20011008,918.87,919,916,916.45,240,4,Iran Glass Wool-a
20011009,916.06,916,915,916.06,178,4,Iran Glass Wool-a
20011010,915.17,915,915,914.92,150,2,Iran Glass Wool-a
20011013,914.92,915,915,914.92,6000,9,Iran Glass Wool-a
20011014,914.92,915,914,914.92,200,4,Iran Glass Wool-a
20011017,913.90,914,913,913.26,282,4,Iran Glass Wool-a
20011022,914.66,915,915,915.17,3000,7,Iran Glass Wool-a
20011030,913.64,914,911,911.34,150,2,Iran Glass Wool-a
20011031,911.21,911,909,908.79,266,4,Iran Glass Wool-a
20011103,908.66,909,909,908.66,50,1,Iran Glass Wool-a
20011105,908.41,909,908,908.66,2890,5,Iran Glass Wool-a
20011107,908.28,909,908,908.41,2150,5,Iran Glass Wool-a
20011111,906.24,906,905,906.24,862,4,Iran Glass Wool-a
20011112,904.96,905,905,904.96,923,2,Iran Glass Wool-a
20011113,904.96,905,905,904.96,180,3,Iran Glass Wool-a
20011114,902.41,902,902,902.41,163,1,Iran Glass Wool-a
20011118,902.41,902,902,902.41,20,1,Iran Glass Wool-a
20011120,901.77,909,901,908.53,1334,7,Iran Glass Wool-a
20011121,919.00,919,919,919.00,3456,1,Iran Glass Wool-a
20011124,919.00,919,919,919.00,258,1,Iran Glass Wool-a
20011125,919.00,919,919,919.00,3716,3,Iran Glass Wool-a
20011126,919.13,925,919,925.38,5758,5,Iran Glass Wool-a
20011202,925.38,925,925,925.38,1305,2,Iran Glass Wool-a
20011208,907.51,925,908,907.51,3896,3,Iran Glass Wool-a
20011209,909.17,909,909,909.30,5000,3,Iran Glass Wool-a
20011210,919.00,932,919,931.76,10000,4,Iran Glass Wool-a
20011211,931.76,934,932,933.68,18075,11,Iran Glass Wool-a
20011215,933.68,934,934,933.68,2800,4,Iran Glass Wool-a
20011217,933.55,934,934,933.55,12,1,Iran Glass Wool-a
20011218,933.55,934,934,933.55,300,3,Iran Glass Wool-a
20011222,933.55,934,934,933.68,429,5,Iran Glass Wool-a
20011223,933.68,934,934,933.93,518,2,Iran Glass Wool-a
20011224,934.06,934,934,934.19,2220,3,Iran Glass Wool-a
20011225,934.57,935,935,935.08,925,3,Iran Glass Wool-a
20011226,936.10,938,936,937.64,1054,2,Iran Glass Wool-a
20011230,939.68,941,940,940.70,1259,3,Iran Glass Wool-a
20011231,941.34,947,941,946.83,5395,5,Iran Glass Wool-a
20020101,946.95,947,947,946.95,67,1,Iran Glass Wool-a
20020102,950.91,951,951,950.78,1260,2,Iran Glass Wool-a
20020105,951.42,952,951,951.42,4214,3,Iran Glass Wool-a
20020106,951.42,951,951,951.42,2400,2,Iran Glass Wool-a
20020107,951.17,952,951,951.42,6357,11,Iran Glass Wool-a
20020108,951.42,951,951,951.42,191,1,Iran Glass Wool-a
20020113,951.42,951,951,951.29,10258,3,Iran Glass Wool-a
20020115,951.17,951,951,951.29,212,3,Iran Glass Wool-a
20020116,951.29,951,951,951.29,6,1,Iran Glass Wool-a
20020120,951.29,951,951,951.29,200,1,Iran Glass Wool-a
20020122,950.91,951,945,944.53,758,7,Iran Glass Wool-a
20020123,944.53,945,945,944.53,50,1,Iran Glass Wool-a
20020126,944.53,951,945,951.29,1400,8,Iran Glass Wool-a
20020128,950.91,951,951,950.91,1280,3,Iran Glass Wool-a
20020130,944.53,951,945,951.04,3374,9,Iran Glass Wool-a
20020203,950.91,951,951,951.04,2707,4,Iran Glass Wool-a
20020206,951.04,951,950,949.63,322,3,Iran Glass Wool-a
20020209,949.63,950,950,949.76,2900,3,Iran Glass Wool-a
