<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20120205,5170.41,5170,5170,5170.41,20000,2,Meyar Sanat-a
20120207,5022.69,5023,5023,5022.69,1820,3,Meyar Sanat-a
20120208,5022.69,5023,5023,5022.69,1600,5,Meyar Sanat-a
20120429,5022.69,5023,5023,5022.69,10000,10,Meyar Sanat-a
20131125,1477.26,1477,1477,1477.26,383657,12,Meyar Sanat-a
20131225,1477.26,1477,1477,1477.26,73182,1,Meyar Sanat-a
20131230,1477.26,1477,1477,1477.26,1732840,2,Meyar Sanat-a
20140114,1624.99,1625,1625,1624.99,4298137,6,Meyar Sanat-a
20140929,1624.99,1625,1625,1624.99,1107852,3,Meyar Sanat-a
20150107,1624.99,1625,1625,1624.99,7000,4,Meyar Sanat-a
20150114,1048.86,1049,1049,1048.86,5668,1,Meyar Sanat-a
20150118,1477.26,1477,1477,1477.26,5668,1,Meyar Sanat-a
20150301,1477.26,1477,1477,1477.26,200000,1,Meyar Sanat-a
20150517,741.58,742,742,741.58,3000,1,Meyar Sanat-a
20150721,1035.56,1036,1036,1035.56,3000,1,Meyar Sanat-a
20160105,1035.56,1036,1036,1035.56,7000,1,Meyar Sanat-a
20160106,1034.08,1034,1034,1034.08,5932,2,Meyar Sanat-a
20160109,1034.08,1034,1034,1034.08,1000,1,Meyar Sanat-a
20160116,1034.08,1034,1034,1034.08,10200,1,Meyar Sanat-a
20160120,1034.08,1034,1034,1034.08,17115,1,Meyar Sanat-a
20160425,1034.08,1034,1034,1034.08,30000,3,Meyar Sanat-a
20160611,1107.95,1108,1108,1107.95,60000,2,Meyar Sanat-a
20160702,1181.81,1183,1182,1183.29,50000,2,Meyar Sanat-a
20160831,1181.81,1182,1182,1181.81,100,1,Meyar Sanat-a
20170313,1196.58,1197,1197,1196.58,1500,1,Meyar Sanat-a
20170318,1076.92,1077,1077,1076.92,8500,2,Meyar Sanat-a
20170412,745.34,745,745,745.34,7010,1,Meyar Sanat-a
20170415,785.08,785,785,785.08,2000,1,Meyar Sanat-a
20170528,861.65,863,862,862.62,45009,2,Meyar Sanat-a
20170606,948.88,949,949,948.88,11009,3,Meyar Sanat-a
20170607,1042.89,1043,1043,1042.89,15000,1,Meyar Sanat-a
20170610,1146.60,1147,1147,1146.60,17976,12,Meyar Sanat-a
20170618,1260.97,1261,1261,1260.97,8000,2,Meyar Sanat-a
20170619,1386.97,1387,1387,1386.97,14948,2,Meyar Sanat-a
20170718,1525.57,1526,1526,1525.57,4057,3,Meyar Sanat-a
20170806,1525.57,1526,1526,1525.57,528275,42,Meyar Sanat-a
20170814,1677.74,1678,1678,1677.74,59900,3,Meyar Sanat-a
20170816,1845.42,1845,1845,1845.42,88970,4,Meyar Sanat-a
20170820,2029.57,2030,2030,2029.57,3285810,175,Meyar Sanat-a
20170821,2224.38,2224,1863,2044.11,2076878,183,Meyar Sanat-a
20170822,1881.28,2035,1844,1958.82,778795,127,Meyar Sanat-a
20170823,1967.54,2076,1832,1950.09,1250025,145,Meyar Sanat-a
20170826,1794.05,1909,1760,1789.20,613989,81,Meyar Sanat-a
20170827,1679.68,1871,1679,1750.43,485118,148,Meyar Sanat-a
20170828,1812.46,1925,1812,1909.38,441726,62,Meyar Sanat-a
20170829,1977.23,2073,1890,2015.03,3326815,188,Meyar Sanat-a
20170830,2080.94,2215,2045,2104.20,1411778,163,Meyar Sanat-a
20170902,2215.66,2306,2095,2213.72,1079700,180,Meyar Sanat-a
20170903,2216.63,2217,1993,2050.89,1668723,168,Meyar Sanat-a
20170904,2063.49,2065,1910,1996.62,634643,59,Meyar Sanat-a
20170905,1938.46,2035,1812,1905.51,899862,109,Meyar Sanat-a
20170906,1880.31,1987,1771,1935.55,339466,38,Meyar Sanat-a
20170910,1851.23,1968,1812,1830.88,47446,13,Meyar Sanat-a
20170911,1648.66,1722,1649,1650.60,1545058,156,Meyar Sanat-a
20170912,1504.25,1550,1486,1498.43,673264,116,Meyar Sanat-a
20170913,1405.38,1560,1396,1455.78,483911,54,Meyar Sanat-a
20170916,1455.78,1601,1334,1366.62,1117613,114,Meyar Sanat-a
20170925,1453.85,1454,1358,1450.94,395094,67,Meyar Sanat-a
20170927,1450.94,1451,1451,1450.94,22170,3,Meyar Sanat-a
20171002,1453.85,1454,1401,1430.58,43100,8,Meyar Sanat-a
20171004,1430.58,1431,1289,1301.68,266071,11,Meyar Sanat-a
20171007,1301.68,1302,1299,1301.68,603995,27,Meyar Sanat-a
20171009,1301.68,1302,1302,1301.68,122775,21,Meyar Sanat-a
20171011,1419.92,1420,1313,1315.25,33700,6,Meyar Sanat-a
20171014,1355.95,1356,1313,1326.88,15896,7,Meyar Sanat-a
20171016,1309.43,1309,1309,1309.43,69782,20,Meyar Sanat-a
20171018,1309.43,1318,1309,1310.40,134246,20,Meyar Sanat-a
20171021,1319.12,1319,1319,1319.12,30000,4,Meyar Sanat-a
20171023,1319.12,1357,1319,1352.08,256316,16,Meyar Sanat-a
20171025,1456.75,1457,1457,1456.75,39022,12,Meyar Sanat-a
20171028,1308.46,1381,1308,1376.31,27643,4,Meyar Sanat-a
20171030,1376.31,1379,1376,1377.28,240638,25,Meyar Sanat-a
20171101,1504.25,1504,1434,1435.43,208650,14,Meyar Sanat-a
20171104,1436.40,1436,1436,1436.40,56180,4,Meyar Sanat-a
20171106,1445.12,1745,1445,1594.38,1145636,84,Meyar Sanat-a
20171108,2122.62,2123,1939,2114.86,1634580,197,Meyar Sanat-a
20171111,1764.97,1938,1765,1934.58,120199,18,Meyar Sanat-a
20171113,1934.58,1935,1929,1933.62,598789,71,Meyar Sanat-a
