<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20131130,223.49,223,223,223.49,81000
20131202,223.49,223,223,223.49,46248
20131210,243.81,325,244,316.95,200000
20131222,406.35,406,321,376.69,236143
20131230,406.35,629,317,545.73,496577
20140101,402.29,402,402,402.29,45000
20140104,609.52,610,447,557.51,134238
20140108,402.29,630,366,580.27,628184
20140113,580.27,784,569,629.84,267037
20140115,568.89,784,569,587.99,383100
20140121,670.48,670,569,623.75,170084
20140127,568.89,685,459,651.78,210545
20140129,463.24,463,463,463.24,9997
20140201,528.25,528,528,528.25,500
20140203,532.32,532,406,522.97,124757
20140205,406.35,532,406,530.69,10129
20140208,532.32,532,459,486.40,106129
20140217,532.32,532,455,466.90,28229
20140302,446.98,467,427,458.77,140045
20140304,458.77,459,447,453.49,90000
20140305,406.35,451,406,423.82,48985
20140308,446.98,447,443,443.73,12000
20140309,427.07,427,407,425.45,22681
20140310,407.16,407,406,406.76,155177
20140311,386.03,386,386,386.03,4188
20140312,386.44,386,386,386.03,36929
20140319,386.03,386,386,386.03,5514
20140329,386.03,386,386,386.03,60717
20140408,365.71,366,366,365.71,1961
20140409,365.71,366,366,365.71,888
20140412,381.97,382,325,325.89,50500
20140413,268.60,269,269,268.60,23623
20140415,264.53,265,265,264.53,3500
20140416,353.52,354,354,353.52,50000
20140419,288.51,289,289,288.51,272838
20140420,288.51,289,266,268.60,46260
20140429,268.19,268,267,267.78,4894
20140510,325.08,325,325,325.08,3333
20140512,324.67,325,325,324.67,10000
20140524,288.51,289,289,288.51,1000
20140526,344.58,345,324,327.92,60560
20140528,324.67,325,325,324.67,3122
20140531,345.40,345,325,340.93,50000
20140601,344.58,345,345,344.58,10000
20140607,325.08,325,293,311.26,20292
20140608,325.08,325,325,325.08,20000
20140609,325.08,325,293,322.64,4300
20140614,292.57,293,293,292.57,2091
20140615,264.13,325,244,261.28,540216
20140616,248.28,248,244,245.44,170000
20140617,243.81,276,240,257.63,588512
20140618,247.87,266,244,245.03,782000
20140621,247.87,274,248,265.75,449392
20140622,264.94,265,258,258.84,227861
20140623,260.06,297,260,282.82,1617552
20140624,292.57,321,280,291.76,582344
20140625,284.85,321,285,306.79,511802
20140628,321.02,329,297,307.20,963500
20140629,288.51,293,272,288.10,469505
20140630,286.48,286,286,286.48,50000
20140701,288.10,289,288,288.10,100000
20140702,288.51,313,280,300.70,445531
20140705,315.73,323,290,317.36,50031
20140706,322.64,323,290,302.73,328272
20140707,274.69,282,275,280.38,105894
20140708,304.76,323,305,305.98,25000
20140712,319.39,319,319,319.39,1244
20140713,292.57,293,281,289.32,41001
20140714,296.64,297,287,287.70,108710
20140720,280.79,281,276,277.94,105339
20140721,277.13,277,276,276.32,113000
20140722,276.32,276,275,274.69,66000
20140723,276.32,277,276,276.32,338164
20140726,276.72,277,272,275.91,286189
20140727,280.38,280,276,276.72,11000
20140728,277.13,277,276,276.72,179000
20140804,275.91,281,276,276.32,57031
