<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20180729,1661.08,1661,1661,1670.85,194030,23,Ravan Fan Avar-a
20180730,1534.05,1649,1504,1553.59,3407016,425,Ravan Fan Avar-a
20180731,1700.16,1709,1604,1707.00,1988732,228,Ravan Fan Avar-a
20180807,1899.00,2088,1899,2074.00,1708126,85,Ravan Fan Avar-a
20180808,2080.00,2148,1886,1997.00,1869417,244,Ravan Fan Avar-a
20180811,1880.00,2040,1850,1919.00,985674,198,Ravan Fan Avar-a
20180812,1863.00,1970,1806,1893.00,1372185,261,Ravan Fan Avar-a
20180813,1997.00,2030,1851,1899.00,1297684,204,Ravan Fan Avar-a
20180814,1860.00,1888,1800,1829.00,926058,158,Ravan Fan Avar-a
20180815,1850.00,1866,1795,1807.00,1240135,150,Ravan Fan Avar-a
20180818,1860.00,1978,1841,1927.00,1322059,231,Ravan Fan Avar-a
20180819,1935.00,2040,1919,1972.00,2318621,341,Ravan Fan Avar-a
20180820,2019.00,2169,2019,2140.00,2739977,378,Ravan Fan Avar-a
20180821,2250.00,2290,2181,2236.00,1543744,244,Ravan Fan Avar-a
20180825,2270.00,2350,2240,2308.00,1111503,178,Ravan Fan Avar-a
20180826,2430.00,2538,2350,2504.00,3205295,435,Ravan Fan Avar-a
20180827,2680.00,2680,2330,2489.00,2123057,299,Ravan Fan Avar-a
20180828,2600.00,2600,2411,2521.00,2802316,334,Ravan Fan Avar-a
20180829,2471.00,2726,2471,2634.00,2653329,354,Ravan Fan Avar-a
20180901,2720.00,2720,2476,2565.00,747108,127,Ravan Fan Avar-a
20180902,2502.00,2584,2456,2498.00,739201,112,Ravan Fan Avar-a
20180903,2550.00,2659,2440,2583.00,2430217,337,Ravan Fan Avar-a
20180904,2600.00,2738,2555,2606.00,1955559,255,Ravan Fan Avar-a
20180905,2640.00,2640,2504,2565.00,1270768,155,Ravan Fan Avar-a
20180908,2625.00,2821,2569,2750.00,3826948,455,Ravan Fan Avar-a
20180909,2870.00,3025,2811,2957.00,3830142,466,Ravan Fan Avar-a
