<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20051231,1792.00,1793,1600,1751.00,13754
20060101,1778.00,1780,1748,1769.00,66884
20060104,1650.00,1650,1650,1650.00,3194
20060107,1600.00,1600,1540,1565.00,59248
20060108,1451.00,1501,1451,1500.00,1040
20060109,1506.00,1511,1500,1505.00,53019
20060110,1479.00,1479,1478,1478.00,13000
20060114,1476.00,1476,1400,1458.00,45011
20060115,1370.00,1446,1370,1414.00,21135
20060116,1300.00,1323,1290,1310.00,146121
20060117,1400.00,1441,1345,1403.00,28145
20060118,1470.00,1490,1423,1457.00,20451
20060121,1401.00,1406,1354,1387.00,34914
20060122,1525.00,1525,1520,1523.00,48306
20060123,1525.00,1525,1490,1502.00,23020
20060124,1402.00,1422,1402,1412.00,13392
20060125,1400.00,1401,1400,1400.00,24864
20060128,1401.00,1402,1399,1400.00,38650
20060129,1478.00,1540,1478,1488.00,50396
20060130,1488.00,1488,1460,1479.00,18010
20060131,1358.00,1359,1358,1358.00,8060
20060201,1360.00,1360,1352,1358.00,7565
20060204,1339.00,1349,1300,1337.00,21540
20060205,1240.00,1242,1238,1240.00,103386
20060206,1200.00,1250,1200,1237.00,17691
20060207,1237.00,1237,1206,1229.00,60239
20060212,1206.00,1206,1107,1172.00,57847
20060213,1100.00,1100,1055,1056.00,36010
20060214,1014.00,1035,1014,1017.00,58010
20060215,997.00,1057,977,1011.00,502234
20060426,1032.00,1100,1031,1049.00,75010
20060429,1038.00,1053,1031,1036.00,1349707
20080527,1300.00,1330,982,1131.00,974393
20080528,1086.00,1086,1086,1086.00,93506
20080601,1043.00,1043,1043,1043.00,650
20080616,1000.00,1046,905,1004.00,847510
20080617,1036.00,1044,1021,1042.00,425378
20080618,1083.00,1083,1082,1082.00,567063
20080621,1125.00,1125,1088,1124.00,1773461
20080622,1125.00,1126,1080,1087.00,292146
20080623,1050.00,1128,1044,1065.00,126902
20080624,1051.00,1051,1025,1047.00,180779
20080625,1050.00,1088,1050,1079.00,142665
20080628,1122.00,1122,1115,1121.00,286535
20080629,1165.00,1165,1165,1165.00,738070
20080630,1211.00,1211,1211,1211.00,1330000
20080701,1259.00,1259,1259,1259.00,3022943
20080702,1309.00,1309,1309,1309.00,880
20080705,1361.00,1361,1361,1361.00,2053000
20080706,1415.00,1415,1415,1415.00,1727250
20080707,1471.00,1471,1360,1448.00,2286287
20080708,1488.00,1489,1391,1401.00,1229228
20080709,1401.00,1402,1350,1363.00,911100
20080712,1370.00,1385,1309,1343.00,408063
20080713,1300.00,1300,1290,1293.00,97977
20080714,1255.00,1288,1242,1246.00,553007
20080715,1201.00,1201,1197,1197.00,245652
20080719,1150.00,1240,1150,1164.00,1834552
20080720,1210.00,1210,1164,1197.00,739090
20080721,1160.00,1160,1150,1150.00,318738
20080722,1150.00,1150,1104,1121.00,638997
20080723,1086.00,1165,1084,1158.00,1419930
20081130,1470.00,1473,1470,1471.00,197065
20081202,1470.00,1470,1400,1404.00,58865
20081203,1320.00,1320,1320,1320.00,44500
20081215,1364.00,1370,1340,1340.00,3600491
20081216,1340.00,1340,1340,1340.00,205185
20091213,1900.00,1994,1888,1895.00,412086
20091214,1887.00,2027,1841,1894.00,461446
20091215,1890.00,1898,1800,1828.00,75728
20091216,1784.00,1784,1701,1739.00,131464
20091219,1621.00,1860,1621,1842.00,111102
20091220,1970.00,1970,1965,1970.00,322019
20091221,2100.00,2107,2000,2050.00,432517
20091222,2002.00,2002,1907,1940.00,171500
20091223,1807.00,2070,1807,2017.00,45487
20091228,2000.00,2000,1876,1926.00,132801
20091229,1794.00,1872,1794,1811.00,164342
20091230,1874.00,1937,1851,1917.00,110537
20100102,1965.00,2051,1965,2048.00,53582
20100103,2190.00,2190,2000,2126.00,77000
20100104,2000.00,2000,1978,1979.00,155156
20100105,2099.00,2099,1933,1978.00,120469
20100106,2018.00,2089,2018,2077.00,144688
20100109,2095.00,2222,2025,2177.00,382309
20100110,2316.00,2316,2082,2168.00,128148
20100111,2023.00,2189,2023,2139.00,47121
20100112,2087.00,2087,1991,2003.00,363199
20100113,1950.00,2000,1935,1970.00,263892
20100116,2000.00,2040,2000,2001.00,493849
20100117,2099.00,2140,2087,2110.00,461447
20100118,2021.00,2130,2021,2111.00,232431
20100119,2150.00,2256,2150,2230.00,566991
20100120,2285.00,2350,2160,2245.00,274498
20100130,2112.00,2173,2112,2165.00,172064
