<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010423,5263.65,5264,5264,5263.65,500,1,ختراك-ت
20010501,5263.65,5264,5264,5263.65,3083,5,ختراك-ت
20010502,5263.65,5264,5264,5263.65,4010,8,ختراك-ت
20010505,5446.31,5446,5446,5446.31,3000,3,ختراك-ت
20010507,5718.62,5719,5719,5718.62,3500,6,ختراك-ت
20010508,6004.34,6004,6004,6004.34,1583,2,ختراك-ت
20010509,6304.31,6304,6304,6304.31,9840,14,ختراك-ت
20010512,6305.15,6305,6305,6305.15,1900,2,ختراك-ت
20010513,6305.99,6320,6306,6320.23,1988,2,ختراك-ت
20010520,6636.12,6636,6636,6636.12,1000,3,ختراك-ت
20010521,6967.92,6968,6968,6967.92,1100,4,ختراك-ت
20010529,7315.65,7316,7316,7315.65,2000,2,ختراك-ت
20010530,7680.97,7681,7681,7680.97,5500,8,ختراك-ت
20010602,7680.97,7874,7681,7683.48,6480,9,ختراك-ت
20010609,7871.17,7871,7871,7871.17,1095,3,ختراك-ت
20010612,7870.33,7871,7870,7871.17,2000,5,ختراك-ت
20010618,7868.66,8262,7869,8261.63,3243,11,ختراك-ت
20010623,8261.63,8262,8262,8261.63,1000,1,ختراك-ت
20010626,8674.71,8675,8675,8674.71,1768,3,ختراك-ت
20010703,8700.69,8701,8701,8700.69,100,2,ختراك-ت
20010707,8700.69,8701,8701,8700.69,1450,4,ختراك-ت
20010708,8705.71,8706,8706,8705.71,1000,1,ختراك-ت
20010711,8716.60,8717,8717,8716.60,315,1,ختراك-ت
20011223,10494.61,10495,10495,10494.61,500,1,ختراك-ت
20020106,11019.14,11019,11019,11019.14,5117,45,ختراك-ت
20020108,11569.63,11570,11570,11569.63,2279,22,ختراك-ت
20020113,12147.78,12148,12148,12147.78,2052,22,ختراك-ت
20020114,12754.41,12754,12754,12754.41,1947,18,ختراك-ت
20020209,17273.17,17344,17273,17344.39,1121,5,ختراك-ت
20020226,17344.39,17344,17344,17344.39,181706,3,ختراك-ت
20020227,18211.61,18212,18212,18211.61,50000,45,ختراك-ت
20020302,19121.57,19122,19122,19121.57,6180,7,ختراك-ت
20020304,19599.16,19599,19599,19599.16,20000,11,ختراك-ت
20020305,20088.49,20088,19439,19598.33,56389,63,ختراك-ت
20020306,19598.33,19598,19598,19598.33,3213,6,ختراك-ت
20020309,19495.27,19495,19109,19109.00,2157,8,ختراك-ت
20020310,18643.97,18853,18643,18643.13,15786,29,ختراك-ت
20020311,19109.00,19109,19109,19109.00,241233,14,ختراك-ت
20020312,19109.00,19109,19108,19109.00,251671,21,ختراك-ت
20020313,19109.00,19271,19107,19109.00,250400,25,ختراك-ت
20020316,19179.38,19192,19179,19191.95,198958,44,ختراك-ت
20020317,19192.79,19193,19184,19187.76,11097,29,ختراك-ت
20020318,19270.71,19271,19271,19270.71,1248,1,ختراك-ت
20020319,19283.28,19752,19283,19751.66,173476,36,ختراك-ت
20020330,20245.18,20245,20245,20245.18,1500,1,ختراك-ت
20020407,20751.27,20751,20751,20751.27,1000,6,ختراك-ت
20020408,21269.92,21270,21270,21269.92,1750,8,ختراك-ت
20020416,21801.15,21801,21801,21801.15,2550,11,ختراك-ت
20020909,29326.27,29327,29326,29326.27,1150,3,ختراك-ت
20020910,29326.27,29326,29326,29326.27,2219,4,ختراك-ت
20020911,29326.27,29326,29326,29326.27,1500,1,ختراك-ت
20020914,29326.27,29328,29326,29327.94,3250,6,ختراك-ت
20021118,3519.15,4608,3353,4357.05,17564,27,ختراك-ت
20021119,4357.05,4483,4357,4482.73,3340,5,ختراك-ت
20021202,4706.45,4706,4706,4706.45,1000,1,ختراك-ت
20021203,4941.06,4941,4941,4941.06,2750,3,ختراك-ت
20021204,5187.40,5187,5187,5187.40,1000,1,ختراك-ت
20021207,5446.31,5446,5446,5446.31,1000,1,ختراك-ت
20021208,5718.62,5719,5719,5718.62,1000,1,ختراك-ت
20021209,6004.34,6004,6004,6004.34,1000,1,ختراك-ت
20021214,6033.67,6304,5704,5704.38,15901,19,ختراك-ت
20021215,5446.31,5704,5446,5704.38,3296,4,ختراك-ت
20021216,5696.84,5704,5616,5704.38,13675,21,ختراك-ت
20021217,5702.70,5703,5446,5446.31,1456,11,ختراك-ت
20030112,5173.99,5174,5174,5173.99,600,1,ختراك-ت
20030113,5153.04,5153,4916,4915.92,1251,4,ختراك-ت
20030114,4915.92,5138,4915,5137.96,2241,6,ختراك-ت
20030115,5137.96,5394,5138,5394.36,3200,5,ختراك-ت
20030118,5394.36,5394,5394,5394.36,1214,3,ختراك-ت
20030119,5127.91,5128,5128,5127.91,700,1,ختراك-ت
20030120,5027.36,5027,5027,5027.36,2525,2,ختراك-ت
20030125,5446.31,5698,5446,5697.68,1917,4,ختراك-ت
20030129,5412.79,5413,5413,5412.79,1000,2,ختراك-ت
20030201,5142.15,5142,5142,5142.15,12000,13,ختراك-ت
20030202,5142.15,5142,5142,5142.15,2846,6,ختراك-ت
20030203,5398.55,5399,5399,5398.55,3285,6,ختراك-ت
20030204,5446.31,5446,5404,5446.31,8594,10,ختراك-ت
20030205,5449.66,5530,5446,5530.10,8900,8,ختراك-ت
20030208,5534.29,5534,5534,5534.29,1000,1,ختراك-ت
20030209,5535.12,5535,5535,5535.12,94,1,ختراك-ت
20030215,5535.12,5811,5534,5810.79,11810,6,ختراك-ت
20030217,5812.47,5812,5812,5811.63,1696,3,ختراك-ت
20030218,5811.63,6100,5812,6099.86,3792,4,ختراك-ت
20030219,6116.62,6405,6117,6404.86,3000,3,ختراك-ت
20030222,6102.38,6103,6102,6102.38,1258,4,ختراك-ت
20030223,6116.62,6117,6116,6116.62,2253,4,ختراك-ت
20030224,6116.62,6117,6114,6116.62,3278,8,ختراك-ت
20030301,6073.89,6074,6074,6073.89,547,1,ختراك-ت
20030303,5949.04,5949,5949,5949.04,4160,4,ختراك-ت
20030304,5948.21,5949,5907,5907.15,6635,13,ختراك-ت
20030308,5781.46,5781,5656,5655.78,7100,7,ختراك-ت
20030309,5865.25,5938,5865,5938.15,6568,11,ختراك-ت
20030311,5945.69,5946,5946,5945.69,1000,2,ختراك-ت
20030312,6024.45,6024,5947,5946.53,4000,2,ختراك-ت
20030315,6024.45,6325,6024,6325.26,2710,4,ختراك-ت
20030316,6158.52,6452,6159,6451.78,1500,3,ختراك-ت
20030318,6158.52,6159,6159,6158.52,1000,1,ختراك-ت
20030319,6158.52,6283,6159,6283.36,4200,3,ختراك-ت
20030405,6283.36,6283,6283,6283.36,595,1,ختراك-ت
20030407,6282.52,6283,6283,6282.52,48,1,ختراك-ت
20030409,6278.34,6279,6278,6279.17,1726,5,ختراك-ت
20030414,6259.06,6259,6259,6259.06,238,1,ختراك-ت
20030415,6192.03,6192,6192,6192.03,2000,2,ختراك-ت
20030420,5882.85,5883,5883,5882.85,212,1,ختراك-ت
20030421,5879.50,5879,5865,5878.66,3497,5,ختراك-ت
20030422,6171.92,6172,6164,6163.54,4146,4,ختراك-ت
20030426,6157.68,6158,6158,6157.68,995,2,ختراك-ت
20030427,6165.22,6165,6165,6165.22,189,1,ختراك-ت
20030428,6157.68,6159,5949,6157.68,3845,8,ختراك-ت
20030429,6157.68,6158,6158,6157.68,200,1,ختراك-ت
20030430,6157.68,6158,5850,5850.17,1186,3,ختراك-ت
20030504,5851.01,5851,5850,5850.17,1000,3,ختراك-ت
20030505,5845.98,5847,5846,5846.82,3000,4,ختراك-ت
20030506,5846.82,5847,5847,5846.82,200,1,ختراك-ت
20030511,5846.82,5882,5847,5846.82,3384,4,ختراك-ت
20030512,5846.82,5847,5847,5846.82,968,2,ختراك-ت
20030513,5780.63,5781,5781,5780.63,360,1,ختراك-ت
20030518,5764.71,5772,5765,5772.25,3860,2,ختراك-ت
20030520,6032.83,6033,6032,6031.99,1952,3,ختراك-ت
20030521,5865.25,6021,5865,5865.25,2030,5,ختراك-ت
20030524,5865.25,6159,5781,6150.14,45498,21,ختراك-ت
20030525,5907.15,6147,5876,5882.01,14260,10,ختراك-ت
20030526,5881.17,5949,5790,5949.04,137860,64,ختراك-ت
20030527,5950.72,6246,5949,6246.50,69085,47,ختراك-ت
20030528,6451.78,6558,6452,6558.19,17026,22,ختراك-ت
20030531,6885.81,6886,6886,6885.81,2000,4,ختراك-ت
20030601,7229.34,7229,6704,7227.67,317605,92,ختراك-ت
20030607,6870.73,7121,6871,7117.90,11620,10,ختراك-ت
20030608,6762.64,6763,6763,6762.64,1000,1,ختراك-ت
20030609,6424.97,6425,6425,6424.97,600,10,ختراك-ت
20030610,6104.05,6424,6104,6104.05,174322,83,ختراك-ت
20030611,6099.03,6099,6099,6099.03,1000,1,ختراك-ت
20030616,5794.87,5795,5795,5794.87,7330,5,ختراك-ت
20030617,5505.80,5506,5506,5505.80,2020,4,ختراك-ت
20030618,5778.95,5781,3301,5764.71,1496252,1329,ختراك-ت
20030621,5764.71,5765,5731,5731.19,2945,5,ختراك-ت
20030622,5537.64,5538,5445,5444.63,21840,8,ختراك-ت
20030623,5446.31,5446,5445,5444.63,5281,4,ختراك-ت
20030624,5173.15,5173,5173,5173.15,2100,2,ختراك-ت
20030625,4915.08,4931,4915,4915.08,24040,15,ختراك-ت
20030628,4914.24,4915,4914,4915.08,12661,9,ختراك-ت
20030629,4859.78,4915,4860,4859.78,15652,11,ختراك-ت
20030630,4858.11,4858,4650,4650.31,2000,2,ختراك-ت
20030701,4606.74,4617,4607,4608.41,41682,19,ختراك-ت
20030702,4608.41,4839,4600,4838.83,25697,18,ختراك-ت
20030705,4839.67,4856,4839,4855.59,9400,7,ختراك-ت
20030706,4915.08,5080,4860,4859.78,26395,14,ختراك-ت
20030707,4860.62,4861,4858,4858.94,30676,32,ختراك-ت
20030708,4859.78,4860,4617,4692.20,59070,14,ختراك-ت
20030709,4692.20,4692,4491,4491.11,96736,45,ختراك-ت
20030716,4900.00,4900,4900,4900.00,500,1,ختراك-ت
20030803,5446.31,5446,5446,5446.31,1000,1,ختراك-ت
20030804,5446.31,5446,5445,5446.31,20416,12,ختراك-ت
20030806,5403.57,5404,5237,5236.83,2945344,8,ختراك-ت
20030809,5232.64,5233,5027,5027.36,6000,5,ختراك-ت
20030812,4608.41,4929,4608,4929.33,2905000,2,ختراك-ت
20030813,4915.92,4917,4915,4916.76,5000,3,ختراك-ت
