<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20190316,950000.00,950000,950000,950000.00,5000000,28,ArvandSP.MNF220313-a
20190414,1000000.00,1000000,950000,952381.00,1050,2,ArvandSP.MNF220313-a
20190417,1000000.00,1000000,1000000,1000000.00,25000,2,ArvandSP.MNF220313-a
20190420,999998.00,999998,999990,999998.00,230010,11,ArvandSP.MNF220313-a
20190422,979000.00,979000,979000,979000.00,1000,1,ArvandSP.MNF220313-a
20190423,977100.00,977100,977100,977100.00,1000,1,ArvandSP.MNF220313-a
20190424,977500.00,977500,964000,964675.00,1000,2,ArvandSP.MNF220313-a
20190427,981000.00,981000,950000,958125.00,4000,3,ArvandSP.MNF220313-a
20190428,990000.00,990000,950000,958180.00,5000,3,ArvandSP.MNF220313-a
20190429,990000.00,990000,960029,965024.00,6000,2,ArvandSP.MNF220313-a
20190504,965600.00,965600,950000,951945.00,2000,3,ArvandSP.MNF220313-a
20190512,981001.00,981001,981001,981001.00,1000,1,ArvandSP.MNF220313-a
20190513,1000000.00,1000000,1000000,1000000.00,52000,3,ArvandSP.MNF220313-a
20190514,989000.00,989000,989000,989000.00,1000,1,ArvandSP.MNF220313-a
20190521,962100.00,962100,962100,962100.00,1000,1,ArvandSP.MNF220313-a
20190522,980000.00,980000,980000,980000.00,1000,1,ArvandSP.MNF220313-a
20190526,967400.00,967400,967400,967400.00,1000,1,ArvandSP.MNF220313-a
20190528,960000.00,960000,947000,950250.00,1000,3,ArvandSP.MNF220313-a
20190529,981000.00,981000,952251,956001.00,1150,2,ArvandSP.MNF220313-a
20190603,955555.00,955555,953000,953008.00,1000,2,ArvandSP.MNF220313-a
20190616,940000.00,940000,940000,940000.00,1000,1,ArvandSP.MNF220313-a
20190622,936500.00,936500,936500,936500.00,1000,1,ArvandSP.MNF220313-a
20190626,929300.00,929300,915000,922150.00,2000,2,ArvandSP.MNF220313-a
20190714,981000.00,981000,907000,912787.00,1175,3,ArvandSP.MNF220313-a
20190716,981000.00,981000,940001,942413.00,425,3,ArvandSP.MNF220313-a
20190721,981000.00,981000,950001,953445.00,1125,3,ArvandSP.MNF220313-a
20190722,940001.00,940001,940001,940001.00,1000,1,ArvandSP.MNF220313-a
20190724,929000.00,929000,929000,929000.00,1000,1,ArvandSP.MNF220313-a
20190728,1000000.00,1000000,940002,941121.00,1019,2,ArvandSP.MNF220313-a
20190731,915900.00,915900,915900,915900.00,1000,1,ArvandSP.MNF220313-a
20190814,981000.00,981000,915500,915891.00,503,2,ArvandSP.MNF220313-a
20190907,900000.00,900000,900000,900000.00,1000,1,ArvandSP.MNF220313-a
