<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180317,1000000.00,1000000,1000000,1000000.00,5000000
20181006,980000.00,980000,980000,980000.00,1000
20181007,960000.00,960000,960000,960000.00,1000
20181010,906000.00,906000,906000,906000.00,7500
20181015,996600.00,996600,950000,986789.00,9500
20181016,950000.00,950000,950000,950000.00,2000
20181020,930000.00,930000,930000,930000.00,1000
20181022,910000.00,910000,910000,910000.00,2000
20181111,910000.00,910000,910000,910000.00,1250
20181219,920000.00,920000,920000,920000.00,1000
20181222,927000.00,927000,927000,927000.00,6250
20181223,961386.00,961386,927101,949063.00,7790
20181224,971000.00,971000,971000,971000.00,570
20181225,971000.00,971000,970500,970573.00,62
20181230,961386.00,961386,961386,961386.00,906
20181231,971000.00,971000,971000,971000.00,6250
20190101,928002.00,998600,928002,953062.00,17088
20190410,983904.00,983904,983904,983904.00,7
20190415,983904.00,983904,983904,983904.00,14
20190528,983904.00,983904,983904,983904.00,10
20190710,993813.00,993813,993813,993813.00,6250
20190713,980000.00,980000,980000,980000.00,6250
20190715,971000.00,971000,971000,971000.00,11123
