<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010325,244.46,244,244,244.46,671,5,Ama-a
20010403,253.91,257,254,256.61,4240,13,Ama-a
20010407,259.31,259,259,259.37,4948,11,Ama-a
20010408,262.01,262,260,262.01,9300,16,Ama-a
20010409,262.01,266,262,265.74,12700,18,Ama-a
20010410,260.01,260,260,260.01,1000,1,Ama-a
20010411,259.91,260,254,253.91,16290,12,Ama-a
20010414,253.91,254,251,253.91,2896,6,Ama-a
20010415,253.91,254,254,253.96,1292,4,Ama-a
20010416,253.91,254,254,253.96,3460,5,Ama-a
20010417,254.34,254,254,253.91,2729,7,Ama-a
20010418,255.53,257,254,253.91,8167,18,Ama-a
20010421,253.91,254,254,253.91,3037,7,Ama-a
20010422,254.99,258,254,253.91,22320,21,Ama-a
20010423,253.91,254,254,253.91,8735,20,Ama-a
20010424,254.07,254,254,253.96,5404,15,Ama-a
20010425,254.13,258,254,257.69,12563,15,Ama-a
20010428,258.18,265,258,258.77,35888,25,Ama-a
20010429,258.77,259,259,259.31,16361,21,Ama-a
20010430,259.47,260,259,260.39,5240,4,Ama-a
20010501,262.01,267,262,267.42,15876,26,Ama-a
20010502,267.47,270,267,270.12,7664,16,Ama-a
20010505,270.39,273,270,273.41,534,2,Ama-a
20010506,275.52,276,276,275.63,5884,10,Ama-a
20010507,278.27,286,276,278.22,4714,8,Ama-a
20010508,279.41,280,279,279.84,602,3,Ama-a
20010509,283.62,286,284,286.32,6555,9,Ama-a
20010512,286.76,287,287,286.65,5955,4,Ama-a
20010513,291.78,292,292,291.73,8519,18,Ama-a
20010515,292.27,292,292,291.73,5450,5,Ama-a
20010516,291.73,297,292,297.13,6024,12,Ama-a
20010519,292.00,297,292,297.13,17838,12,Ama-a
20010520,302.53,303,303,302.53,2274,6,Ama-a
20010521,302.53,308,303,307.93,25103,17,Ama-a
20010523,307.93,308,308,307.93,66977,39,Ama-a
20010526,307.93,308,308,307.99,9050,7,Ama-a
20010527,307.99,308,308,307.93,10287,9,Ama-a
20010528,307.93,308,308,307.93,214208,41,Ama-a
20010529,307.28,307,307,307.18,1172,3,Ama-a
20010530,305.12,305,304,304.15,8322,7,Ama-a
20010602,297.18,297,297,297.18,860,1,Ama-a
20010606,291.73,297,292,297.07,29510,35,Ama-a
20010609,291.83,297,292,297.07,4904,7,Ama-a
20010611,297.07,297,297,297.07,2363,7,Ama-a
20010612,297.07,297,297,297.07,159,2,Ama-a
20010613,297.07,297,292,291.89,12987,13,Ama-a
20010616,291.89,292,292,291.89,3666,6,Ama-a
20010617,291.89,292,292,291.89,14364,17,Ama-a
20010618,291.83,297,292,297.02,9463,16,Ama-a
20010619,296.86,297,297,296.86,83,1,Ama-a
20010620,296.70,297,292,291.73,3444,10,Ama-a
20010623,291.73,292,292,291.73,12563,13,Ama-a
20010624,291.73,292,292,291.73,7238,9,Ama-a
20010625,291.73,292,292,291.73,7832,10,Ama-a
20010626,291.19,292,291,291.73,3937,7,Ama-a
20010627,292.27,292,292,292.37,2580,11,Ama-a
20010630,292.48,297,292,297.13,5417,13,Ama-a
20010701,297.13,297,297,297.13,5597,9,Ama-a
20010702,297.13,297,297,297.13,40230,10,Ama-a
20010703,294.43,297,294,294.48,29500,11,Ama-a
20010704,294.54,295,294,294.81,8957,16,Ama-a
20010707,297.13,297,294,294.32,21082,30,Ama-a
20010708,297.13,297,297,297.13,19594,23,Ama-a
20010709,296.59,297,297,296.59,303,2,Ama-a
20010710,294.97,296,289,289.02,6879,15,Ama-a
