<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20190608,10000.00,10000,10000,10000.00,4479649,481,SARV ETF-a
20190609,10000.00,10000,10000,10000.00,1704673,258,SARV ETF-a
20190610,10000.00,10000,10000,10000.00,994620,363,SARV ETF-a
20190611,10000.00,10000,10000,10000.00,4606208,1372,SARV ETF-a
20190612,10000.00,10000,10000,10000.00,8927099,1166,SARV ETF-a
20190701,10010.00,10299,10010,10092.00,318542,226,SARV ETF-a
20190702,10002.00,10110,9968,9990.00,470267,337,SARV ETF-a
20190703,9950.00,9980,9852,9914.00,247647,205,SARV ETF-a
20190706,9988.00,10015,9602,9782.00,110152,109,SARV ETF-a
20190707,9601.00,9630,9540,9571.00,310495,171,SARV ETF-a
20190708,9810.00,9810,9680,9717.00,140273,102,SARV ETF-a
20190709,9700.00,9720,9600,9628.00,140650,120,SARV ETF-a
20190710,9460.00,9608,9450,9515.00,198634,206,SARV ETF-a
20190713,9829.00,9829,9201,9374.00,488612,298,SARV ETF-a
20190714,9220.00,9649,9220,9459.00,130951,121,SARV ETF-a
20190715,9649.00,9649,9404,9557.00,103685,109,SARV ETF-a
20190716,9522.00,9630,9000,9344.00,226899,96,SARV ETF-a
20190717,9350.00,9550,9350,9529.00,148406,49,SARV ETF-a
20190720,9310.00,9555,9307,9339.00,191868,105,SARV ETF-a
20190721,9307.00,9400,9307,9368.00,72185,56,SARV ETF-a
20190722,9307.00,9540,9207,9339.00,118516,76,SARV ETF-a
20190723,9260.00,9300,9205,9258.00,140181,66,SARV ETF-a
20190724,9151.00,9443,9151,9374.00,39971,49,SARV ETF-a
20190727,9251.00,9350,9251,9291.00,33729,23,SARV ETF-a
20190728,9389.00,9400,9300,9309.00,20897,38,SARV ETF-a
20190729,9310.00,9370,9293,9314.00,76060,68,SARV ETF-a
20190730,9380.00,9400,9300,9325.00,96068,58,SARV ETF-a
20190731,9535.00,9600,9460,9555.00,195818,84,SARV ETF-a
20190803,9698.00,9699,9520,9645.00,66296,65,SARV ETF-a
20190804,9710.00,9800,9609,9702.00,214812,100,SARV ETF-a
20190805,9800.00,9991,9750,9887.00,198939,71,SARV ETF-a
20190806,9801.00,9980,9800,9877.00,528658,70,SARV ETF-a
20190807,9450.00,9900,9450,9870.00,163407,78,SARV ETF-a
20190810,9808.00,9898,9800,9821.00,122352,61,SARV ETF-a
20190811,9501.00,9889,9501,9841.00,179085,47,SARV ETF-a
20190813,9879.00,9896,9800,9863.00,467131,40,SARV ETF-a
20190814,9802.00,9950,9801,9886.00,392757,92,SARV ETF-a
20190817,9807.00,9998,9807,9912.00,160952,118,SARV ETF-a
20190818,9912.00,9955,9880,9936.00,190724,84,SARV ETF-a
20190819,9969.00,9970,9861,9955.00,250103,89,SARV ETF-a
20190821,9969.00,10043,9957,10019.00,309760,112,SARV ETF-a
20190824,10000.00,10100,10000,10052.00,388987,167,SARV ETF-a
20190825,10025.00,10241,10023,10108.00,200981,118,SARV ETF-a
20190826,10200.00,10499,10181,10292.00,295636,144,SARV ETF-a
20190827,10499.00,10755,10499,10639.00,282361,147,SARV ETF-a
20190828,10755.00,10755,10639,10684.00,286651,133,SARV ETF-a
20190831,10755.00,11107,10755,11006.00,160998,131,SARV ETF-a
20190901,11111.00,11390,11111,11319.00,161809,124,SARV ETF-a
20190902,11400.00,11525,11118,11345.00,471960,146,SARV ETF-a
20190903,11425.00,11559,11400,11494.00,96495,65,SARV ETF-a
20190904,11597.00,11597,11100,11415.00,402748,146,SARV ETF-a
20190907,11506.00,11640,11370,11448.00,608530,168,SARV ETF-a
20190908,11520.00,11736,11520,11652.00,100178,88,SARV ETF-a
20190911,11782.00,12295,11782,12179.00,274251,137,SARV ETF-a
20190914,12350.00,12638,12320,12496.00,596479,154,SARV ETF-a
20190915,12638.00,12640,12010,12415.00,298169,108,SARV ETF-a
20190916,12431.00,12500,12404,12471.00,253977,69,SARV ETF-a
20190917,12565.00,12565,12375,12416.00,162427,62,SARV ETF-a
20190918,12371.00,12371,12070,12270.00,242133,95,SARV ETF-a
20190921,12080.00,12248,12074,12123.00,134557,69,SARV ETF-a
20190922,12151.00,12218,11961,12043.00,155687,90,SARV ETF-a
20190923,12050.00,12499,12050,12349.00,138270,75,SARV ETF-a
20190924,12800.00,12955,12770,12837.00,723222,157,SARV ETF-a
20190925,13054.00,13055.00,12826.00,12908.00,1109534,140,SARV ETF-a
