<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20030715,1059.99,1060,1060,1059.99,1250000
20030716,1112.98,1113,1113,1112.98,75000
20030719,1168.62,1169,1169,1168.62,70000
20030720,1227.04,1227,1227,1227.04,70000
20030721,1288.38,1288,1288,1288.38,77024
20030722,1342.65,1353,1239,1272.22,356950
20030723,1269.60,1307,1260,1277.87,68542
20030726,1283.76,1284,1278,1284.16,50705
20030727,1284.54,1301,1285,1300.53,6855
20030728,1363.85,1366,1306,1361.49,166317
20030729,1401.54,1402,1366,1388.32,38715
20030730,1455.24,1458,1343,1388.32,74313
20030803,1366.20,1366,1343,1342.72,4629
20030804,1342.30,1342,1340,1340.76,21033
20030805,1339.35,1339,1225,1295.00,6938
20030806,1295.54,1296,1272,1290.57,37326
20030809,1290.24,1290,1201,1290.36,27580
20030810,1201.34,1279,1201,1278.81,12454
20030811,1248.26,1272,1203,1271.86,28375
20030812,1271.86,1272,1272,1271.98,6426
20030813,1271.98,1272,1227,1271.96,22601
20030816,1225.15,1258,1225,1257.76,12450
20030817,1224.85,1225,1201,1224.97,21237
20030818,1248.40,1248,1201,1248.43,31445
20030819,1248.38,1272,1248,1271.98,22553
20030820,1271.68,1272,1271,1271.98,190
20030823,1248.43,1272,1248,1271.98,7100
20030825,1245.55,1272,1242,1271.98,597
20030826,1208.38,1272,1208,1271.98,8260
20030827,1208.38,1272,1208,1271.98,101
20030831,1208.38,1272,1208,1271.98,1170
20030901,1208.38,1272,1208,1271.98,25010
20030902,1208.38,1272,1208,1271.98,25718
20030906,1208.38,1272,1208,1271.98,5010
20030907,1208.38,1272,1208,1271.98,210
20030908,1208.38,1272,1208,1271.98,3010
20030915,1208.38,1272,1208,1254.22,554294
20030916,1253.54,1254,1248,1250.52,546111
20030921,1224.78,1250,1225,1250.48,30
20030923,1222.28,1231,1222,1231.42,10098
20030928,1219.93,1224,1220,1223.74,10010
20030930,1216.70,1217,1205,1213.97,27486
20031001,1205.56,1208,1206,1208.36,10010
20031005,1154.21,1199,1154,1199.03,11010
20031006,1192.84,1197,1193,1196.96,5010
20031014,1137.13,1157,1137,1157.06,10010
20031018,1156.28,1157,1156,1156.99,1010
20031019,1099.16,1100,1099,1100.27,14721
20031201,1206.03,1206,1178,1187.18,1510
20031202,1246.54,1247,1247,1246.54,49998
20031203,1308.87,1309,1309,1308.87,99999
20031206,1374.31,1374,1374,1374.31,150730
20031207,1374.33,1374,1374,1374.28,521753
20031208,1319.12,1340,1319,1338.34,1236820
20031209,1340.32,1343,1340,1340.93,532939
20031210,1340.93,1341,1340,1340.36,150803
20031213,1340.36,1340,1339,1340.32,1730
20031214,1347.38,1347,1333,1339.73,3931
20031215,1339.73,1340,1332,1336.71,15659
20040114,1319.09,1366,1319,1354.73,26611
20040117,1378.08,1391,1366,1387.99,44679
20040118,1387.97,1388,1371,1380.69,9378
20040119,1376.26,1376,1366,1368.02,14360
20040120,1375.56,1376,1369,1369.45,3530
20040121,1375.56,1376,1373,1373.29,8815
20040124,1376.17,1387,1376,1380.24,8816
20040125,1380.34,1381,1380,1380.41,31428
20040126,1380.34,1380,1366,1377.23,26189
20040127,1379.94,1380,1343,1355.16,27212
20040128,1347.36,1347,1343,1343.43,31553
20040131,1343.83,1349,1343,1343.47,909
20040201,1343.52,1344,1343,1343.47,595
20040203,1343.47,1354,1343,1344.13,3283
20040204,1343.83,1344,1343,1343.97,1790
20040207,1354.43,1356,1345,1345.45,2102
20040208,1354.43,1355,1350,1350.28,8010
20040209,1351.83,1352,1350,1350.49,110150
20040214,1351.69,1352,1343,1348.80,6670
20040215,1348.82,1349,1331,1347.59,1112
20040217,1347.19,1348,1347,1347.55,1373
20040218,1354.43,1390,1331,1352.75,138595
20040221,1368.84,1369,1354,1358.55,135730
20040222,1366.20,1366,1359,1366.13,15461
20040223,1366.13,1366,1366,1366.13,107385
20040224,1366.18,1366,1366,1366.06,5651
20040225,1366.06,1366,1355,1358.43,10841
20040228,1366.20,1366,1358,1365.54,17451
20040229,1363.02,1366,1363,1365.12,4010
20040303,1363.85,1366,1364,1365.19,79102
