<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20140302,249.00,249,249,249.00,1000,1,Majd Khaf-R-a
20140303,200.00,200,200,200.00,1000,1,Majd Khaf-R-a
20140304,81.00,140,81,104.00,33500,3,Majd Khaf-R-a
20140305,189.00,189,189,189.00,119000,2,Majd Khaf-R-a
20140309,180.00,180,130,136.00,89000,4,Majd Khaf-R-a
20140310,133.00,141,130,134.00,159540,9,Majd Khaf-R-a
20140311,140.00,142,131,137.00,152600,8,Majd Khaf-R-a
20140312,134.00,135,133,134.00,216523,6,Majd Khaf-R-a
20140315,130.00,147,130,133.00,74849,9,Majd Khaf-R-a
20140316,147.00,179,130,145.00,94500,8,Majd Khaf-R-a
20140317,144.00,177,141,149.00,200769,12,Majd Khaf-R-a
20140318,148.00,177,147,151.00,151500,7,Majd Khaf-R-a
20140319,148.00,241,147,197.00,566430,24,Majd Khaf-R-a
20140325,249.00,250,249,249.00,301000,18,Majd Khaf-R-a
20140326,257.00,372,249,278.00,33000,4,Majd Khaf-R-a
20140329,249.00,277,249,266.00,76000,6,Majd Khaf-R-a
20140330,257.00,280,247,250.00,354456,15,Majd Khaf-R-a
20140331,217.00,217,217,217.00,10000,1,Majd Khaf-R-a
20140405,251.00,251,220,247.00,364400,16,Majd Khaf-R-a
20140406,200.00,220,144,181.00,1177983,14,Majd Khaf-R-a
20140407,190.00,190,190,190.00,12618,3,Majd Khaf-R-a
20140408,160.00,160,153,158.00,747689,12,Majd Khaf-R-a
20140409,159.00,189,158,176.00,613254,23,Majd Khaf-R-a
20140412,170.00,215,160,179.00,740023,22,Majd Khaf-R-a
20140413,187.00,187,144,165.00,340330,19,Majd Khaf-R-a
20140414,144.00,170,139,144.00,308130,9,Majd Khaf-R-a
20140415,150.00,169,144,150.00,145555,11,Majd Khaf-R-a
20140416,150.00,166,146,154.00,264489,17,Majd Khaf-R-a
20140419,145.00,145,130,136.00,274177,7,Majd Khaf-R-a
20140420,154.00,155,110,131.00,986159,22,Majd Khaf-R-a
20140421,120.00,136,100,126.00,2260143,25,Majd Khaf-R-a
20140422,110.00,120,104,112.00,1013588,55,Majd Khaf-R-a
20140423,108.00,150,85,119.00,3062183,82,Majd Khaf-R-a
20140426,145.00,198,120,174.00,2223772,59,Majd Khaf-R-a
20140427,198.00,200,160,183.00,1571313,50,Majd Khaf-R-a
20140428,185.00,215,180,197.00,1402425,29,Majd Khaf-R-a
20140429,200.00,220,160,186.00,2119810,33,Majd Khaf-R-a
20140430,161.00,161,160,161.00,31294,2,Majd Khaf-R-a
20140503,161.00,220,160,200.00,919797,25,Majd Khaf-R-a
20140504,200.00,200,200,200.00,2000,1,Majd Khaf-R-a
20140505,177.00,177,140,157.00,1403422,27,Majd Khaf-R-a
20140506,150.00,170,150,150.00,209761,9,Majd Khaf-R-a
20140507,150.00,160,150,159.00,362383,5,Majd Khaf-R-a
20140510,160.00,160,150,155.00,677819,12,Majd Khaf-R-a
20140511,150.00,151,140,146.00,368144,11,Majd Khaf-R-a
20140514,140.00,140,133,139.00,266994,7,Majd Khaf-R-a
20140517,140.00,140,125,131.00,913606,18,Majd Khaf-R-a
20140518,138.00,140,121,137.00,193552,5,Majd Khaf-R-a
20140519,130.00,130,123,128.00,102046,2,Majd Khaf-R-a
20140520,130.00,130,125,129.00,65800,3,Majd Khaf-R-a
20140521,120.00,140,120,129.00,848507,12,Majd Khaf-R-a
20140524,140.00,140,124,130.00,773000,10,Majd Khaf-R-a
20140525,125.00,125,100,108.00,993255,38,Majd Khaf-R-a
20140526,104.00,119,100,105.00,1944096,41,Majd Khaf-R-a
