<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20140915,663.50,664,359,468.94,1342170,17,سفارود-ت
20140916,447.42,617,403,438.45,385331,26,سفارود-ت
20140917,414.24,483,399,426.79,773572,29,سفارود-ت
20140920,439.35,448,403,418.73,2133343,50,سفارود-ت
20140921,416.93,435,404,414.24,1807100,38,سفارود-ت
20140922,412.45,425,405,414.24,929500,16,سفارود-ت
20140923,412.45,412,401,406.17,1315064,23,سفارود-ت
20140924,403.48,417,399,404.38,1465700,27,سفارود-ت
20140927,416.93,417,399,403.48,869145,20,سفارود-ت
20140928,412.45,412,399,402.59,333117,7,سفارود-ت
20140929,399.00,412,395,396.31,1330907,24,سفارود-ت
20140930,396.31,396,395,394.52,452506,26,سفارود-ت
20141001,403.48,493,403,441.14,3529370,104,سفارود-ت
20141004,456.38,664,456,566.67,4708555,164,سفارود-ت
20141006,654.54,878,646,776.48,4162475,153,سفارود-ت
20141007,829.38,897,744,839.24,2030910,116,سفارود-ت
20141008,780.07,798,672,720.89,731310,38,سفارود-ت
20141011,717.30,717,708,713.72,244095,10,سفارود-ت
20141012,717.30,753,707,719.10,1786328,51,سفارود-ت
20141014,721.79,897,672,696.68,935700,26,سفارود-ت
20141015,672.47,692,664,685.92,554051,19,سفارود-ت
20141018,690.40,690,610,647.37,1081518,33,سفارود-ت
20141019,636.61,637,592,604.33,1097358,38,سفارود-ت
20141020,608.81,707,609,657.23,1482252,69,سفارود-ت
20141021,645.57,666,623,639.30,411993,16,سفارود-ت
20141022,618.67,640,594,603.43,848405,38,سفارود-ت
20141025,618.67,637,596,619.57,339582,13,سفارود-ت
20141026,621.36,631,601,610.60,741125,19,سفارود-ت
20141027,598.95,628,597,607.91,811880,16,سفارود-ت
20141028,598.95,602,596,599.84,217452,8,سفارود-ت
20141029,595.36,617,595,602.53,639730,29,سفارود-ت
20141101,598.05,598,592,594.46,237015,22,سفارود-ت
20141102,591.77,593,582,588.19,479124,22,سفارود-ت
20141105,578.33,582,556,574.74,706364,29,سفارود-ت
20141108,572.95,601,565,577.43,597777,29,سفارود-ت
20141109,591.77,681,583,633.92,1695496,65,سفارود-ت
20141110,679.64,681,628,646.47,1705516,48,سفارود-ت
20141111,646.47,678,619,650.95,1893030,46,سفارود-ت
20141112,627.64,665,628,636.61,1150710,34,سفارود-ت
20141115,656.33,668,601,628.54,1416275,37,سفارود-ت
20141116,609.71,627,601,617.78,339559,13,سفارود-ت
20141117,602.53,619,601,603.43,534164,16,سفارود-ت
20141118,593.57,619,574,585.50,624976,42,سفارود-ت
20141119,591.77,618,570,581.01,319331,15,سفارود-ت
20141122,573.84,609,556,582.81,376079,22,سفارود-ت
20141123,591.77,672,592,610.60,300892,13,سفارود-ت
20141124,609.71,716,610,663.50,1794358,71,سفارود-ت
20141125,618.67,628,593,605.22,368092,19,سفارود-ت
20141126,592.67,681,577,625.85,876049,26,سفارود-ت
20141129,645.57,664,583,612.40,933266,37,سفارود-ت
20141130,626.74,627,583,589.98,599265,19,سفارود-ت
20141201,591.77,610,575,600.74,202052,12,سفارود-ت
20141202,607.91,608,608,607.91,10000,1,سفارود-ت
20141203,581.91,584,565,573.84,313000,14,سفارود-ت
20141206,561.29,583,538,557.70,920782,28,سفارود-ت
20141207,537.98,538,538,537.98,13644,2,سفارود-ت
20141208,537.98,568,538,538.87,90346,6,سفارود-ت
20141209,566.67,574,554,563.98,388331,11,سفارود-ت
20141210,548.74,556,549,555.01,222632,7,سفارود-ت
20141214,555.01,555,538,546.05,438557,14,سفارود-ت
20141215,537.98,538,493,505.70,448630,16,سفارود-ت
20141216,537.08,538,520,537.98,174290,7,سفارود-ت
20141217,537.98,547,525,538.87,49504,5,سفارود-ت
20141220,537.98,551,520,530.80,1367327,22,سفارود-ت
20141222,537.98,571,538,551.43,1378391,33,سفارود-ت
20141224,551.43,597,538,561.29,3249093,78,سفارود-ت
20141227,564.88,604,539,551.43,5307100,77,سفارود-ت
20141228,572.95,581,548,555.91,1699053,36,سفارود-ت
20141229,578.33,582,556,572.05,925352,30,سفارود-ت
20141230,580.12,583,558,564.88,314510,10,سفارود-ت
20141231,564.88,565,544,549.63,343348,15,سفارود-ت
20150103,557.70,565,543,548.74,642886,13,سفارود-ت
20150104,543.36,545,538,540.67,718202,24,سفارود-ت
20150105,545.15,545,529,537.08,676189,16,سفارود-ت
20150106,529.01,542,520,526.32,748762,20,سفارود-ت
20150107,535.29,543,517,527.22,318472,11,سفارود-ت
20150110,529.01,537,511,521.84,715892,18,سفارود-ت
20150111,511.08,511,466,479.70,555116,19,سفارود-ت
20150112,488.66,538,489,520.04,765559,30,سفارود-ت
20150113,537.08,538,493,514.66,440083,13,سفارود-ت
20150114,520.04,529,503,513.77,349467,19,سفارود-ت
20150117,510.18,516,510,513.77,118835,6,سفارود-ت
20150118,519.15,527,506,518.25,541068,23,سفارود-ت
20150119,504.80,525,485,508.39,750085,19,سفارود-ت
20150120,505.70,506,477,484.18,222588,9,سفارود-ت
20150121,477.90,478,448,460.87,323406,18,سفارود-ت
20150124,452.80,483,443,459.07,456020,21,سفارود-ت
20150125,484.18,484,439,455.49,113883,6,سفارود-ت
20150126,470.73,471,471,470.73,100,1,سفارود-ت
20150127,470.73,471,471,470.73,95088,6,سفارود-ت
20150128,473.42,526,473,489.56,533782,27,سفارود-ت
20150131,520.04,578,520,543.36,926562,38,سفارود-ت
20150201,559.50,559,497,508.39,847585,31,سفارود-ت
20150202,503.90,525,463,479.70,754075,24,سفارود-ت
20150203,500.32,520,480,501.22,135275,8,سفارود-ت
20150204,481.49,525,481,515.56,510700,22,سفارود-ت
20150207,520.04,565,507,521.84,1056137,31,سفارود-ت
20150208,488.66,537,486,492.25,518631,18,سفارود-ت
20150209,485.08,493,475,483.28,247888,11,سفارود-ت
20150210,470.73,474,462,467.14,111714,11,سفارود-ت
20150214,467.14,484,466,469.83,129730,6,سفارود-ت
20150215,468.04,483,466,468.04,88929,11,سفارود-ت
20150216,466.25,483,466,470.73,147500,7,سفارود-ت
20150217,479.70,483,470,473.42,188309,11,سفارود-ت
20150218,470.73,471,465,468.94,271478,12,سفارود-ت
20150221,475.21,480,475,477.90,22000,4,سفارود-ت
20150222,479.70,506,475,481.49,240243,11,سفارود-ت
20150223,475.21,484,475,477.90,17700,4,سفارود-ت
20150224,475.21,475,466,467.14,87420,6,سفارود-ت
20150225,466.25,484,458,461.76,140013,7,سفارود-ت
20150228,466.25,483,466,479.70,280955,16,سفارود-ت
20150301,463.56,538,464,468.94,20200,5,سفارود-ت
20150302,464.45,484,464,474.32,137070,11,سفارود-ت
20150303,537.98,538,487,489.56,50200,3,سفارود-ت
20150304,470.73,472,464,467.14,188500,7,سفارود-ت
20150307,466.25,466,458,462.66,200149,11,سفارود-ت
20150308,475.21,538,475,501.22,700,3,سفارود-ت
20150309,458.18,458,457,457.28,473512,7,سفارود-ت
20150310,457.28,457,448,451.00,976893,33,سفارود-ت
20150311,448.31,538,448,452.80,446628,20,سفارود-ت
20150314,478.80,583,446,498.53,516050,32,سفارود-ت
20150315,451.90,516,452,476.11,177400,11,سفارود-ت
20150316,493.15,493,469,469.83,75500,8,سفارود-ت
20150317,469.83,470,459,463.56,126377,5,سفارود-ت
20150318,483.28,483,459,466.25,525900,14,سفارود-ت
20150325,485.97,486,467,484.18,92580,4,سفارود-ت
20150328,483.28,493,482,483.28,101480,7,سفارود-ت
20150329,489.56,525,471,489.56,428937,17,سفارود-ت
20150330,492.25,492,470,473.42,140000,5,سفارود-ت
20150331,470.73,480,468,473.42,313900,15,سفارود-ت
20150404,493.15,619,484,564.88,4709350,135,سفارود-ت
20150405,598.05,646,574,603.43,5194008,92,سفارود-ت
20150406,573.84,646,486,557.70,537640,18,سفارود-ت
20150407,502.11,502,488,490.46,227683,9,سفارود-ت
20150408,489.56,536,487,510.18,592514,21,سفارود-ت
20150411,489.56,520,490,500.32,301868,16,سفارود-ت
20150412,489.56,510,484,487.77,83800,5,سفارود-ت
