<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190417,7000.00,7700,7179,7682.00,2546914
20190420,7700.00,7700,7011,7357.00,1047699
20190427,7700.00,7700,6622,6824.00,1042800
20190428,7240.00,7240,6666,6777.00,403221
20190429,6830.00,6830,6401,6557.00,375205
20190430,6600.00,6804,6110,6570.00,317418
20190501,6666.00,6850,6600,6790.00,881719
20190504,6850.00,7180,6850,6952.00,979195
20190505,7140.00,7140,6257,6405.00,1257097
20190506,6548.00,6548,6001,6172.00,123425
20190507,6150.00,6150,5740,5892.00,274700
20190508,5900.00,6400,5555,6091.00,259245
20190520,6200.00,6690,6200,6339.00,147967
20190521,6597.00,6800,6321,6532.00,305554
20190522,6897.00,7159,6595,6916.00,488701
20190525,7100.00,7100,6630,6904.00,154976
20190526,7319.00,7319,6950,7080.00,426959
20190528,7500.00,7599,7200,7453.00,520678
20190529,7600.00,7600,6800,7072.00,359004
20190601,7072.00,7072,6801,6948.00,221965
20190602,7140.00,7574,6999,7023.00,319083
20190603,7000.00,7363,6800,6874.00,548827
20190608,7300.00,7300,6801,6937.00,169048
20190609,6771.00,7580,6771,7139.00,589972
20190610,7600.00,7852,7600,7786.00,251239
20190611,8300.00,8300,7411,7993.00,228601
20190612,8000.00,8100,7630,7834.00,151655
20190615,7790.00,8100,7251,7928.00,579510
20190616,8097.00,8650,7552,8121.00,275623
20190617,8499.00,8499,7861,8148.00,53250
20190618,8370.00,8396,7708,8053.00,23421
20190619,7514.00,8387,7514,7937.00,16953
20190622,7600.00,7849,7510,7553.00,56853
20190623,8300.00,8300,7652,7790.00,21800
20190624,7989.00,7989,7660,7707.00,197239
20190625,7661.00,7847,7511,7573.00,114227
20190626,7702.00,8200,7702,8080.00,347549
20190630,8333.00,8888,8333,8775.00,1070956
20190701,8800.00,9500,8000,8320.00,48566
20190702,8819.00,8819,7900,8399.00,56797
20190703,8130.00,8382,8130,8182.00,243397
20190706,7503.00,8130,7503,7698.00,15300
