<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20180721,5420.00,5760,5113,5376.00,13074,25,Qayen Cement-R-a
20180722,5420.00,5420,4839,4912.00,61831,23,Qayen Cement-R-a
20180723,4890.00,5370,4890,5227.00,11227,15,Qayen Cement-R-a
20180724,5280.00,5749,5280,5747.00,120292,37,Qayen Cement-R-a
20180725,6010.00,6321,5800,6264.00,310552,93,Qayen Cement-R-a
20180728,6890.00,6890,5638,5645.00,39986,16,Qayen Cement-R-a
20180729,5642.00,5707,5112,5541.00,15108,23,Qayen Cement-R-a
20180730,5202.00,6080,4987,5027.00,147179,48,Qayen Cement-R-a
20180731,5529.00,5529,5480,5529.00,70030,37,Qayen Cement-R-a
20180801,5900.00,5900,5501,5754.00,66282,38,Qayen Cement-R-a
20180804,5850.00,6329,5850,6295.00,130445,70,Qayen Cement-R-a
20180805,6300.00,6300,5900,6026.00,31817,28,Qayen Cement-R-a
20180806,5942.00,6001,5424,5825.00,132075,45,Qayen Cement-R-a
20180807,5500.00,6035,5500,5982.00,34390,24,Qayen Cement-R-a
20180808,5950.00,5950,5899,5919.00,3070,4,Qayen Cement-R-a
20180811,5530.00,5900,5530,5864.00,2637,7,Qayen Cement-R-a
20180812,5900.00,5950,5900,5914.00,5590,7,Qayen Cement-R-a
20180813,6200.00,6505,6000,6374.00,448552,133,Qayen Cement-R-a
20180814,6890.00,7011,6890,6988.00,123478,47,Qayen Cement-R-a
20180815,7679.00,7686,6988,7679.00,79782,36,Qayen Cement-R-a
20180818,8060.00,8446,8060,8429.00,261057,109,Qayen Cement-R-a
20180819,9230.00,9230,8847,8989.00,81090,65,Qayen Cement-R-a
20180820,9269.00,9269,8403,9074.00,102263,70,Qayen Cement-R-a
20180821,9030.00,9030,8530,8651.00,71461,60,Qayen Cement-R-a
20180825,8530.00,8540,8182,8362.00,53175,51,Qayen Cement-R-a
20180826,8181.00,8826,8181,8563.00,57542,74,Qayen Cement-R-a
20180827,8998.00,9150,8322,8743.00,205632,77,Qayen Cement-R-a
20180828,9167.00,9617,9167,9552.00,129435,69,Qayen Cement-R-a
20180829,10500.00,10507,10001,10503.00,242801,34,Qayen Cement-R-a
20180901,11553.00,11553,11553,11553.00,64628,10,Qayen Cement-R-a
20180902,12708.00,12708,12708,12708.00,6124,6,Qayen Cement-R-a
20180903,13978.00,13978,12800,13971.00,704187,91,Qayen Cement-R-a
20180904,12900.00,12900,12574,12670.00,76147,39,Qayen Cement-R-a
20180905,12570.00,12570,11403,11498.00,6205,12,Qayen Cement-R-a
20180908,10349.00,10349,10349,10349.00,33368,29,Qayen Cement-R-a
20180909,9360.00,11299,9360,10622.00,160488,69,Qayen Cement-R-a
20180910,11200.00,11500,10600,11088.00,97287,56,Qayen Cement-R-a
20180911,11088.00,11088,9980,10012.00,104083,51,Qayen Cement-R-a
20180912,10001.00,10251,9850,10031.00,224081,85,Qayen Cement-R-a
20190126,9601.00,9601,9601,9601.00,19850,8,Qayen Cement-R-a
20190127,9400.00,9400,9202,9203.00,281254,64,Qayen Cement-R-a
