<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010325,1756.52,1767,1756,1767.20,2236,4,Shahdiran Inc.-a
20010326,1767.20,1767,1766,1767.20,2545,5,Shahdiran Inc.-a
20010327,1767.20,1792,1767,1791.86,5757,6,Shahdiran Inc.-a
20010328,1791.86,1808,1792,1808.30,22197,16,Shahdiran Inc.-a
20010407,1812.41,1850,1812,1850.22,1026,2,Shahdiran Inc.-a
20010408,1931.59,1932,1932,1931.59,2111,3,Shahdiran Inc.-a
20010409,1972.69,1973,1940,1972.69,5889,7,Shahdiran Inc.-a
20010410,1973.51,1974,1973,1972.69,12645,17,Shahdiran Inc.-a
20010411,1971.05,1972,1922,1923.37,5461,11,Shahdiran Inc.-a
20010414,1923.37,1947,1923,1947.21,11880,8,Shahdiran Inc.-a
20010415,1944.74,1948,1945,1946.39,4269,9,Shahdiran Inc.-a
20010416,1971.87,1972,1946,1971.87,4728,7,Shahdiran Inc.-a
20010417,1971.87,1972,1970,1970.22,10060,8,Shahdiran Inc.-a
20010418,1956.25,1957,1932,1931.59,8763,6,Shahdiran Inc.-a
20010421,1931.59,1940,1932,1931.59,8545,7,Shahdiran Inc.-a
20010422,1936.52,1964,1932,1964.47,18851,25,Shahdiran Inc.-a
20010423,1962.83,1963,1932,1931.59,7633,9,Shahdiran Inc.-a
20010424,1931.59,1953,1932,1952.96,8134,7,Shahdiran Inc.-a
20010425,1952.96,1953,1953,1952.96,9562,8,Shahdiran Inc.-a
20010428,1973.51,1974,1932,1952.14,97992,47,Shahdiran Inc.-a
20010429,1952.96,2014,1953,2013.79,21471,14,Shahdiran Inc.-a
20010430,2012.14,2014,1978,1978.44,8200,8,Shahdiran Inc.-a
20010501,1975.98,1977,1976,1976.80,540,3,Shahdiran Inc.-a
20010502,1971.87,1977,1972,1971.87,9746,11,Shahdiran Inc.-a
20010505,1931.59,1940,1932,1939.81,18410,13,Shahdiran Inc.-a
20010506,1933.24,1940,1932,1931.59,4103,12,Shahdiran Inc.-a
20010507,1930.77,1940,1907,1939.81,9244,13,Shahdiran Inc.-a
20010508,1948.03,1973,1948,1948.85,37210,14,Shahdiran Inc.-a
20010509,1988.31,1989,1981,1989.13,9352,9,Shahdiran Inc.-a
20010512,1989.13,1989,1988,1989.13,10619,9,Shahdiran Inc.-a
20010513,1989.13,2055,1989,2054.88,27435,18,Shahdiran Inc.-a
20010515,2137.08,2144,2137,2137.08,94745,30,Shahdiran Inc.-a
20010516,2139.55,2244,2140,2243.93,36927,19,Shahdiran Inc.-a
20010519,2243.93,2244,2244,2243.93,15480,17,Shahdiran Inc.-a
20010520,2243.93,2244,2218,2218.45,9919,9,Shahdiran Inc.-a
20010521,2217.63,2218,2215,2217.63,3764,7,Shahdiran Inc.-a
20010523,2137.08,2137,2137,2137.08,6456,7,Shahdiran Inc.-a
20010526,2137.08,2148,2137,2147.77,11338,17,Shahdiran Inc.-a
20010527,2202.84,2219,2203,2219.28,40043,18,Shahdiran Inc.-a
20010528,2243.93,2330,2219,2219.28,545417,24,Shahdiran Inc.-a
20010529,2219.28,2219,2178,2219.28,55037,16,Shahdiran Inc.-a
20010530,2219.28,2219,2195,2202.84,35501,16,Shahdiran Inc.-a
20010606,2219.28,2219,2219,2219.28,11200,9,Shahdiran Inc.-a
20010609,2219.28,2301,2219,2301.47,49479,34,Shahdiran Inc.-a
20010611,2317.91,2351,2318,2350.79,13934,13,Shahdiran Inc.-a
20010612,2383.67,2400,2352,2383.67,63244,24,Shahdiran Inc.-a
20010613,2383.67,2384,2343,2342.57,23937,16,Shahdiran Inc.-a
20010616,2257.91,2258,2227,2227.49,7901,9,Shahdiran Inc.-a
20010617,2202.84,2227,2202,2227.49,24375,25,Shahdiran Inc.-a
20010618,2227.49,2301,2227,2301.47,20034,13,Shahdiran Inc.-a
20010619,2301.47,2343,2260,2342.57,398475,21,Shahdiran Inc.-a
20010620,2340.92,2341,2301,2301.47,13994,14,Shahdiran Inc.-a
20010623,2301.47,2338,2186,2186.40,53425,36,Shahdiran Inc.-a
20010624,2192.15,2223,2192,2220.92,10100,7,Shahdiran Inc.-a
20010625,2260.37,2269,2260,2268.59,23039,20,Shahdiran Inc.-a
20010626,2268.59,2301,2269,2278.46,24078,15,Shahdiran Inc.-a
20010627,2277.63,2300,2237,2299.83,12047,9,Shahdiran Inc.-a
20010630,2293.25,2293,2269,2293.25,42350,14,Shahdiran Inc.-a
20010701,2293.25,2293,2292,2292.43,23510,16,Shahdiran Inc.-a
20010702,2291.61,2292,2276,2291.61,41072,27,Shahdiran Inc.-a
20010703,2275.99,2288,2269,2269.41,26260,17,Shahdiran Inc.-a
20010704,2252.15,2260,2219,2219.28,23510,11,Shahdiran Inc.-a
20010707,2218.45,2219,2217,2216.81,83553,34,Shahdiran Inc.-a
20010708,2217.63,2218,2217,2216.81,21777,14,Shahdiran Inc.-a
20010709,2215.17,2215,2186,2185.58,17902,10,Shahdiran Inc.-a
20010710,2154.34,2169,2145,2146.12,40058,25,Shahdiran Inc.-a
20010711,2146.12,2178,2146,2178.18,10940,12,Shahdiran Inc.-a
20010714,2194.62,2195,2195,2194.62,15800,13,Shahdiran Inc.-a
20010715,2211.06,2260,2195,2230.78,196574,75,Shahdiran Inc.-a
