<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010424,120.46,120,120,120.46,2000,1,Fars Chem. Ind.-a
20010425,120.46,121,120,121.45,1600,4,Fars Chem. Ind.-a
20010428,121.45,121,120,120.46,1161,2,Fars Chem. Ind.-a
20010512,118.42,118,118,118.48,2490,7,Fars Chem. Ind.-a
20010513,118.48,118,118,118.48,800,2,Fars Chem. Ind.-a
20010515,118.48,118,118,118.48,111,1,Fars Chem. Ind.-a
20010516,119.27,120,119,119.67,1500,3,Fars Chem. Ind.-a
20010519,119.67,120,120,119.67,300,1,Fars Chem. Ind.-a
20010520,119.71,120,120,119.73,2100,3,Fars Chem. Ind.-a
20010527,122.06,122,122,122.06,5000,2,Fars Chem. Ind.-a
20010528,123.42,125,123,124.90,7000,6,Fars Chem. Ind.-a
20010530,130.33,130,126,125.97,5100,2,Fars Chem. Ind.-a
20010602,126.19,126,126,126.19,5000,2,Fars Chem. Ind.-a
20010603,132.48,132,132,132.48,2000,1,Fars Chem. Ind.-a
20010606,139.10,139,139,139.10,2500,1,Fars Chem. Ind.-a
20010609,146.05,146,146,146.05,3000,3,Fars Chem. Ind.-a
20010611,153.34,153,153,153.34,4000,6,Fars Chem. Ind.-a
20010612,161.00,161,161,160.55,22194,21,Fars Chem. Ind.-a
20010613,157.39,157,157,157.39,1736,4,Fars Chem. Ind.-a
20010616,156.99,158,150,157.82,13960,18,Fars Chem. Ind.-a
20010617,157.72,161,157,160.53,12575,16,Fars Chem. Ind.-a
20010618,160.53,161,161,160.53,12050,15,Fars Chem. Ind.-a
20010619,160.53,161,161,160.53,2621,4,Fars Chem. Ind.-a
20010625,160.15,160,160,160.15,3800,5,Fars Chem. Ind.-a
20010702,159.64,160,160,159.64,400,1,Fars Chem. Ind.-a
20010704,159.24,159,159,159.24,500,2,Fars Chem. Ind.-a
20010708,159.03,159,159,159.05,735,2,Fars Chem. Ind.-a
20010709,158.73,159,159,158.77,1850,3,Fars Chem. Ind.-a
20010711,158.59,159,159,158.59,721,3,Fars Chem. Ind.-a
20010714,157.98,158,158,157.98,500,1,Fars Chem. Ind.-a
20010715,157.98,158,158,157.98,3000,2,Fars Chem. Ind.-a
20010716,157.98,158,158,157.98,620,2,Fars Chem. Ind.-a
20010717,156.00,156,156,156.00,952,1,Fars Chem. Ind.-a
20010722,156.00,156,156,156.00,1782,2,Fars Chem. Ind.-a
20010723,155.23,155,155,155.23,800,1,Fars Chem. Ind.-a
