<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20140208,289.35,289,289,289.35,50,1,Shahin Plastic-a
20140505,248.02,248,248,248.02,100,1,Shahin Plastic-a
20140510,248.02,248,248,248.02,80,1,Shahin Plastic-a
20140908,826.72,827,827,826.72,2623,1,Shahin Plastic-a
20150112,744.05,744,744,744.05,20,1,Shahin Plastic-a
20150513,744.05,744,744,744.05,2612,1,Shahin Plastic-a
20150620,744.05,744,744,744.05,609,2,Shahin Plastic-a
20160110,785.38,785,785,785.38,594,1,Shahin Plastic-a
20160301,826.72,827,827,826.72,2685,1,Shahin Plastic-a
20160315,826.72,827,827,826.72,43526,1,Shahin Plastic-a
20160824,826.72,827,827,826.72,4283,1,Shahin Plastic-a
20161221,826.72,827,827,826.72,594,1,Shahin Plastic-a
20170211,826.72,827,827,826.72,4333,1,Shahin Plastic-a
20170328,909.39,909,909,909.39,1000,1,Shahin Plastic-a
20170416,1000.33,1000,1000,1000.33,10000,4,Shahin Plastic-a
20170529,1100.37,1100,1100,1100.37,18000,1,Shahin Plastic-a
20170716,1210.32,1210,1210,1210.32,10499,2,Shahin Plastic-a
20170827,1815.48,1815,1815,1252.48,1684,3,Shahin Plastic-a
20170912,1878.31,1878,1878,1268.19,598,1,Shahin Plastic-a
20170926,1902.28,1902,1902,1534.39,10111,1,Shahin Plastic-a
20171016,2301.59,2302,2302,1555.06,659,1,Shahin Plastic-a
20171113,2332.18,2332,2332,2093.26,16707,1,Shahin Plastic-a
20171202,2302.42,2302,2302,2302.42,10499,1,Shahin Plastic-a
20171203,2532.25,2532,2532,2532.25,50000,2,Shahin Plastic-a
20180121,3063.47,3063,3063,3063.47,7000,2,Shahin Plastic-a
20180130,3369.00,0,0,3369.00,4444,1,Shahin Plastic-a
20180411,3705.00,3705,3705,3705.00,5499,2,Shahin Plastic-a
20180505,3830.00,3830,3830,3830.00,197896,11,Shahin Plastic-a
20180507,4211.00,4211,4211,4211.00,23949,3,Shahin Plastic-a
20180523,4301.00,4320,4301,4312.00,64128,7,Shahin Plastic-a
20180528,4500.00,4500,4500,4500.00,13969,7,Shahin Plastic-a
20180530,4500.00,4500,4500,4500.00,207558,5,Shahin Plastic-a
20180613,4600.00,4600,4600,4600.00,1003,1,Shahin Plastic-a
20180620,4600.00,4600,4600,4600.00,4947,1,Shahin Plastic-a
20180627,4600.00,4600,4600,4600.00,2310,1,Shahin Plastic-a
20180711,4600.00,4600,4600,4600.00,2419,1,Shahin Plastic-a
20180714,4600.00,4600,4600,4600.00,213,1,Shahin Plastic-a
20180804,4600.00,4600,4600,4600.00,5824,11,Shahin Plastic-a
20180808,4600.00,4600,4600,4600.00,520,2,Shahin Plastic-a
20180813,4600.00,4600,4600,4600.00,12829,2,Shahin Plastic-a
20180901,4602.00,4602,4602,4602.00,200,1,Shahin Plastic-a
20180903,4951.00,4951,4951,4951.00,6980,2,Shahin Plastic-a
20180905,4951.00,4951,4951,4951.00,14104,1,Shahin Plastic-a
20180924,4952.00,4952,4952,4952.00,13711,2,Shahin Plastic-a
20181003,5000.00,5001,5000,5000.00,51218,8,Shahin Plastic-a
20181015,5000.00,5000,5000,5000.00,844,1,Shahin Plastic-a
20181017,5000.00,5000,5000,5000.00,6525,3,Shahin Plastic-a
20181024,5000.00,5000,5000,5000.00,137,2,Shahin Plastic-a
20181027,5000.00,5000,5000,5000.00,174,1,Shahin Plastic-a
20181121,5002.00,5002,5002,5002.00,3965,1,Shahin Plastic-a
20181203,5002.00,5002,5002,5002.00,241,1,Shahin Plastic-a
20181205,5101.00,5101,5101,5101.00,482,3,Shahin Plastic-a
20181222,5506.00,5506,5506,5506.00,10000,2,Shahin Plastic-a
20181226,5506.00,5506,5506,5506.00,200,1,Shahin Plastic-a
20181229,5511.00,5511,5511,5511.00,4012,1,Shahin Plastic-a
20190109,5511.00,5511,5511,5511.00,2925,1,Shahin Plastic-a
20190114,5570.00,5570,5570,5570.00,1499,2,Shahin Plastic-a
20190126,5910.00,5910,5910,5910.00,7451,3,Shahin Plastic-a
20190216,5915.00,5915,5915,5915.00,520,1,Shahin Plastic-a
20190218,5950.00,6010,5950,5985.00,1711,5,Shahin Plastic-a
20190306,6203.00,6203,6203,6203.00,452,1,Shahin Plastic-a
20190501,6208.00,6208,6208,6208.00,366,1,Shahin Plastic-a
20190513,6300.00,6300,6300,6300.00,47389,5,Shahin Plastic-a
20190803,6300.00,6300,6300,6300.00,12106,2,Shahin Plastic-a
20190821,6300.00,6300,6300,6300.00,50000,2,Shahin Plastic-a
20190925,6489.00,6489.00,6489.00,6489.00,1148,1,Shahin Plastic-a
