<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010409,553.52,554,554,553.52,255,1,قشكر-ت
20010410,553.52,554,554,553.52,50,1,قشكر-ت
20010411,553.52,554,552,553.52,1160,4,قشكر-ت
20010415,553.60,568,554,568.33,563,2,قشكر-ت
20010417,570.41,571,570,570.81,1204,3,قشكر-ت
20010418,577.22,577,577,577.22,255,1,قشكر-ت
20010422,606.03,606,584,606.03,1063,3,قشكر-ت
20010423,606.03,606,606,606.03,63,1,قشكر-ت
20010424,609.95,610,610,609.95,850,1,قشكر-ت
20010425,636.29,636,614,636.29,1934,4,قشكر-ت
20010428,636.29,636,636,636.29,1056,8,قشكر-ت
20010429,648.38,648,648,648.38,1255,3,قشكر-ت
20010430,649.10,649,649,649.10,171,1,قشكر-ت
20010501,668.07,668,668,668.07,1063,2,قشكر-ت
20010502,668.07,668,668,668.07,510,1,قشكر-ت
20010508,668.07,668,668,668.07,818,2,قشكر-ت
20010509,681.20,701,681,701.45,3385,5,قشكر-ت
20010512,701.45,701,701,701.45,63,1,قشكر-ت
20010513,701.45,701,701,701.45,1010,4,قشكر-ت
20010521,676.47,676,676,676.39,6000,3,قشكر-ت
20010526,676.39,676,672,672.39,3226,5,قشكر-ت
20010527,672.39,672,672,672.39,2821,2,قشكر-ت
20010529,672.79,673,672,672.71,3828,9,قشكر-ت
20010530,696.40,700,696,700.41,1000,4,قشكر-ت
20010602,700.41,700,700,700.41,815,2,قشكر-ت
20010613,699.53,700,700,700.41,2500,13,قشكر-ت
20010616,700.33,700,700,700.33,110,1,قشكر-ت
20010617,700.33,700,700,700.33,400,1,قشكر-ت
20010619,696.32,696,696,696.32,150,1,قشكر-ت
20010623,696.16,696,696,696.16,620,4,قشكر-ت
20010625,696.08,696,696,696.16,13200,19,قشكر-ت
20010626,696.24,696,695,695.44,144,3,قشكر-ت
20010627,688.40,694,685,688.40,8000,11,قشكر-ت
20010630,688.24,688,688,688.24,282,2,قشكر-ت
20010701,676.39,676,673,672.71,10935,19,قشكر-ت
20010702,672.63,673,672,672.39,1350,6,قشكر-ت
20010708,671.99,672,672,671.99,57,1,قشكر-ت
20010718,664.39,664,664,664.39,3000,7,قشكر-ت
20010721,660.38,660,660,660.38,2000,7,قشكر-ت
20010725,653.18,653,653,653.18,1500,3,قشكر-ت
20010728,641.17,641,641,641.09,2522,15,قشكر-ت
20010730,640.37,641,640,640.37,8595,11,قشكر-ت
20010804,640.37,640,640,640.37,63,1,قشكر-ت
20010805,640.37,641,640,641.09,2015,2,قشكر-ت
20010806,641.17,642,641,641.57,20856,9,قشكر-ت
20010807,641.57,642,642,641.57,255,1,قشكر-ت
20010808,648.38,648,648,648.38,1092,1,قشكر-ت
20010812,648.62,649,649,648.62,253,1,قشكر-ت
20010813,649.02,672,649,672.39,6175,4,قشكر-ت
20010814,672.39,672,672,672.39,3953,3,قشكر-ت
20010818,672.39,672,672,672.39,255,1,قشكر-ت
20010819,672.39,672,672,672.39,765,5,قشكر-ت
20010820,672.55,674,673,674.07,1850,4,قشكر-ت
20010821,674.47,674,674,674.47,255,1,قشكر-ت
20010822,680.40,680,680,680.40,1138,1,قشكر-ت
20010827,684.64,685,685,684.64,255,1,قشكر-ت
20010828,684.88,685,685,685.04,5255,3,قشكر-ت
20010829,688.40,688,688,688.40,1111,2,قشكر-ت
20010902,688.80,689,689,688.80,255,1,قشكر-ت
20010904,689.28,689,689,689.28,3745,4,قشكر-ت
20010909,689.28,689,689,689.28,5000,5,قشكر-ت
20010910,689.20,689,689,689.20,288,1,قشكر-ت
20010922,640.37,640,640,640.37,510,2,قشكر-ت
20010923,640.37,640,640,640.37,4100,5,قشكر-ت
20011021,608.35,608,608,608.35,1000,1,قشكر-ت
20011022,608.27,608,608,608.35,1832,3,قشكر-ت
20011023,607.55,608,608,608.35,4935,12,قشكر-ت
20011024,608.35,608,608,608.35,25,1,قشكر-ت
20011028,608.35,608,608,608.35,250,1,قشكر-ت
20011031,608.35,634,608,632.37,10691,25,قشكر-ت
20011103,634.37,640,634,640.37,1976,3,قشكر-ت
20011106,640.37,640,640,640.37,1664,3,قشكر-ت
20011112,640.37,640,640,640.37,2500,5,قشكر-ت
20011124,640.37,640,640,640.37,1300,4,قشكر-ت
20011125,640.37,672,640,672.39,2091,7,قشكر-ت
20011127,672.31,706,672,672.39,305063,8,قشكر-ت
20011128,672.23,672,672,672.39,1300,3,قشكر-ت
20020107,640.37,640,638,638.37,12000,5,قشكر-ت
20020108,633.97,634,607,606.51,5843,14,قشكر-ت
20020112,576.25,576,576,576.25,1500,3,قشكر-ت
20020113,574.73,575,560,560.33,4614,10,قشكر-ت
20020224,400.23,400,400,400.23,1000,1,قشكر-ت
20020225,400.23,401,400,400.39,7396,18,قشكر-ت
20020226,400.71,401,401,401.43,126,2,قشكر-ت
20020304,421.44,421,421,421.44,3481,3,قشكر-ت
20020305,432.25,432,421,432.25,35318,21,قشكر-ت
20020306,434.49,434,434,434.49,637,1,قشكر-ت
20020310,448.26,448,448,448.26,4000,10,قشكر-ت
20020311,448.26,452,448,452.26,1141,3,قشكر-ت
20020312,474.84,475,464,474.84,4000,5,قشكر-ت
20020313,474.84,475,475,474.84,28,1,قشكر-ت
20020316,480.28,480,480,480.28,500,1,قشكر-ت
20020317,492.29,492,492,492.29,1138,5,قشكر-ت
20020318,492.29,492,492,492.29,70,1,قشكر-ت
20020319,492.53,493,493,492.53,126,1,قشكر-ت
20020327,496.61,500,497,500.29,1126,5,قشكر-ت
20020330,504.29,504,504,504.29,600,2,قشكر-ت
20020403,504.69,505,505,504.69,57,1,قشكر-ت
20020407,505.65,506,506,505.97,510,5,قشكر-ت
20020408,506.05,511,504,510.70,3000,8,قشكر-ت
20020409,504.29,504,489,489.16,2000,2,قشكر-ت
20020410,489.16,489,480,480.28,1000,4,قشكر-ت
20020417,480.28,480,480,480.28,3281,9,قشكر-ت
20020421,480.28,480,480,480.28,116,1,قشكر-ت
20020422,480.28,480,480,480.28,500,1,قشكر-ت
