<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20110830,595.27,675,586,613.53,4218382,554,شلرد-ت
20110903,582.97,583,583,582.97,56000,9,شلرد-ت
20110904,554.00,554,554,554.00,32364,6,شلرد-ت
20110905,526.62,556,527,532.97,2394476,406,شلرد-ت
20110906,559.56,560,560,559.56,330000,42,شلرد-ت
20110907,587.34,587,547,585.75,2245604,436,شلرد-ت
20110910,567.49,607,567,598.05,181931,47,شلرد-ت
20110911,575.83,576,568,574.24,244000,64,شلرد-ت
20110912,571.07,574,546,549.24,601507,104,شلرد-ت
20110913,531.78,556,530,554.40,219047,50,شلرد-ت
20110914,555.59,556,548,554.40,109500,31,شلرد-ت
20110917,543.68,544,534,536.94,41628,10,شلرد-ت
20110918,536.94,537,529,532.17,153641,35,شلرد-ت
20110919,515.90,524,506,510.35,360113,75,شلرد-ت
20110920,523.84,524,508,508.36,67350,13,شلرد-ت
20110921,498.44,498,489,496.06,183637,49,شلرد-ت
20110925,496.46,496,471,474.23,345660,79,شلرد-ت
20110926,495.27,495,484,489.71,20400,6,شلرد-ت
20110927,476.62,488,466,473.44,48036,13,شلرد-ت
20110928,491.30,491,477,490.11,61000,13,شلرد-ت
20111001,476.22,492,476,477.81,171276,39,شلرد-ت
20111002,478.20,492,472,477.01,134429,38,شلرد-ت
20111003,480.19,492,468,478.60,24160,12,شلرد-ت
20111004,486.14,486,486,486.14,3000,1,شلرد-ت
20111005,462.73,464,462,462.33,869990,158,شلرد-ت
20111008,464.31,485,464,483.76,489025,98,شلرد-ت
20111009,485.35,508,485,502.41,582548,123,شلرد-ت
20111010,512.33,527,500,513.13,324262,74,شلرد-ت
20111011,519.87,520,488,491.30,89750,18,شلرد-ت
20111012,502.81,503,481,483.76,120545,24,شلرد-ت
20111015,467.09,467,462,463.92,252000,57,شلرد-ت
20111016,446.46,460,445,452.01,106818,36,شلرد-ت
20111017,454.39,456,454,455.58,15000,2,شلرد-ت
20111018,441.69,475,442,462.33,20000,5,شلرد-ت
20111019,456.77,468,457,461.14,143996,41,شلرد-ت
20111022,468.28,468,458,459.55,20000,5,شلرد-ت
20111023,458.36,458,444,450.03,50564,18,شلرد-ت
20111024,456.38,456,446,451.22,53330,15,شلرد-ت
20111025,471.06,471,454,454.79,40500,9,شلرد-ت
20111026,467.88,476,460,471.46,203640,37,شلرد-ت
20111029,467.09,468,456,465.11,245118,24,شلرد-ت
20111030,468.28,468,468,468.28,32521,5,شلرد-ت
20111031,456.38,456,448,449.63,325,5,شلرد-ت
20111101,452.80,469,453,455.19,37200,6,شلرد-ت
20111102,458.36,468,457,460.34,40000,6,شلرد-ت
20111105,460.34,460,460,460.34,2565,1,شلرد-ت
20111106,451.61,452,437,437.72,300950,37,شلرد-ت
20111108,415.90,425,416,417.88,124289,15,شلرد-ت
20111109,414.71,439,415,437.33,66250,10,شلرد-ت
20111112,459.15,459,458,458.76,207514,29,شلرد-ت
20111113,436.14,467,436,436.53,86887,11,شلرد-ت
20111114,456.38,456,447,450.42,19667,8,شلرد-ت
20111116,444.47,444,442,444.47,40979,5,شلرد-ت
20111119,424.63,427,423,426.22,52694,8,شلرد-ت
20111120,430.58,444,429,432.17,43200,18,شلرد-ت
20111121,436.53,437,417,426.22,21925,4,شلرد-ت
20111122,416.69,447,405,428.60,494316,61,شلرد-ت
20111123,415.50,416,416,415.50,7767,1,شلرد-ت
20111126,423.04,433,413,417.09,21430,8,شلرد-ت
20111127,436.14,436,417,419.47,14200,7,شلرد-ت
20111128,404.79,427,401,412.72,81000,15,شلرد-ت
20111129,426.61,427,425,425.03,24447,5,شلرد-ت
20111130,430.18,430,413,420.66,34170,8,شلرد-ت
20111203,430.18,430,421,420.66,15027,2,شلرد-ت
20111204,426.61,437,427,432.96,25000,5,شلرد-ت
20111207,436.14,437,429,432.57,53700,12,شلرد-ت
20111210,427.01,427,421,426.22,67255,10,شلرد-ت
20111211,420.66,421,421,420.66,35167,6,شلرد-ت
20111212,436.14,436,436,436.14,100,1,شلرد-ت
20111213,419.87,420,420,419.87,14547,5,شلرد-ت
20111214,436.14,436,422,424.23,34830,7,شلرد-ت
20111217,420.66,421,421,420.66,20500,5,شلرد-ت
20111218,422.25,425,421,422.64,90385,11,شلرد-ت
20111219,419.87,427,420,422.64,44850,9,شلرد-ت
20111220,419.47,429,410,417.09,162729,13,شلرد-ت
20111221,417.09,428,413,420.26,194000,20,شلرد-ت
20111224,416.69,427,417,421.45,277902,27,شلرد-ت
20111225,413.91,425,414,423.83,140014,11,شلرد-ت
20111226,420.66,426,421,423.83,275849,23,شلرد-ت
20111228,423.83,424,423,423.44,28241,3,شلرد-ت
20111231,423.44,429,423,424.23,75900,9,شلرد-ت
20120101,424.63,429,423,423.44,262336,16,شلرد-ت
20120102,423.44,423,417,421.85,200000,9,شلرد-ت
20120103,402.80,427,403,417.49,348030,22,شلرد-ت
20120104,436.53,437,416,418.28,266002,24,شلرد-ت
20120107,417.09,417,417,416.69,270000,13,شلرد-ت
20120108,420.66,421,417,417.88,26665,6,شلرد-ت
20120118,446.46,446,446,417.88,1000,1,شلرد-ت
20120121,401.21,409,401,403.60,440122,41,شلرد-ت
20120123,408.36,423,408,422.64,530000,34,شلرد-ت
20120125,401.61,402,402,401.61,100000,4,شلرد-ت
20120128,396.85,421,397,413.12,910000,55,شلرد-ت
20120129,397.25,432,397,412.72,37613,15,شلرد-ت
20120130,397.25,405,397,401.61,17000,4,شلرد-ت
20120131,396.85,397,397,396.85,49000,9,شلرد-ت
20120201,396.85,397,397,396.85,15800,4,شلرد-ت
20120204,404.79,405,397,401.21,15000,2,شلرد-ت
20120205,412.72,415,413,412.72,161540,12,شلرد-ت
20120206,398.04,401,398,398.04,32500,8,شلرد-ت
20120207,401.21,415,401,411.93,531261,75,شلرد-ت
20120208,398.04,398,398,398.04,17000,2,شلرد-ت
20120212,396.85,417,397,408.75,61011,7,شلرد-ت
20120213,398.83,401,399,400.02,30030,6,شلرد-ت
20120214,396.85,397,397,396.85,10000,1,شلرد-ت
20120218,384.94,385,385,384.94,11900,2,شلرد-ت
20120219,396.85,397,397,396.85,50000,8,شلرد-ت
20120220,396.85,397,397,396.85,20000,3,شلرد-ت
20120226,396.06,397,396,396.85,60000,9,شلرد-ت
20120228,396.85,397,397,396.85,36586734,5,شلرد-ت
20120229,396.85,397,397,396.85,36500000,1,شلرد-ت
20120303,396.85,397,397,396.85,36500000,1,شلرد-ت
20120304,396.85,397,397,396.85,10427493,1,شلرد-ت
20120310,396.85,397,397,396.85,12000,3,شلرد-ت
20120311,396.85,397,397,396.85,2000,1,شلرد-ت
20120312,377.01,377,377,377.01,1000,1,شلرد-ت
20120313,377.40,377,369,372.64,16000,6,شلرد-ت
20120314,357.16,365,357,363.51,12714,3,شلرد-ت
20120318,369.07,369,369,369.07,5000,1,شلرد-ت
20120324,369.07,387,369,378.20,971000,84,شلرد-ت
20120326,396.45,397,396,396.45,60250,8,شلرد-ت
20120327,415.90,416,416,415.90,1000,1,شلرد-ت
20120408,396.85,397,397,396.85,9413,5,شلرد-ت
20120409,377.01,377,377,377.01,587,1,شلرد-ت
20120410,395.66,396,396,395.66,32200,4,شلرد-ت
20120411,377.40,397,377,389.71,7800,3,شلرد-ت
20120414,396.85,397,396,396.85,34500,4,شلرد-ت
20120415,396.85,397,395,395.26,18000,2,شلرد-ت
20120416,396.85,397,377,394.86,10000,3,شلرد-ت
20120418,392.88,397,393,394.86,28000,2,شلرد-ت
20120421,413.91,414,414,413.91,12300,3,شلرد-ت
20120422,393.28,393,393,393.28,1500,1,شلرد-ت
20120423,373.83,393,374,392.48,15500,3,شلرد-ت
20120428,377.01,377,377,377.01,2070,1,شلرد-ت
20120429,395.66,396,396,395.66,54989,4,شلرد-ت
20120430,408.75,409,397,404.79,50000,4,شلرد-ت
20120501,396.85,397,397,396.85,50000,5,شلرد-ت
20120502,396.85,397,397,396.85,50000,2,شلرد-ت
20120505,398.83,399,399,398.83,50,1,شلرد-ت
20120508,396.85,397,397,396.85,50000,3,شلرد-ت
20120512,396.85,397,397,396.85,100000,8,شلرد-ت
20120514,396.45,397,396,396.45,100692,12,شلرد-ت
20120515,396.85,397,397,396.85,14649,3,شلرد-ت
20120516,396.85,397,397,396.85,50000,5,شلرد-ت
20120519,396.85,397,397,396.85,45076,3,شلرد-ت
