<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20111025,420.00,499,420,472.00,7637027,900,Shomal Invest.-R-a
20111026,456.00,493,456,480.00,6441270,487,Shomal Invest.-R-a
20111029,490.00,504,482,494.00,5457753,420,Shomal Invest.-R-a
20111030,518.00,518,518,518.00,1915784,128,Shomal Invest.-R-a
20111031,543.00,543,495,523.00,10348403,616,Shomal Invest.-R-a
20111101,501.00,538,497,515.00,8189145,876,Shomal Invest.-R-a
20111102,522.00,531,504,519.00,8899985,753,Shomal Invest.-R-a
20111105,525.00,533,510,523.00,8232496,634,Shomal Invest.-R-a
20111106,519.00,519,497,504.00,436918,34,Shomal Invest.-R-a
20111108,479.00,481,479,479.00,1055000,58,Shomal Invest.-R-a
20111109,456.00,490,456,463.00,4823314,291,Shomal Invest.-R-a
20111112,477.00,477,440,447.00,5274331,626,Shomal Invest.-R-a
20111113,425.00,425,425,425.00,493778,62,Shomal Invest.-R-a
20111114,421.00,446,410,432.00,3573559,200,Shomal Invest.-R-a
20111116,412.00,425,411,412.00,2592693,139,Shomal Invest.-R-a
20111119,424.00,425,392,399.00,4575935,301,Shomal Invest.-R-a
20111120,383.00,383,380,380.00,1765050,86,Shomal Invest.-R-a
20111121,361.00,361,361,361.00,135000,5,Shomal Invest.-R-a
20111122,343.00,343,343,343.00,136350,8,Shomal Invest.-R-a
20111123,326.00,340,326,327.00,4381280,237,Shomal Invest.-R-a
20111126,343.00,343,342,343.00,3626687,230,Shomal Invest.-R-a
20111127,360.00,360,326,354.00,7736558,529,Shomal Invest.-R-a
20111128,337.00,346,337,337.00,1278000,100,Shomal Invest.-R-a
20111129,337.00,353,323,346.00,4947481,356,Shomal Invest.-R-a
20111130,330.00,330,329,329.00,597100,40,Shomal Invest.-R-a
20111203,329.00,329,313,316.00,2532300,131,Shomal Invest.-R-a
20111204,310.00,323,301,313.00,5526305,488,Shomal Invest.-R-a
20111207,317.00,321,304,314.00,1521299,133,Shomal Invest.-R-a
20111210,307.00,307,299,300.00,3182652,186,Shomal Invest.-R-a
20111211,288.00,306,285,292.00,15979727,1655,Shomal Invest.-R-a
20111212,302.00,302,278,279.00,7398367,1083,Shomal Invest.-R-a
20111213,280.00,283,266,270.00,3836169,386,Shomal Invest.-R-a
20111214,257.00,257,257,257.00,658081,37,Shomal Invest.-R-a
20111217,245.00,245,245,245.00,227500,12,Shomal Invest.-R-a
20111218,233.00,233,233,233.00,336153,16,Shomal Invest.-R-a
20111219,222.00,222,222,222.00,161000,10,Shomal Invest.-R-a
20111220,211.00,211,211,211.00,5016459,207,Shomal Invest.-R-a
20120213,200.00,200,200,200.00,100,1,Shomal Invest.-R-a
20120219,200.00,200,200,200.00,1650,1,Shomal Invest.-R-a
20120221,190.00,190,190,190.00,10000,1,Shomal Invest.-R-a
20120225,181.00,181,181,181.00,17000,4,Shomal Invest.-R-a
20120303,190.00,190,190,190.00,18000,3,Shomal Invest.-R-a
20120305,181.00,181,181,181.00,40500,5,Shomal Invest.-R-a
20120306,172.00,172,172,172.00,17105,3,Shomal Invest.-R-a
20120307,164.00,164,164,164.00,20000,3,Shomal Invest.-R-a
20120310,156.00,156,156,156.00,305000,31,Shomal Invest.-R-a
20120311,149.00,149,149,149.00,5000,1,Shomal Invest.-R-a
20120312,142.00,142,142,142.00,20000,3,Shomal Invest.-R-a
20120313,135.00,135,135,135.00,15000,3,Shomal Invest.-R-a
20120314,129.00,129,129,129.00,47127102,3727,Shomal Invest.-R-a
