<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20190902,3790.00,3790,3790,3790.00,8832640,436,Sakht Ajand-a
20190904,3700.00,3700,3677,3699.00,8702158,620,Sakht Ajand-a
20190916,3552.00,3552,3552,3552.00,1381534,41,Sakht Ajand-a
20190917,3481.00,3481,3481,3481.00,545043,53,Sakht Ajand-a
20190918,3481.00,3481,3481,3481.00,42126,11,Sakht Ajand-a
20190921,3481.00,3481,3481,3481.00,1017213,78,Sakht Ajand-a
20190922,3481.00,3481,3481,3481.00,160596,18,Sakht Ajand-a
20190923,3481.00,3481,3342,3432.00,278810,35,Sakht Ajand-a
20190924,3276.00,3341,3276,3278.00,7332036,727,Sakht Ajand-a
20190925,3343.00,3343.00,3277.00,3341.00,14088227,1554,Sakht Ajand-a
