<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130901,649.55,676,650,657.61,2581367
20130903,683.57,684,684,664.32,198276
20130904,688.50,688,638,661.64,1598922
20130907,635.23,658,635,658.95,75739
20130908,657.61,658,645,658.06,54926
20130909,635.67,654,633,651.34,353860
20130910,644.63,677,645,657.16,195780
20130911,683.13,683,671,671.49,489265
20130914,698.35,698,671,677.75,258113
20130915,697.00,697,655,676.41,135317
20130916,689.39,689,655,674.17,110421
20130917,671.49,671,647,671.93,79518
20130918,671.04,684,663,671.93,171103
20130921,671.49,684,664,671.93,107779
20130922,669.25,671,659,669.70,199513
20130923,667.01,671,652,667.91,289424
20130924,671.49,671,659,668.35,132004
20130925,664.32,683,663,667.91,77817
20130928,671.49,689,667,671.49,253874
20130929,663.43,684,663,671.04,46198
20130930,668.35,695,668,676.41,264472
20131001,703.27,703,673,685.36,483300
20131002,711.78,713,705,695.66,312536
20131005,723.41,723,723,699.69,107234
20131006,727.44,727,727,700.58,25581
20131007,728.34,728,728,701.93,41893
20131008,729.68,730,730,702.37,14606
20131009,730.13,730,730,704.61,54663
20131012,732.37,732,732,731.92,742112
20131013,761.02,761,761,735.95,102366
20131014,765.05,765,765,763.70,718467
20131015,794.14,794,794,793.25,725402
20131019,824.59,825,825,824.14,740400
20131020,856.82,857,857,856.82,746208
20131021,890.84,891,891,890.84,745171
20131022,926.20,926,926,892.18,26847
20131023,927.55,928,928,894.42,47500
20131026,929.79,930,930,897.55,63071
20131027,933.37,933,933,902.48,103484
20131028,938.29,938,938,912.77,213866
20131029,949.03,949,949,913.67,14153
20131030,949.93,950,950,949.93,1006326
20131102,987.53,988,950,986.64,8889037
20131103,1018.42,1018,947,983.95,2712403
20131104,957.09,957,945,959.33,481418
20131105,921.28,983,921,926.20,2755974
20131106,935.60,963,936,962.46,2496998
20131109,1000.96,1001,949,985.29,1057732
20131110,967.84,993,949,966.05,1423613
20131111,971.42,974,937,955.30,716158
20131112,971.42,971,921,941.42,484102
20131116,971.42,971,918,940.08,500502
20131117,956.20,956,924,938.29,655107
20131118,949.03,949,922,932.92,661556
20131119,927.99,949,928,938.29,555810
20131120,940.08,954,927,937.40,323961
20131123,971.42,975,956,955.30,397155
20131124,993.35,993,993,962.91,148519
20131125,1001.41,1001,1001,1001.41,1129330
20131126,1041.25,1041,970,1035.43,3787293
20131127,1074.38,1077,1052,1074.83,2151893
20131130,1117.80,1118,1118,1099.89,434381
20131201,1143.77,1144,1056,1111.09,3026126
20131202,1066.77,1095,1067,1069.90,822782
20131203,1100.79,1101,1028,1051.55,870353
20131204,1074.38,1074,1030,1052.44,485542
20131207,1067.66,1074,1030,1051.55,342469
20131208,1051.55,1074,1030,1046.18,527458
20131209,1029.61,1056,1021,1039.46,276500
20131210,1020.66,1052,1007,1037.22,318940
20131211,1056.47,1078,1027,1056.92,1106315
20131214,1099.00,1099,1039,1096.76,1627244
20131215,1118.70,1140,1081,1126.31,1348916
20131216,1163.91,1166,1128,1146.90,586398
20131217,1124.07,1142,1106,1118.25,765639
20131218,1146.00,1146,1074,1106.61,958316
20131221,1119.14,1119,1065,1086.02,543531
20131222,1069.90,1101,1065,1081.54,396571
20131224,1096.76,1115,1067,1097.66,671598
20131225,1117.80,1118,1074,1092.73,331262
20131228,1114.67,1115,1084,1108.40,1196991
20131229,1152.72,1153,1153,1123.17,253185
20131230,1167.94,1168,1168,1164.81,700920
20140101,1211.36,1211,1195,1210.91,2014312
20140104,1230.16,1230,1168,1179.58,675492
20140105,1171.52,1194,1164,1180.92,429305
20140106,1180.92,1226,1164,1184.95,508907
20140107,1203.75,1204,1164,1180.03,496146
20140108,1141.97,1181,1142,1167.94,444174
20140111,1146.90,1214,1133,1198.83,1960307
20140112,1166.60,1186,1151,1181.37,287503
20140113,1186.74,1208,1187,1193.90,608073
20140114,1208.23,1241,1178,1233.30,3553115
20140115,1213.15,1227,1184,1207.33,706996
20140118,1190.77,1195,1159,1167.49,649077
20140120,1124.07,1150,1121,1141.08,499804
20140121,1119.14,1181,1119,1136.60,389919
20140122,1093.18,1119,1091,1110.64,495345
20140125,1074.83,1142,1070,1111.09,124961
20140126,1123.62,1124,1067,1088.26,435660
20140127,1044.83,1074,1045,1047.52,1157209
20140128,1083.33,1089,1079,1069.01,404201
20140129,1109.30,1109,1059,1082.88,367006
20140201,1119.14,1126,1080,1107.51,513709
20140202,1119.59,1120,1064,1101.69,187622
20140203,1070.80,1088,1059,1086.02,339395
20140204,1096.76,1097,1043,1075.27,373104
20140210,1032.30,1091,1032,1054.68,370289
20140212,1012.60,1065,1013,1036.33,351545
20140215,1007.23,1065,1007,1032.30,302148
20140216,1031.85,1073,1032,1041.25,216843
20140217,1082.88,1083,1031,1062.29,432922
20140218,1034.54,1078,1034,1063.19,215300
20140219,1083.33,1104,1065,1066.77,134425
20140222,1074.38,1109,1074,1081.99,311643
20140223,1119.14,1119,1085,1084.67,108564
20140224,1074.38,1083,1074,1082.44,196240
20140225,1065.87,1091,1039,1073.48,300355
20140226,1073.48,1087,1052,1072.14,215367
20140301,1096.76,1097,1062,1072.59,329801
20140302,1072.59,1074,1052,1066.77,460057
20140303,1043.49,1056,1030,1056.02,351168
20140304,1014.39,1052,1014,1052.00,113972
20140305,1041.25,1087,1026,1053.79,218497
20140308,1043.04,1070,1014,1048.41,176529
20140309,1013.05,1025,1007,1028.27,405206
20140310,991.11,1030,988,1022.90,188709
20140311,1011.71,1012,982,1001.86,394174
20140312,962.02,1005,962,993.80,205017
20140315,963.36,1027,963,995.14,164834
20140316,989.32,1035,989,1027.37,830911
20140317,1068.11,1068,1068,1059.16,586905
20140318,1101.24,1101,1068,1097.21,856796
20140319,1087.81,1101,1077,1094.08,275777
20140325,1119.14,1119,1079,1094.08,39422
20140326,1100.34,1100,1068,1093.18,43008
20140329,1052.89,1065,1053,1089.15,77730
20140330,1092.28,1110,1065,1087.36,128977
