<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20190303,841000.00,841000,822000,839721.00,1043300,169,SOV.Mush10SP220317-a
20190304,833999.00,839999,831001,833726.00,337100,154,SOV.Mush10SP220317-a
20190305,830008.00,830008,820011,826073.00,383600,152,SOV.Mush10SP220317-a
20190306,815502.00,831001,815502,829532.00,257700,121,SOV.Mush10SP220317-a
20190309,830000.00,832000,827000,830679.00,448800,120,SOV.Mush10SP220317-a
20190310,825153.00,825153,822100,822761.00,145300,90,SOV.Mush10SP220317-a
20190311,818000.00,820000,810000,811807.00,614600,192,SOV.Mush10SP220317-a
20190312,814898.00,814898,810500,811444.00,249900,98,SOV.Mush10SP220317-a
20190313,810034.00,812400,810034,811221.00,250700,92,SOV.Mush10SP220317-a
20190316,810601.00,814001,810520,812669.00,204300,77,SOV.Mush10SP220317-a
20190317,811203.00,823000,811203,815183.00,88500,50,SOV.Mush10SP220317-a
20190318,815183.00,830000,814002,825285.00,21900,19,SOV.Mush10SP220317-a
20190319,820055.00,837900,820001,827182.00,34100,40,SOV.Mush10SP220317-a
20190325,830500.00,830900,825041,828933.00,10000,16,SOV.Mush10SP220317-a
20190326,826142.00,831000,826142,829648.00,9000,12,SOV.Mush10SP220317-a
20190327,831000.00,835000,831000,833857.00,1400,3,SOV.Mush10SP220317-a
20190330,828659.00,828659,828460,828542.00,1700,3,SOV.Mush10SP220317-a
20190331,831854.00,837581,831502,835275.00,1100,6,SOV.Mush10SP220317-a
20190406,832254.00,845000,832000,839451.00,66700,31,SOV.Mush10SP220317-a
20190407,830542.00,841700,830542,839954.00,107600,29,SOV.Mush10SP220317-a
20190408,830550.00,840000,830550,839930.00,93900,34,SOV.Mush10SP220317-a
20190409,843000.00,843000,834000,839077.00,76900,31,SOV.Mush10SP220317-a
20190410,837612.00,841999,837500,839985.00,127600,48,SOV.Mush10SP220317-a
20190413,839900.00,841990,837705,839841.00,130800,45,SOV.Mush10SP220317-a
20190414,840000.00,840200,840000,840051.00,117300,36,SOV.Mush10SP220317-a
20190415,840000.00,841000,835009,839671.00,295500,61,SOV.Mush10SP220317-a
20190416,840000.00,845000,837400,843862.00,306000,72,SOV.Mush10SP220317-a
20190417,840000.00,845000,840000,844839.00,146700,43,SOV.Mush10SP220317-a
20190420,841004.00,845799,841002,844213.00,97000,42,SOV.Mush10SP220317-a
20190422,840007.00,845400,840007,844797.00,109200,34,SOV.Mush10SP220317-a
20190423,840212.00,846000,840212,844900.00,111800,42,SOV.Mush10SP220317-a
20190424,845000.00,845002,845000,845000.00,53100,27,SOV.Mush10SP220317-a
20190427,845000.00,845001,844000,844994.00,174200,40,SOV.Mush10SP220317-a
20190428,844999.00,845999,844999,845145.00,83700,32,SOV.Mush10SP220317-a
20190429,845000.00,846000,845000,845270.00,44100,24,SOV.Mush10SP220317-a
20190430,845055.00,845350,845000,845161.00,94300,37,SOV.Mush10SP220317-a
20190501,845100.00,854000,845000,845820.00,97300,45,SOV.Mush10SP220317-a
