<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180317,940000.00,940000,940000,940000.00,60000
20180318,940000.00,940000,940000,940000.00,370000
20180319,950000.00,980000,950000,960000.00,15000
20180326,938000.00,938000,938000,938000.00,1000
20180327,960000.00,960000,960000,960000.00,1200
20180328,970000.00,970000,970000,970000.00,45000
20180403,970002.00,970002,970002,970002.00,34700
20180404,970000.00,970000,970000,970000.00,6900
20180409,970000.00,970000,970000,970000.00,800
20180415,960000.00,960000,960000,960000.00,10000
20180416,960000.00,960000,960000,960000.00,10000
20180418,940000.00,940000,940000,940000.00,2900
20180421,965000.00,965000,965000,965000.00,1600
20180422,947000.00,947001,947000,947000.00,40000
20180430,950000.00,950000,950000,950000.00,39800
20180505,950000.00,950000,950000,950000.00,8700
20180509,955000.00,955000,955000,955000.00,7700
20180513,964000.00,964000,964000,964000.00,200
20180514,945000.00,945000,945000,945000.00,7000
20180520,945000.00,945000,937002,938225.00,34000
20180521,945000.00,945000,944000,944984.00,6100
20180529,945000.00,945000,940000,940040.00,50400
20180611,930000.00,930000,930000,930000.00,900
20180619,910000.00,910000,910000,910000.00,55000
20180630,939000.00,939000,939000,939000.00,600
20180707,910000.00,910000,910000,910000.00,2400
20180717,910001.00,910001,910000,910000.00,50000
20180725,890000.00,890000,890000,890000.00,28800
20180805,850000.00,850000,850000,850000.00,300
20180811,892500.00,892500,892500,892500.00,100
20180812,920000.00,920000,920000,920000.00,100
20180908,900000.00,900000,900000,900000.00,200
20180912,900000.00,900000,900000,900000.00,400
20180915,900000.00,900000,900000,900000.00,100
20180916,900000.00,900000,900000,900000.00,10000
20180922,900000.00,900000,900000,900000.00,4300
20181002,920000.00,920000,920000,920000.00,5000
20181020,900000.00,900000,900000,900000.00,169000
20181023,905000.00,905000,905000,905000.00,100
20181024,910000.00,915000,910000,912500.00,1000
20181029,917500.00,917500,917500,917500.00,1000
20181103,920000.00,920000,920000,920000.00,500
20181106,932000.00,932000,932000,932000.00,4800
20181110,930000.00,930000,930000,930000.00,1000
20181117,935000.00,935000,935000,935000.00,100
20181204,940000.00,940000,940000,940000.00,1000
20181205,952000.00,952000,952000,952000.00,1000
20181225,954000.00,954000,954000,954000.00,22000
20181226,954012.00,954012,954012,954012.00,11000
20181229,952500.00,952500,951005,952460.00,370000
20190101,954302.00,954302,954302,954302.00,1000
20190106,967000.00,970000,967000,968500.00,200
20190121,973000.00,973000,973000,973000.00,400
20190202,979999.00,980000,979999,980000.00,300
20190203,985850.00,985850,985850,985850.00,100
20190204,999990.00,999990,999990,999990.00,800
20190216,965000.00,965000,965000,965000.00,72600
20190217,965000.00,965000,965000,965000.00,20000
20190218,970000.00,970000,970000,970000.00,2100
20190223,970111.00,970111,965002,968211.00,13100
20190303,977000.00,977000,977000,977000.00,100
20190306,1000000.00,1000000,1000000,1000000.00,1000
20190407,1000000.00,1000000,1000000,1000000.00,93000
20190428,965000.00,965000,965000,965000.00,100
20190519,972000.00,972000,972000,972000.00,24900
20190721,983000.00,983000,983000,983000.00,39700
20190724,984000.00,984000,984000,984000.00,300
