<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20190623,5100.00,5100,5100,5100.00,129998788,433736,سيمرغ-ت
20190624,5355.00,5355,5355,5170.00,142212,556,سيمرغ-ت
20190625,5428.00,5428,5428,5330.00,322447,1215,سيمرغ-ت
20190626,5596.00,5596,5596,5583.00,495517,1785,سيمرغ-ت
20190630,5862.00,5862,5862,5862.00,618702,2215,سيمرغ-ت
20190701,6155.00,6155,6155,6155.00,850757,3014,سيمرغ-ت
20190702,6462.00,6462,6462,6462.00,655709,2343,سيمرغ-ت
20190703,6785.00,6785,6785,6785.00,876073,3657,سيمرغ-ت
20190706,7124.00,7124,7124,7124.00,891408,3278,سيمرغ-ت
20190707,7480.00,7480,7480,7480.00,907883,3317,سيمرغ-ت
20190708,7854.00,7854,7854,7652.00,239235,851,سيمرغ-ت
20190713,8034.00,8435,8034,8349.00,5769054,20126,سيمرغ-ت
20190714,8766.00,8766,8766,8766.00,1450240,5130,سيمرغ-ت
20190715,9204.00,9204,9204,9204.00,1652427,5139,سيمرغ-ت
20190716,9664.00,9664,8744,9490.00,69799852,144396,سيمرغ-ت
20190717,9749.00,9964,9016,9783.00,19050052,41231,سيمرغ-ت
20190720,10272.00,10272,10070,10269.00,31490204,21135,سيمرغ-ت
20190721,10424.00,10782,10010,10543.00,30129080,42825,سيمرغ-ت
20190722,10900.00,11070,10550,11050.00,12865593,5532,سيمرغ-ت
20190723,11200.00,11602,10610,11210.00,28852447,23309,سيمرغ-ت
20190724,10821.00,11210,10650,10730.00,15037858,15181,سيمرغ-ت
20190727,11002.00,11266,11002,11252.00,19509621,7362,سيمرغ-ت
20190728,11080.00,11340,10690,11008.00,14418834,15651,سيمرغ-ت
20190729,10860.00,11558,10700,11269.00,13992604,12048,سيمرغ-ت
20190730,11830.00,11832,11600,11828.00,4688466,1892,سيمرغ-ت
20190731,12419.00,12419,11921,12328.00,28347803,7909,سيمرغ-ت
20190803,12000.00,12944,11715,12388.00,19013566,8855,سيمرغ-ت
20190804,13007.00,13007,12555,12938.00,37622509,8577,سيمرغ-ت
20190805,13080.00,13200,12300,12731.00,16042629,9136,سيمرغ-ت
20190806,12498.00,12723,12095,12186.00,21010243,10421,سيمرغ-ت
20190807,12230.00,12431,11901,12100.00,8309517,8437,سيمرغ-ت
20190810,12004.00,12140,11593,11863.00,9072005,11563,سيمرغ-ت
20190811,12060.00,12120,11452,11708.00,6936195,5014,سيمرغ-ت
20190813,11455.00,11940,11444,11571.00,7799126,5123,سيمرغ-ت
20190814,11600.00,11731.00,11170.00,11336.00,9498720,6182,سيمرغ-ت
