<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20180516,1000000.00,1000000,1000000,1000000.00,200000,8,SabaNaft IJR220515-a
20180519,1000000.00,1000000,1000000,1000000.00,720000,29,SabaNaft IJR220515-a
20190227,1000000.00,1000000,1000000,1000000.00,200,2,SabaNaft IJR220515-a
20190303,1000000.00,1000000,1000000,1000000.00,1985,1,SabaNaft IJR220515-a
20190306,1000000.00,1000000,1000000,1000000.00,2585,2,SabaNaft IJR220515-a
20190309,1000000.00,1000000,1000000,1000000.00,2089,1,SabaNaft IJR220515-a
20190316,1000000.00,1000000,1000000,1000000.00,4937,2,SabaNaft IJR220515-a
20190409,1000000.00,1000000,1000000,1000000.00,900,1,SabaNaft IJR220515-a
20190519,1000000.00,1000000,1000000,1000000.00,485,1,SabaNaft IJR220515-a
20190707,1000000.00,1000000,1000000,1000000.00,100,1,SabaNaft IJR220515-a
20190720,1000000.00,1000000,1000000,1000000.00,4937,1,SabaNaft IJR220515-a
