<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20170524,970000.00,970000,970000,970000.00,1750000,181,Sokuk Saipa143-a
20170603,980000.00,980000,980000,980000.00,52,1,Sokuk Saipa143-a
20170607,980000.00,980000,980000,980000.00,578,8,Sokuk Saipa143-a
20170610,980000.00,980000,980000,980000.00,133,1,Sokuk Saipa143-a
20170613,970200.00,970200,970200,970200.00,687,1,Sokuk Saipa143-a
20170620,970000.00,970000,970000,970000.00,50000,5,Sokuk Saipa143-a
20170624,970200.00,970200,970200,970200.00,1289,2,Sokuk Saipa143-a
20170701,973600.00,973600,973600,973600.00,30,1,Sokuk Saipa143-a
20170702,973600.00,973600,973299,973487.00,32,2,Sokuk Saipa143-a
20170802,970200.00,970200,970200,970200.00,48,1,Sokuk Saipa143-a
20170820,980000.00,980000,980000,980000.00,6,1,Sokuk Saipa143-a
20170829,970200.00,970200,970200,970200.00,2,1,Sokuk Saipa143-a
20170902,970201.00,970201,970201,970201.00,50000,5,Sokuk Saipa143-a
20170903,970201.00,970201,970201,970201.00,1076,1,Sokuk Saipa143-a
20170904,970201.00,970201,970201,970201.00,322,1,Sokuk Saipa143-a
20170905,970500.00,970500,970201,970202.00,42739,18,Sokuk Saipa143-a
20170911,970203.00,970203,970203,970203.00,4086,1,Sokuk Saipa143-a
20170912,980000.00,980000,970404,973148.00,2448,3,Sokuk Saipa143-a
20170913,980001.00,980001,980001,980001.00,194,1,Sokuk Saipa143-a
20170916,989800.00,989800,980002,986156.00,1132,3,Sokuk Saipa143-a
20170918,1000000.00,1000000,980001,980089.00,1448,4,Sokuk Saipa143-a
20170919,989800.00,989800,989800,989800.00,700,5,Sokuk Saipa143-a
20170920,1000000.00,1000000,980001,982445.00,1441,8,Sokuk Saipa143-a
20170923,989800.00,989800,982440,982444.00,9541,3,Sokuk Saipa143-a
20170924,989800.00,989801,989800,989801.00,11348,4,Sokuk Saipa143-a
20170925,989800.00,989800,980004,980053.00,139700,21,Sokuk Saipa143-a
20170926,989800.00,989800,989800,989800.00,700,2,Sokuk Saipa143-a
20170927,985003.00,985003,985003,985003.00,1698,1,Sokuk Saipa143-a
20171002,980507.00,980507,980507,980507.00,4798,2,Sokuk Saipa143-a
20171003,989800.00,989800,985015,985114.00,2464,3,Sokuk Saipa143-a
20171004,1000000.00,1000001,999002,999121.00,729,5,Sokuk Saipa143-a
20171008,1000000.00,1000000,1000000,1000000.00,2127,1,Sokuk Saipa143-a
20171011,1021111.00,1021111,1010199,1015655.00,2,2,Sokuk Saipa143-a
20171014,1000101.00,1029911,1000100,1004760.00,800,13,Sokuk Saipa143-a
20171031,1035000.00,1040000,1035000,1039847.00,978,3,Sokuk Saipa143-a
20171101,1040000.00,1040000,1040000,1040000.00,9052,1,Sokuk Saipa143-a
20171111,1040000.00,1040000,1040000,1040000.00,1,1,Sokuk Saipa143-a
20171114,1000102.00,1000200,1000102,1000122.00,25000,3,Sokuk Saipa143-a
20171115,1035500.00,1035500,1035500,1035500.00,5,2,Sokuk Saipa143-a
20171118,1030000.00,1040000,1030000,1039991.00,20018,6,Sokuk Saipa143-a
20171121,1040000.00,1040000,1040000,1040000.00,1500,1,Sokuk Saipa143-a
