<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010325,2287.83,2288,2288,2287.83,144,1,فپنتا-ت
20010327,2291.20,2299,2291,2299.35,1450,5,فپنتا-ت
20010407,2414.32,2414,2414,2414.32,2435,3,فپنتا-ت
20010408,2415.44,2415,2415,2415.16,1496,4,فپنتا-ت
20010410,2415.16,2415,2415,2415.16,515,4,فپنتا-ت
20010411,2416.01,2416,2412,2414.60,4911,9,فپنتا-ت
20010414,2413.76,2414,2305,2304.97,2001,4,فپنتا-ت
20010415,2304.97,2305,2305,2304.97,331,2,فپنتا-ت
20010416,2309.19,2309,2308,2309.19,5353,11,فپنتا-ت
20010417,2307.78,2319,2308,2318.75,3308,14,فپنتا-ت
20010418,2318.75,2333,2319,2333.08,2534,5,فپنتا-ت
20010421,2347.14,2347,2333,2347.14,6618,8,فپنتا-ت
20010422,2361.19,2361,2347,2347.14,2917,13,فپنتا-ت
20010423,2333.93,2347,2334,2337.58,7232,9,فپنتا-ت
20010424,2334.77,2336,2335,2335.33,5113,10,فپنتا-ت
20010425,2319.03,2319,2316,2319.03,8314,13,فپنتا-ت
20010428,2307.78,2319,2305,2319.03,2140,9,فپنتا-ت
20010429,2318.47,2319,2318,2319.03,2458,10,فپنتا-ت
20010430,2319.03,2319,2319,2318.75,3155,11,فپنتا-ت
20010501,2315.94,2316,2316,2315.94,1639,4,فپنتا-ت
20010502,2315.65,2319,2304,2319.03,11524,30,فپنتا-ت
20010505,2319.03,2360,2319,2359.51,5229,10,فپنتا-ت
20010506,2359.51,2389,2360,2389.30,1120,5,فپنتا-ت
20010507,2416.85,2431,2417,2431.47,2967,10,فپنتا-ت
20010508,2434.00,2464,2434,2464.07,2828,14,فپنتا-ت
20010509,2466.60,2471,2467,2470.82,2680,5,فپنتا-ت
20010513,2545.03,2558,2545,2547.00,1869,5,فپنتا-ت
20010515,2572.01,2572,2572,2572.01,528,1,فپنتا-ت
20010526,2677.42,2826,2670,2825.56,4289,11,فپنتا-ت
20010527,2865.48,2967,2865,2966.67,8065,20,فپنتا-ت
20010528,3114.81,3115,3115,3114.81,32033,29,فپنتا-ت
20010529,2966.95,3271,2966,3114.81,19256,32,فپنتا-ت
20010530,3092.04,3162,3091,3162.31,49975,40,فپنتا-ت
20010602,3162.03,3162,3092,3092.04,3733,18,فپنتا-ت
20010603,3092.04,3092,3092,3092.04,200,1,فپنتا-ت
20010606,2966.11,3008,2966,2979.60,12190,21,فپنتا-ت
20010609,2979.32,2979,2952,2952.05,1163,4,فپنتا-ت
20010611,2952.05,2952,2951,2951.49,19724,24,فپنتا-ت
20010612,2951.21,2952,2951,2951.21,4038,8,فپنتا-ت
20010613,2923.38,2923,2867,2867.16,5106,12,فپنتا-ت
20010616,2825.00,2867,2811,2811.51,13632,29,فپنتا-ت
20010617,2811.51,2825,2812,2825.28,12494,26,فپنتا-ت
20010618,2864.35,2868,2864,2867.16,7001,20,فپنتا-ت
20010619,2868.57,2946,2868,2944.74,4827,6,فپنتا-ت
20010620,2945.02,2953,2945,2951.77,381284,102,فپنتا-ت
20010623,2951.49,2952,2951,2951.77,7313,21,فپنتا-ت
20010624,2951.49,2953,2951,2952.05,6841,16,فپنتا-ت
20010625,2952.05,2954,2951,2953.18,33059,43,فپنتا-ت
20010626,2952.90,2954,2953,2953.74,30829,39,فپنتا-ت
20010627,2953.74,2955,2954,2954.30,9997,17,فپنتا-ت
20010630,2955.99,2966,2956,2965.83,18538,37,فپنتا-ت
20010701,2966.39,2980,2966,2966.95,22526,29,فپنتا-ت
20010702,2968.36,2969,2966,2965.54,17225,27,فپنتا-ت
20010703,2965.54,2968,2951,2968.36,33550,32,فپنتا-ت
20010704,2968.36,2968,2951,2951.49,6874,14,فپنتا-ت
20010707,2951.77,2953,2951,2952.90,13457,25,فپنتا-ت
20010708,2952.90,3036,2953,2993.65,39586,43,فپنتا-ت
20010709,2970.04,2980,2951,2952.90,31815,32,فپنتا-ت
20010710,2954.30,2956,2953,2955.71,4928,13,فپنتا-ت
20010711,2955.71,2956,2956,2955.99,11633,23,فپنتا-ت
20010714,2955.99,3092,2951,3092.04,362931,62,فپنتا-ت
20010715,3089.23,3089,3030,3036.10,18364,35,فپنتا-ت
20010716,3030.20,3092,3030,3092.04,42133,27,فپنتا-ت
20010902,2670.40,2670,2586,2586.07,16946,27,فپنتا-ت
20010903,2557.96,2558,2460,2501.18,5020,9,فپنتا-ت
20010904,2500.05,2500,2451,2451.14,19990,29,فپنتا-ت
20010905,2389.30,2389,2361,2389.30,24007,30,فپنتا-ت
20010908,2364.00,2389,2305,2375.25,659958,18,فپنتا-ت
20010909,2375.25,2375,2361,2361.19,8234,23,فپنتا-ت
20010910,2362.60,2366,2363,2365.69,6546,21,فپنتا-ت
20010911,2389.30,2418,2367,2418.25,6233,15,فپنتا-ت
20010912,2418.25,2420,2417,2420.22,8474,15,فپنتا-ت
20010915,2421.63,2422,2417,2417.41,14601,21,فپنتا-ت
20010916,2415.44,2417,2408,2408.70,2000,12,فپنتا-ت
20010917,2407.29,2407,2389,2389.30,367,3,فپنتا-ت
20010918,2365.69,2366,2366,2365.69,790,1,فپنتا-ت
20010919,2362.04,2362,2361,2361.19,7302,12,فپنتا-ت
20010922,2359.22,2360,2348,2357.82,11743,14,فپنتا-ت
20010923,2347.70,2361,2347,2360.63,13819,23,فپنتا-ت
20010924,2360.63,2361,2358,2357.54,1040,9,فپنتا-ت
20010925,2333.08,2333,2333,2333.08,901,3,فپنتا-ت
20010926,2333.08,2333,2333,2333.08,7641,12,فپنتا-ت
20010929,2331.96,2332,2332,2331.96,2291,1,فپنتا-ت
20010930,2319.03,2319,2313,2316.22,3808,8,فپنتا-ت
20011002,2304.97,2305,2304,2304.41,1367,3,فپنتا-ت
20011003,2290.92,2291,2277,2276.86,5508,11,فپنتا-ت
20011006,2276.86,2277,2263,2262.81,17256,21,فپنتا-ت
20011007,2262.81,2263,2249,2249.04,7718,19,فپنتا-ت
20011008,2248.75,2249,2235,2234.98,6578,11,فپنتا-ت
20011009,2220.64,2221,2193,2192.54,15427,15,فپنتا-ت
20011010,2192.54,2235,2178,2234.98,12966,19,فپنتا-ت
20011013,2234.98,2235,2235,2234.98,19457,17,فپنتا-ت
20011014,2234.98,2252,2235,2252.41,3687,22,فپنتا-ت
20011016,2254.66,2255,2254,2254.38,78,2,فپنتا-ت
20011017,2260.56,2277,2261,2276.86,4612,7,فپنتا-ت
20011020,2276.86,2277,2266,2276.86,4953,25,فپنتا-ت
20011021,2276.86,2282,2277,2282.49,3062,9,فپنتا-ت
20011022,2284.17,2293,2284,2292.89,1433,5,فپنتا-ت
20011023,2361.19,2407,2319,2407.29,14619,27,فپنتا-ت
20011024,2417.41,2424,2417,2423.59,3252,5,فپنتا-ت
20011027,2443.55,2449,2437,2448.89,4007,11,فپنتا-ت
20011028,2451.70,2454,2452,2453.67,1360,7,فپنتا-ت
20011029,2455.64,2476,2456,2459.58,2033,9,فپنتا-ت
20011030,2501.74,2505,2460,2504.55,10832,22,فپنتا-ت
20011031,2504.55,2505,2498,2498.08,6251,20,فپنتا-ت
20011103,2493.87,2494,2375,2375.25,7620,4,فپنتا-ت
20011104,2361.19,2361,2361,2361.19,7321,12,فپنتا-ت
20011105,2364.00,2364,2363,2364.00,1432,3,فپنتا-ت
20011106,2364.28,2370,2364,2369.62,2654,9,فپنتا-ت
20011107,2377.78,2417,2378,2417.41,5768,12,فپنتا-ت
20011110,2477.85,2478,2478,2477.85,1000,1,فپنتا-ت
20011111,2473.07,2473,2462,2462.39,1780,4,فپنتا-ت
20011112,2427.25,2446,2427,2445.52,6791,13,فپنتا-ت
20011113,2434.28,2437,2417,2417.41,6436,4,فپنتا-ت
20011114,2364.00,2389,2364,2386.21,3482,8,فپنتا-ت
20011117,2370.19,2370,2367,2366.81,8541,18,فپنتا-ت
20011118,2366.81,2375,2364,2375.25,9476,14,فپنتا-ت
20011119,2366.81,2376,2367,2375.53,4355,10,فپنتا-ت
20011120,2375.25,2376,2375,2375.53,443,5,فپنتا-ت
20011121,2376.09,2376,2376,2375.81,884,4,فپنتا-ت
20011124,2361.19,2364,2358,2364.00,3824,11,فپنتا-ت
20011125,2364.00,2375,2364,2375.25,2709,6,فپنتا-ت
20011126,2375.53,2376,2375,2375.25,8402,12,فپنتا-ت
