<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20161003,614.38,614,614,614.38,123100
20161227,614.38,614,614,614.38,200000
20170102,614.38,614,614,614.38,100000
20170114,614.38,614,614,614.38,81895
20170205,702.14,702,702,702.14,200000
20170327,702.14,702,632,638.95,13290
20170408,581.44,581,581,581.44,1290
20170412,638.95,639,639,638.95,10000
20170415,702.85,703,639,647.74,242000
20170416,712.43,712,641,681.28,167023
20170417,749.17,749,749,749.17,15590
20170418,823.45,823,823,823.45,114500
20170422,905.71,906,906,905.71,10000
20170423,995.96,996,816,879.36,17411
20170424,791.50,791,791,791.50,4589
20170429,870.57,871,871,870.57,4489
20170510,783.51,784,784,783.51,6062
20170516,860.99,861,860,860.99,77570
20170523,775.53,785,776,784.31,17090
20170527,718.82,799,719,724.41,19744
20170528,739.59,740,739,739.59,5790
20170531,738.79,811,739,742.78,62931
20170603,814.66,817,815,815.46,63298
20170606,896.93,897,897,896.93,23085
20170607,956.83,986,957,974.40,23931
20170610,1071.84,1072,1072,1071.84,20799
20170611,1178.86,1179,1179,1178.86,153885
20170612,1296.27,1296,1296,1296.27,11650
20170613,1425.66,1426,1426,1425.66,45550
20170614,1567.82,1568,1568,1567.82,43402
20170618,1724.37,1724,1724,1724.37,40150
20170619,1896.09,1896,1749,1875.32,751435
20170620,1995.92,1996,1688,1775.48,154961
20170621,1613.35,1613,1598,1602.17,29516
20170624,1442.43,1598,1442,1483.16,180635
20170625,1360.17,1391,1358,1364.96,18730
20170628,1476.77,1477,1230,1252.34,61248
20170701,1198.03,1303,1130,1192.44,114850
20170702,1311.45,1311,1311,1311.45,10000
20170703,1442.43,1442,1359,1442.43,953197
20170704,1306.65,1461,1299,1307.45,34045
20170705,1178.06,1407,1177,1182.06,217373
20170708,1222.79,1223,1121,1146.12,72080
20170709,1126.15,1260,1086,1249.15,185682
20170710,1372.15,1372,1239,1351.38,24150
20170711,1341.80,1437,1318,1355.37,357288
20170712,1436.84,1481,1426,1454.41,244493
20170715,1453.61,1573,1387,1444.03,161862
20170717,1327.42,1327,1300,1304.26,109691
20170718,1241.96,1270,1177,1202.03,59926
20170719,1261.13,1322,1238,1297.07,101030
20170722,1426.46,1426,1426,1426.46,17686
20170723,1568.62,1569,1545,1568.62,2949436
20170724,1709.19,1709,1565,1620.54,710177
20170725,1684.43,1684,1494,1528.69,836444
20170726,1597.38,1597,1502,1540.67,261787
20170729,1548.66,1549,1478,1503.93,92573
20170730,1540.67,1541,1438,1464.00,230476
20170731,1516.71,1610,1517,1585.40,603027
20170801,1596.58,1677,1518,1602.97,490239
20170802,1495.94,1569,1490,1500.73,67927
20170806,1557.44,1650,1541,1623.73,1151006
20170807,1677.25,1786,1625,1761.91,1128698
20170808,1755.52,1756,1586,1598.97,514979
20170809,1517.51,1693,1490,1616.54,247821
20170812,1618.14,1756,1617,1690.02,205900
20170813,1605.36,1717,1534,1598.17,582787
20170814,1636.51,1637,1486,1546.26,119528
20170815,1629.32,1629,1518,1562.23,217730
20170816,1610.95,1626,1597,1611.75,9023
20170819,1538.27,1589,1519,1528.69,13936
20170820,1588.59,1589,1438,1477.57,222064
