<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010325,212.82,213,213,212.82,5000,9,Sarma Afarin-a
20010403,212.82,213,213,212.82,926,3,Sarma Afarin-a
20010407,212.82,213,213,212.82,1000,2,Sarma Afarin-a
20010408,212.82,213,213,212.82,16000,13,Sarma Afarin-a
20010409,212.82,213,213,212.82,2000,1,Sarma Afarin-a
20010410,212.91,213,213,213.01,10500,10,Sarma Afarin-a
20010411,213.01,213,213,213.10,23990,11,Sarma Afarin-a
20010414,213.10,219,213,218.57,26115,13,Sarma Afarin-a
20010415,218.57,220,219,220.49,5453,11,Sarma Afarin-a
20010416,222.40,222,222,222.40,13244,13,Sarma Afarin-a
20010417,229.50,230,222,230.07,14971,6,Sarma Afarin-a
20010418,230.07,230,230,230.26,29193,16,Sarma Afarin-a
20010421,231.99,232,230,230.07,7969,14,Sarma Afarin-a
20010422,230.07,232,229,229.11,28540,15,Sarma Afarin-a
20010423,229.11,229,225,225.28,5000,2,Sarma Afarin-a
20010424,225.28,225,225,225.28,12737,11,Sarma Afarin-a
20010425,225.38,225,161,225.28,142745,496,Sarma Afarin-a
20010428,225.18,225,225,225.28,5780,9,Sarma Afarin-a
20010429,225.09,225,225,225.28,10430,10,Sarma Afarin-a
20010430,225.28,229,225,225.28,25695,15,Sarma Afarin-a
20010501,225.09,225,220,220.49,10437,9,Sarma Afarin-a
20010502,220.49,221,220,220.58,9146,13,Sarma Afarin-a
20010505,220.49,220,220,220.49,1000,1,Sarma Afarin-a
20010506,220.10,220,219,220.01,32902,21,Sarma Afarin-a
20010507,218.57,221,219,220.49,51381,32,Sarma Afarin-a
20010508,220.49,220,220,220.49,7374,11,Sarma Afarin-a
20010509,227.10,228,221,228.16,33321,20,Sarma Afarin-a
20010512,228.16,228,228,228.16,11592,9,Sarma Afarin-a
20010513,228.16,228,228,228.16,50416,22,Sarma Afarin-a
20010515,228.16,240,228,233.72,39684,17,Sarma Afarin-a
20010516,233.52,234,230,233.62,21930,17,Sarma Afarin-a
20010519,233.62,234,230,230.07,11669,12,Sarma Afarin-a
20010520,229.88,230,225,230.07,35778,36,Sarma Afarin-a
20010521,228.16,229,225,229.02,14117,13,Sarma Afarin-a
20010523,220.49,228,220,227.96,20985,11,Sarma Afarin-a
20010526,220.49,228,220,223.84,35328,31,Sarma Afarin-a
20010617,158.17,182,158,158.17,15980,9,Sarma Afarin-a
20010618,166.04,166,158,159.80,3099,4,Sarma Afarin-a
20010619,159.90,160,160,160.19,18640,11,Sarma Afarin-a
20010620,160.67,161,161,160.57,2000,4,Sarma Afarin-a
20010623,163.45,167,163,166.99,6356,10,Sarma Afarin-a
20010625,175.33,175,175,175.33,11770,15,Sarma Afarin-a
20010626,175.53,178,175,178.31,6062,12,Sarma Afarin-a
20010627,178.59,179,178,178.31,11560,12,Sarma Afarin-a
20010630,178.69,179,179,178.69,11582,9,Sarma Afarin-a
20010701,178.79,179,170,169.87,14322,11,Sarma Afarin-a
20010702,172.27,172,172,172.27,2000,1,Sarma Afarin-a
20010703,172.55,173,173,172.65,41740,16,Sarma Afarin-a
20010704,172.75,181,173,172.75,16584,6,Sarma Afarin-a
20010707,172.65,173,164,172.84,12510,9,Sarma Afarin-a
20010708,172.75,173,172,171.79,11942,14,Sarma Afarin-a
20010709,165.08,165,165,165.08,6658,8,Sarma Afarin-a
20010710,164.98,165,165,165.08,25924,18,Sarma Afarin-a
20010711,165.27,166,165,165.08,22627,10,Sarma Afarin-a
20010715,165.08,165,165,164.89,2948,4,Sarma Afarin-a
20010716,164.89,165,165,164.79,10723,10,Sarma Afarin-a
20010717,164.69,165,165,164.69,10255,13,Sarma Afarin-a
20010718,164.69,165,165,164.79,2299,2,Sarma Afarin-a
20010722,167.76,168,168,167.76,6780,6,Sarma Afarin-a
20010723,167.76,168,168,167.76,970,1,Sarma Afarin-a
20010724,174.57,175,174,174.47,140147,69,Sarma Afarin-a
20010725,180.22,180,180,180.22,1944,3,Sarma Afarin-a
20010728,182.14,187,177,177.44,18480,8,Sarma Afarin-a
20010729,177.54,178,177,177.44,7190,15,Sarma Afarin-a
20010730,177.44,182,177,182.14,426400,81,Sarma Afarin-a
20010731,182.14,182,178,177.54,10492,10,Sarma Afarin-a
20010801,178.40,178,178,178.31,6884,4,Sarma Afarin-a
20010804,182.14,186,182,182.33,43153,11,Sarma Afarin-a
20010805,184.25,184,184,184.25,1500,1,Sarma Afarin-a
20010806,186.93,187,185,185.02,20100,20,Sarma Afarin-a
20010807,185.50,188,185,187.51,82394,18,Sarma Afarin-a
20010808,196.81,197,197,196.81,63050,21,Sarma Afarin-a
20010811,196.90,197,197,196.90,20000,2,Sarma Afarin-a
20010812,206.01,206,201,206.11,12997,5,Sarma Afarin-a
20010813,206.78,207,207,206.97,12300,9,Sarma Afarin-a
20010814,207.35,211,207,207.54,32204,18,Sarma Afarin-a
20010815,207.45,208,207,207.54,2091,2,Sarma Afarin-a
20010818,207.54,208,207,207.45,898,3,Sarma Afarin-a
20010819,201.31,201,201,201.31,12000,5,Sarma Afarin-a
20010820,201.31,201,199,199.40,3400,7,Sarma Afarin-a
20010821,191.73,196,192,191.73,36000,17,Sarma Afarin-a
20010822,191.63,192,192,191.73,12500,8,Sarma Afarin-a
20010825,191.73,197,192,196.52,17583,16,Sarma Afarin-a
20010826,199.40,199,197,196.90,14793,15,Sarma Afarin-a
20010827,197.38,197,197,197.48,1607,2,Sarma Afarin-a
20010828,198.44,200,198,199.88,17576,12,Sarma Afarin-a
20010829,198.44,198,197,197.48,10140,11,Sarma Afarin-a
20010901,197.38,197,197,197.38,5241,5,Sarma Afarin-a
20010902,196.33,196,192,191.73,14000,14,Sarma Afarin-a
20010903,191.54,192,192,191.54,200,1,Sarma Afarin-a
20010904,186.93,187,187,186.65,2200,5,Sarma Afarin-a
20010905,185.88,186,184,184.06,5750,8,Sarma Afarin-a
20010908,182.14,184,182,182.14,5229,10,Sarma Afarin-a
20010910,188.85,189,189,188.85,1726,2,Sarma Afarin-a
20010911,188.95,189,184,184.06,90550,42,Sarma Afarin-a
20010912,184.06,184,184,184.06,3670,3,Sarma Afarin-a
20010916,180.22,180,177,177.35,7650,5,Sarma Afarin-a
20010918,176.29,177,176,177.35,9009,9,Sarma Afarin-a
20010919,180.13,180,180,180.22,2652,2,Sarma Afarin-a
20010922,180.22,180,180,180.22,18000,4,Sarma Afarin-a
20010923,171.31,180,171,180.22,77719,34,Sarma Afarin-a
20010924,180.13,180,180,180.13,1500,1,Sarma Afarin-a
20010925,179.65,180,179,180.22,23425,11,Sarma Afarin-a
20010930,178.88,182,179,182.14,40249,18,Sarma Afarin-a
20011002,182.14,182,182,182.04,3259,7,Sarma Afarin-a
20011003,181.85,182,182,182.04,6887,4,Sarma Afarin-a
20011006,182.14,182,182,182.14,10689,9,Sarma Afarin-a
20011007,182.14,182,182,182.14,5455,2,Sarma Afarin-a
20011008,173.03,173,173,173.03,3973,6,Sarma Afarin-a
20011010,172.94,173,173,173.03,3183,3,Sarma Afarin-a
20011013,173.13,173,173,173.03,9000,12,Sarma Afarin-a
20011016,172.75,173,173,172.94,6000,8,Sarma Afarin-a
20011017,172.94,180,173,179.74,13116,13,Sarma Afarin-a
20011020,173.23,173,173,173.23,574,1,Sarma Afarin-a
20011021,178.79,180,179,180.22,19740,9,Sarma Afarin-a
20011022,180.32,185,180,185.02,12862,6,Sarma Afarin-a
20011023,185.02,185,185,185.02,2908,5,Sarma Afarin-a
20011024,185.02,185,184,185.02,125134,20,Sarma Afarin-a
20011027,184.06,184,181,180.70,32605,6,Sarma Afarin-a
20011028,177.35,181,176,180.70,9700,5,Sarma Afarin-a
20011030,179.26,179,179,179.26,13961,11,Sarma Afarin-a
20011031,180.32,180,179,180.32,33500,28,Sarma Afarin-a
20011103,180.42,180,180,180.42,10278,4,Sarma Afarin-a
20011104,186.93,187,181,186.93,50261,16,Sarma Afarin-a
20011105,191.73,192,192,191.73,10000,11,Sarma Afarin-a
20011106,182.43,192,182,185.98,32120,19,Sarma Afarin-a
20011107,185.98,186,183,183.67,14971,13,Sarma Afarin-a
20011110,183.96,184,184,183.87,9742,7,Sarma Afarin-a
20011111,183.87,185,184,185.02,20118,13,Sarma Afarin-a
20011112,185.02,186,185,185.98,5630,3,Sarma Afarin-a
20011113,186.93,187,186,185.98,11382,10,Sarma Afarin-a
20011114,186.93,190,187,187.89,25208,15,Sarma Afarin-a
20011117,187.89,191,183,190.77,10199,12,Sarma Afarin-a
20011118,183.10,192,183,191.63,17174,16,Sarma Afarin-a
20011119,190.67,191,191,190.67,2100,3,Sarma Afarin-a
20011120,190.29,190,184,184.25,6696,8,Sarma Afarin-a
20011121,184.63,185,185,184.63,120,1,Sarma Afarin-a
20011124,184.63,187,185,185.59,1765,4,Sarma Afarin-a
20011125,184.83,195,185,194.79,80887,41,Sarma Afarin-a
20011126,195.18,201,195,201.22,1500,3,Sarma Afarin-a
20011127,200.35,201,197,196.52,5037,7,Sarma Afarin-a
20011128,196.52,197,197,196.52,2736,9,Sarma Afarin-a
20011201,196.52,197,197,196.52,3878,2,Sarma Afarin-a
20011202,197.38,197,197,197.48,7934,9,Sarma Afarin-a
20011203,201.31,201,201,201.31,10000,5,Sarma Afarin-a
20011204,201.22,202,198,197.96,24791,16,Sarma Afarin-a
20011205,199.40,199,198,198.44,16284,7,Sarma Afarin-a
20011208,198.44,198,198,198.44,7069,7,Sarma Afarin-a
20011209,198.34,198,198,198.34,2207,3,Sarma Afarin-a
20011210,198.25,198,198,198.25,3000,3,Sarma Afarin-a
20011211,189.81,192,189,191.92,21979,14,Sarma Afarin-a
20011212,192.21,192,192,192.40,7449,6,Sarma Afarin-a
20011215,196.42,198,196,196.62,24595,11,Sarma Afarin-a
20011217,197.96,198,194,193.64,25790,19,Sarma Afarin-a
20011218,191.73,192,190,191.73,13230,7,Sarma Afarin-a
20011219,190.58,193,191,191.73,22479,17,Sarma Afarin-a
20011222,190.67,192,191,191.73,30000,8,Sarma Afarin-a
20011223,191.73,192,190,190.29,8362,6,Sarma Afarin-a
20011224,188.95,190,187,187.13,49374,20,Sarma Afarin-a
20011225,187.13,188,187,188.08,6477,6,Sarma Afarin-a
20011226,188.08,189,188,188.08,32181,13,Sarma Afarin-a
