<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20131130,1115.45,1115,1115,1115.45,400000,2,شستان-ت
20131203,1128.83,1129,892,1115.45,389000,20,شستان-ت
20131209,1126.60,1127,1127,1126.60,10000,1,شستان-ت
20131211,981.59,1026,982,1014.17,19000,6,شستان-ت
20131222,1070.83,1115,1026,1060.57,31500,5,شستان-ت
20131230,1115.45,1115,1115,1115.45,27000,2,شستان-ت
20140101,1115.45,1115,1040,1111.43,69990,8,شستان-ت
20140104,1115.45,1115,1115,1115.45,3628,1,شستان-ت
20140107,1138.65,1139,1115,1130.62,31000,4,شستان-ت
20140112,1115.45,1115,1115,1115.45,3000,1,شستان-ت
20140113,1115.45,1205,1115,1122.59,109582,23,شستان-ت
20140114,1074.40,1074,1074,1074.40,60416554,1,شستان-ت
20140115,1137.76,1138,1138,1137.76,7000,1,شستان-ت
20140121,1115.89,1140,1115,1119.02,166500,17,شستان-ت
20140126,1070.83,1140,1071,1114.11,18382,5,شستان-ت
20140129,1113.22,1115,1113,1113.66,10960,2,شستان-ت
20140201,1160.07,1160,981,1068.15,27000,6,شستان-ت
20140202,1164.53,1165,1061,1155.60,111000,5,شستان-ت
20140203,1113.22,1178,1026,1148.47,138197,9,شستان-ت
20140205,1044.95,1182,892,1065.48,222800,13,شستان-ت
20140208,981.59,1182,982,1160.07,36000,5,شستان-ت
20140212,1182.38,1182,892,1157.39,158350,13,شستان-ت
20140217,1182.38,1182,892,1173.45,162000,10,شستان-ت
20140218,1191.30,1339,982,1268.49,88500,12,شستان-ت
20140219,892.36,1298,892,1242.61,144000,8,شستان-ت
20140223,901.28,1316,892,1267.15,159000,12,شستان-ت
20140226,892.36,892,892,892.36,6000,2,شستان-ت
20140302,1316.23,1316,803,1044.51,275503,18,شستان-ت
20140304,807.58,1115,808,991.86,53500,9,شستان-ت
20140305,808.03,808,808,808.03,5500,2,شستان-ت
20140309,1115.45,1115,803,867.37,49600,12,شستان-ت
20140310,812.05,812,812,812.05,13000,4,شستان-ت
20140312,807.58,808,808,807.58,70,1,شستان-ت
20140315,808.03,808,808,808.03,11850,5,شستان-ت
20140317,807.58,892,803,805.35,204000,14,شستان-ت
20140318,807.58,808,714,745.57,15000,4,شستان-ت
20140326,825.43,825,803,820.08,13000,2,شستان-ت
20140330,758.50,803,718,770.55,12000,4,شستان-ت
20140407,803.12,803,803,803.12,50000,1,شستان-ت
20140408,736.20,736,721,725.93,14000,3,شستان-ت
20140409,724.15,724,724,724.15,1000,1,شستان-ت
20140412,981.59,982,724,865.59,13300,6,شستان-ت
20140413,981.59,982,714,725.04,121050,11,شستان-ت
20140414,981.59,982,714,790.63,12375,3,شستان-ت
20140415,714.33,982,669,726.38,21000,8,شستان-ت
20140419,669.27,714,669,685.78,6100,3,شستان-ت
20140420,1026.21,1026,692,748.69,49010,12,شستان-ت
20140421,1026.21,1026,1026,1026.21,4000,2,شستان-ت
20140426,780.81,1049,781,853.54,25690,9,شستان-ت
20140427,780.81,1049,781,788.85,70425,8,شستان-ت
20140428,780.81,1062,781,837.03,10000,4,شستان-ت
20140429,780.81,781,776,779.48,3155,4,شستان-ت
20140430,1061.91,1062,781,1051.20,4155,3,شستان-ت
20140503,1070.83,1071,736,814.28,10000,3,شستان-ت
20140504,758.50,781,675,704.52,6600,5,شستان-ت
20140505,780.81,781,714,717.01,2100,3,شستان-ت
20140506,713.89,714,714,713.89,7925,2,شستان-ت
20140507,669.27,692,669,677.30,28650,11,شستان-ت
20140510,691.58,705,692,696.04,2892,3,شستان-ت
20140512,669.27,714,669,677.75,24146,8,شستان-ت
20140514,670.61,696,669,675.96,15275,5,شستان-ت
20140517,713.89,714,678,705.86,66620,8,شستان-ت
20140518,680.42,754,680,722.81,23095,5,شستان-ت
20140519,727.27,727,701,722.81,19300,5,شستان-ت
20140520,713.89,714,701,704.96,377760,21,شستان-ت
20140521,713.89,714,701,701.39,40270,5,شستان-ت
20140524,701.39,701,701,700.95,21000,2,شستان-ت
20140525,701.39,701,700,700.50,76000,5,شستان-ت
20140526,700.95,714,692,701.39,75710,21,شستان-ت
20140528,700.50,714,696,705.86,13258,4,شستان-ت
20140531,696.04,714,696,713.44,26892,4,شستان-ت
20140601,713.44,736,713,720.13,14600,6,شستان-ت
20140602,713.89,736,669,697.38,10200,6,شستان-ت
20140603,713.89,714,714,713.89,3000,1,شستان-ت
20140607,713.89,736,714,720.58,19698,10,شستان-ت
20140608,727.27,759,714,751.37,52350,9,شستان-ت
20140609,713.89,772,714,757.61,82508,9,شستان-ت
20140610,713.89,714,714,713.89,15000,5,شستان-ت
20140611,669.27,714,669,670.16,107800,43,شستان-ت
20140614,736.20,736,714,716.12,48300,9,شستان-ت
20140615,669.27,759,669,670.16,3054273,8,شستان-ت
20140616,758.50,759,759,758.50,15300,1,شستان-ت
20140617,758.50,759,759,758.50,23000,6,شستان-ت
20140623,736.20,736,718,733.96,28300,5,شستان-ت
20140624,718.35,736,714,721.92,9500,4,شستان-ت
20140628,713.89,714,714,713.89,30000,4,شستان-ت
20140629,713.89,714,692,707.64,43000,8,شستان-ت
20140630,691.58,714,692,709.43,4850,2,شستان-ت
20140701,736.20,736,736,736.20,10000,2,شستان-ت
20140702,691.58,692,669,680.87,19000,4,شستان-ت
20140708,691.58,714,669,676.41,78800,7,شستان-ت
20140709,691.58,692,692,691.58,1000,1,شستان-ت
20140712,738.43,738,692,694.25,9591,3,شستان-ت
20140713,691.58,692,669,681.76,22017,5,شستان-ت
20140715,669.27,669,669,669.27,54483,10,شستان-ت
20140716,669.27,669,669,669.27,17017,7,شستان-ت
20140728,669.27,696,669,676.41,29943,9,شستان-ت
20140802,682.65,683,669,682.21,74500,6,شستان-ت
20140803,682.65,683,683,682.65,11000,2,شستان-ت
20140804,682.65,683,683,682.65,7000,2,شستان-ت
20140805,669.27,692,669,679.98,24690,5,شستان-ت
20140806,691.58,692,669,679.53,7000,3,شستان-ت
20140809,696.04,696,696,696.04,20992,11,شستان-ت
20140810,696.04,696,696,695.59,12500,4,شستان-ت
20140811,696.04,698,696,696.93,6990,3,شستان-ت
20140812,696.04,714,674,699.61,27510,10,شستان-ت
20140816,673.73,674,674,673.73,6000,2,شستان-ت
20140817,669.27,669,669,669.27,20000,3,شستان-ت
20140818,669.27,669,669,669.27,1000,1,شستان-ت
20140819,691.58,692,669,674.18,36850,6,شستان-ت
20140820,691.58,692,669,675.96,7497,4,شستان-ت
20140823,669.27,669,669,669.27,637,1,شستان-ت
20140824,669.27,669,669,669.27,29000,4,شستان-ت
20140825,669.27,669,669,669.27,1000,1,شستان-ت
20140826,669.27,669,669,669.27,14500,7,شستان-ت
20140827,669.27,669,625,634.02,14000,4,شستان-ت
20140830,669.27,669,669,669.27,3500,1,شستان-ت
20140901,669.27,669,669,669.27,1000,1,شستان-ت
20140902,638.04,638,638,638.04,8000,3,شستان-ت
20140903,638.04,638,625,625.54,13750,4,شستان-ت
20140906,646.96,647,625,636.25,52000,7,شستان-ت
20140907,638.04,674,638,654.55,13850,4,شستان-ت
20140910,638.04,638,638,638.04,9000,2,شستان-ت
20140913,638.04,638,638,638.04,8000,2,شستان-ت
20140914,638.04,638,638,638.04,1000,1,شستان-ت
20140915,638.04,638,625,630.90,3800,4,شستان-ت
20140916,638.04,669,638,661.24,19850,5,شستان-ت
20140917,669.27,669,637,668.82,112335,5,شستان-ت
20140921,669.27,669,669,669.27,10000,1,شستان-ت
20140922,625.54,626,625,624.65,59000,4,شستان-ت
20140923,669.27,669,625,644.73,9000,3,شستان-ت
20140927,624.65,625,625,624.65,6000,1,شستان-ت
20140928,624.65,638,625,636.25,12500,6,شستان-ت
20140929,638.04,638,638,638.04,7200,3,شستان-ت
20140930,638.04,638,638,638.04,6000,1,شستان-ت
20141001,638.04,647,638,643.39,2363,2,شستان-ت
20141004,638.04,669,638,663.91,34000,6,شستان-ت
20141006,629.11,669,629,668.38,38550,3,شستان-ت
20141007,669.27,669,625,644.73,14880,5,شستان-ت
20141012,624.65,625,625,624.65,1000,1,شستان-ت
20141014,624.65,625,582,622.42,19350,10,شستان-ت
20141015,624.65,625,625,624.65,2000,2,شستان-ت
20141019,624.65,647,625,634.91,27550,8,شستان-ت
20141020,629.11,629,625,628.22,13850,5,شستان-ت
20141022,624.65,625,625,624.65,5000,2,شستان-ت
20141025,624.65,625,625,624.65,8210,4,شستان-ت
20141026,624.65,625,625,624.65,5000,2,شستان-ت
20141027,629.11,629,629,629.11,5000,1,شستان-ت
20141028,629.11,629,629,629.11,2000,2,شستان-ت
20141029,629.11,629,625,625.10,22000,8,شستان-ت
20141101,624.65,625,625,624.65,9440,5,شستان-ت
20141102,624.65,625,625,624.65,10000,4,شستان-ت
20141105,624.65,647,625,631.34,6560,4,شستان-ت
20141108,624.65,625,625,624.65,10300,1,شستان-ت
20141109,602.34,625,590,620.64,161850,7,شستان-ت
20141111,624.65,625,602,617.07,9000,3,شستان-ت
20141112,602.34,669,602,614.84,147818,4,شستان-ت
20141115,624.65,625,625,624.65,22000,4,شستان-ت
20141116,624.65,625,625,624.65,40000,2,شستان-ت
20141117,624.65,625,625,624.65,5500,3,شستان-ت
20141118,624.65,625,625,624.65,7000,1,شستان-ت
20141119,624.65,625,625,624.65,33000,2,شستان-ت
20141122,624.65,665,625,653.65,10700,4,شستان-ت
20141123,669.27,669,638,668.82,31000,6,شستان-ت
20141124,624.65,625,625,624.65,3000,1,شستان-ت
20141125,646.96,647,625,626.88,85324,6,شستان-ت
20141129,624.65,625,616,616.17,69000,5,شستان-ت
20141130,615.73,616,616,615.73,4000,2,شستان-ت
20141201,624.65,625,616,615.73,11600,6,شستان-ت
20141202,624.65,625,616,623.31,6850,3,شستان-ت
20141203,616.17,616,616,616.17,16000,7,شستان-ت
20141206,617.96,618,618,617.96,9850,2,شستان-ت
20141207,615.73,618,616,616.62,64428,5,شستان-ت
20141209,620.19,620,602,617.96,124850,7,شستان-ت
20141214,620.19,620,620,620.19,25000,2,شستان-ت
20141215,620.19,620,616,617.07,205000,4,شستان-ت
20141216,624.65,625,602,611.71,61098,11,شستان-ت
20141217,602.34,602,602,602.34,16000,1,شستان-ت
20141220,602.34,602,602,602.34,12500,2,شستان-ت
20141222,602.34,602,602,602.34,9115,3,شستان-ت
20141224,602.34,611,602,602.79,42000,4,شستان-ت
20141227,602.34,602,602,602.34,10000,1,شستان-ت
20141228,602.34,602,602,602.34,49850,6,شستان-ت
20141229,602.34,602,602,602.34,25410,4,شستان-ت
20141230,602.34,602,602,602.34,2000,1,شستان-ت
20150103,602.34,602,602,602.34,4000,2,شستان-ت
20150104,602.34,602,602,602.34,20700,6,شستان-ت
20150105,602.34,602,602,602.34,26012,3,شستان-ت
20150106,588.96,593,580,585.39,22000,9,شستان-ت
20150107,588.96,589,589,588.96,3000,3,شستان-ت
20150110,602.34,602,602,602.34,12400,4,شستان-ت
20150111,588.96,589,589,588.96,9000,3,شستان-ت
20150112,588.96,589,589,588.96,26846,3,شستان-ت
20150114,588.96,589,589,588.96,8000,2,شستان-ت
20150117,591.19,593,580,590.30,13000,4,شستان-ت
20150118,591.19,593,591,591.63,8000,4,شستان-ت
20150119,580.03,622,580,586.28,39986,18,شستان-ت
20150120,591.19,591,580,582.71,35014,8,شستان-ت
20150121,591.19,642,591,608.14,19062,10,شستان-ت
20150124,602.34,602,602,602.34,8000,1,شستان-ت
20150125,624.65,625,589,592.97,9800,5,شستان-ت
20150126,591.19,591,591,591.19,2000,1,شستان-ت
20150127,580.03,591,580,583.60,12700,3,شستان-ت
20150131,591.63,592,592,591.63,8400,6,شستان-ت
20150201,580.03,593,580,590.74,70527,10,شستان-ت
20150202,588.96,589,589,588.96,12543,5,شستان-ت
20150203,588.96,625,589,590.30,14210,4,شستان-ت
20150204,588.96,589,589,588.96,6500,2,شستان-ت
20150207,588.96,589,580,580.03,51000,6,شستان-ت
20150208,588.96,589,589,588.96,2000,1,شستان-ت
20150209,588.96,589,580,584.05,16791,9,شستان-ت
20150210,580.03,589,580,582.71,6000,2,شستان-ت
20150214,588.06,589,588,588.06,1541,2,شستان-ت
20150215,580.03,580,580,580.03,41,1,شستان-ت
20150217,580.03,580,580,580.03,8000,4,شستان-ت
20150221,580.03,580,580,580.03,6000,2,شستان-ت
20150222,588.51,602,580,592.53,5828,3,شستان-ت
20150223,624.65,625,625,624.65,100,2,شستان-ت
20150224,580.03,580,580,580.03,4900,1,شستان-ت
20150225,580.48,580,580,580.48,27000,2,شستان-ت
20150301,580.03,580,580,580.03,28100,2,شستان-ت
20150302,580.03,580,580,580.03,6153,1,شستان-ت
20150303,584.49,584,580,584.05,13160,3,شستان-ت
20150304,584.49,584,584,584.49,2000,2,شستان-ت
20150307,584.49,584,584,584.49,6000,4,شستان-ت
20150309,584.49,584,580,583.16,3000,2,شستان-ت
20150310,580.03,593,580,584.49,8942,4,شستان-ت
20150311,571.11,593,571,584.94,22058,4,شستان-ت
20150314,580.03,580,580,580.03,8000,2,شستان-ت
20150315,580.03,580,580,580.03,5000,1,شستان-ت
20150316,580.03,580,571,578.25,15000,3,شستان-ت
20150325,584.49,584,580,583.60,15000,2,شستان-ت
20150329,602.34,602,580,580.03,7010,3,شستان-ت
20150331,580.03,580,571,575.57,6000,2,شستان-ت
20150404,624.65,669,580,637.14,65997,14,شستان-ت
20150405,713.89,759,714,736.64,9760,3,شستان-ت
20150406,758.50,759,759,758.50,75310,8,شستان-ت
20150407,758.50,759,759,758.50,955,2,شستان-ت
20150408,582.26,582,558,579.14,40850,6,شستان-ت
20150411,580.03,584,558,573.34,15000,4,شستان-ت
20150412,584.49,584,584,584.49,7720,4,شستان-ت
20150413,580.03,580,580,580.03,1000,4,شستان-ت
20150414,580.03,580,558,570.22,12000,5,شستان-ت
20150415,557.72,558,558,557.72,24550,7,شستان-ت
20150418,557.72,558,558,557.72,1500,1,شستان-ت
20150419,557.72,558,558,557.72,3000,2,شستان-ت
20150420,557.72,558,558,557.72,17000,6,شستان-ت
20150421,558.17,559,558,558.17,45000,3,شستان-ت
20150422,558.62,580,559,577.80,19000,3,شستان-ت
20150425,580.03,580,580,580.03,3000,1,شستان-ت
20150426,580.03,580,580,580.03,1920,1,شستان-ت
20150427,558.62,559,559,558.62,6060,5,شستان-ت
20150428,558.62,559,559,558.62,1000,1,شستان-ت
20150429,558.62,559,558,557.72,57350,4,شستان-ت
20150503,580.03,580,580,580.03,2270,1,شستان-ت
20150504,558.62,559,559,558.62,13000,2,شستان-ت
20150505,558.62,559,553,554.60,71000,3,شستان-ت
20150506,558.62,559,559,558.62,3000,2,شستان-ت
20150509,558.17,558,558,558.17,2730,1,شستان-ت
20150510,558.17,558,558,558.17,13767,2,شستان-ت
20150511,558.62,559,558,558.17,44010,5,شستان-ت
20150512,558.17,559,553,556.83,12500,6,شستان-ت
20150513,558.17,558,558,558.17,2000,1,شستان-ت
20150517,558.17,558,558,558.17,3000,1,شستان-ت
20150518,558.17,559,558,558.17,44300,6,شستان-ت
20150519,558.17,558,558,558.17,39990,5,شستان-ت
20150523,558.17,558,544,553.26,24000,6,شستان-ت
20150525,535.42,562,535,551.03,7451,4,شستان-ت
20150526,558.17,558,558,558.17,7103,2,شستان-ت
20150530,557.72,558,535,535.86,4600,3,شستان-ت
20150531,535.42,535,535,535.42,5000,1,شستان-ت
20150601,535.42,535,535,535.42,12500,5,شستان-ت
20150602,535.42,535,535,535.42,14665,4,شستان-ت
20150606,535.42,535,535,535.42,1000,1,شستان-ت
20150607,535.42,535,535,535.42,4000,2,شستان-ت
20150608,535.42,535,535,535.42,2522,7,شستان-ت
20150610,490.80,535,491,521.14,8773,4,شستان-ت
20150614,490.80,496,491,494.81,26050,6,شستان-ت
20150615,495.26,496,495,495.26,8000,3,شستان-ت
20150617,522.03,522,522,522.03,12700,3,شستان-ت
20150620,495.26,495,495,495.26,13000,2,شستان-ت
20150621,495.26,495,495,495.26,5000,1,شستان-ت
20150623,490.80,491,491,490.80,9000,3,شستان-ت
20150624,495.26,495,495,495.26,2790,2,شستان-ت
20150628,495.26,495,495,495.26,8910,3,شستان-ت
20150629,495.26,495,495,495.26,8850,2,شستان-ت
20150630,496.15,496,496,496.15,2000,1,شستان-ت
20150701,530.06,530,530,530.06,1000,1,شستان-ت
20150704,486.34,500,486,488.57,12000,4,شستان-ت
20150707,496.15,496,496,496.15,6000,1,شستان-ت
20150711,495.26,495,491,492.14,13850,3,شستان-ت
20150712,495.26,495,495,495.26,2000,1,شستان-ت
20150713,495.26,535,495,511.77,20000,4,شستان-ت
20150715,533.18,535,533,533.63,18000,3,شستان-ت
20150727,490.80,491,486,489.01,30850,9,شستان-ت
20150728,490.80,491,491,490.80,4850,2,شستان-ت
20150801,491.24,491,491,491.24,2900,2,شستان-ت
20150802,490.80,491,491,490.80,20600,2,شستان-ت
20150803,446.18,446,446,446.18,5000,1,شستان-ت
20150804,490.80,491,491,490.80,3000,1,شستان-ت
20150805,490.80,491,491,490.80,3000,1,شستان-ت
20150808,401.56,402,402,401.56,2400,2,شستان-ت
20150810,410.48,424,402,414.95,56000,6,شستان-ت
20150812,446.18,446,446,446.18,5500,3,شستان-ت
20150815,446.18,446,446,446.18,5995,4,شستان-ت
20150816,446.18,446,446,446.18,3000,1,شستان-ت
20150817,446.18,446,446,446.18,7632,2,شستان-ت
20150818,446.18,446,446,446.18,8000,3,شستان-ت
20150819,446.18,446,446,446.18,48373,5,شستان-ت
20150822,446.18,446,446,446.18,2000,1,شستان-ت
20150826,446.18,446,446,446.18,1000,1,شستان-ت
20150829,446.18,446,446,446.18,3850,1,شستان-ت
20150830,446.18,446,446,446.18,11000,4,شستان-ت
20150831,446.18,446,446,446.18,13000,3,شستان-ت
20150901,446.18,446,446,446.18,6500,3,شستان-ت
20150905,401.56,402,402,401.56,4000,1,شستان-ت
20150906,401.56,402,402,401.56,3000,1,شستان-ت
20150907,401.56,402,402,401.56,11850,5,شستان-ت
20150908,401.56,402,402,401.56,150,1,شستان-ت
20150909,401.56,402,402,401.56,850,1,شستان-ت
20150912,401.56,402,379,390.85,20800,9,شستان-ت
20150913,397.10,402,397,398.44,33700,4,شستان-ت
20150914,401.56,402,402,401.56,6955,4,شستان-ت
20150915,401.56,402,402,401.56,3000,1,شستان-ت
20150916,401.56,402,402,401.56,10150,2,شستان-ت
20150920,401.56,402,402,401.56,68150,5,شستان-ت
20150922,401.56,402,402,401.56,2000,2,شستان-ت
20150926,401.56,402,402,401.56,13000,2,شستان-ت
20150928,423.87,424,424,423.87,4000,1,شستان-ت
20150929,423.87,424,424,423.87,5000,1,شستان-ت
20151007,423.87,424,424,423.87,3000,1,شستان-ت
20151014,401.56,424,402,410.48,27863,8,شستان-ت
20151017,407.36,407,407,407.36,9000,3,شستان-ت
20151019,415.39,415,415,415.39,20000,2,شستان-ت
20151020,414.95,415,415,414.95,1000,1,شستان-ت
20151021,414.95,419,415,416.29,28150,5,شستان-ت
20151025,446.18,446,416,443.95,38000,2,شستان-ت
20151031,419.41,419,419,419.41,10000,1,شستان-ت
20151101,419.41,419,419,419.41,3850,1,شستان-ت
20151103,423.87,424,404,414.05,24184,5,شستان-ت
20151107,401.56,402,402,401.56,23900,12,شستان-ت
20151108,403.79,404,402,402.01,7000,4,شستان-ت
20151114,401.56,402,402,401.56,1000,1,شستان-ت
20151115,397.10,397,397,397.10,3000,2,شستان-ت
20151116,397.10,397,397,397.10,3000,3,شستان-ت
20151118,379.25,379,379,379.25,14000,2,شستان-ت
20151121,379.25,379,357,378.36,21000,3,شستان-ت
20151122,397.10,397,397,397.10,8400,3,شستان-ت
20151123,356.94,397,357,370.78,20600,3,شستان-ت
20151124,356.94,379,357,357.39,9500,2,شستان-ت
20151128,356.94,379,357,358.73,10900,2,شستان-ت
20151129,374.79,384,375,377.91,22816,4,شستان-ت
20151130,401.56,402,402,401.56,7000,1,شستان-ت
20151205,423.87,424,357,369.88,32152,7,شستان-ت
20151208,356.94,357,357,356.94,7500,2,شستان-ت
20151209,348.47,348,348,348.47,3850,1,شستان-ت
20151214,343.56,348,335,339.54,49166,6,شستان-ت
20151215,335.53,336,336,335.53,25000,1,شستان-ت
20151216,325.71,336,326,329.28,34000,5,شستان-ت
20151221,312.33,312,312,312.33,3850,1,شستان-ت
20151223,312.33,335,312,317.23,90000,6,شستان-ت
20151227,334.63,352,335,343.56,6000,3,شستان-ت
20160103,343.56,344,318,326.16,3000,3,شستان-ت
20160105,319.02,319,319,319.02,1000,1,شستان-ت
20160109,319.46,319,319,319.02,20000,4,شستان-ت
20160111,321.25,321,319,319.02,6850,3,شستان-ت
20160113,343.56,344,322,326.60,19000,4,شستان-ت
20160116,321.25,357,321,352.48,60000,6,شستان-ت
20160118,352.48,352,352,352.48,1000,1,شستان-ت
20160119,352.48,352,352,352.48,3000,1,شستان-ت
20160123,327.05,357,327,349.36,40000,2,شستان-ت
20160124,356.94,357,326,339.54,52000,6,شستان-ت
20160125,352.48,424,352,384.61,213200,27,شستان-ت
20160126,419.41,446,419,440.38,53663,8,شستان-ت
20160127,406.02,406,406,406.02,15000,2,شستان-ت
20160910,445.73,446,446,445.73,6000,2,شستان-ت
20160914,419.41,419,419,419.41,1000,1,شستان-ت
20160924,419.41,419,419,419.41,4200,3,شستان-ت
20160925,419.41,419,419,419.41,3000,3,شستان-ت
20160928,372.56,373,322,350.70,17850,8,شستان-ت
20161001,397.10,397,393,395.76,28000,9,شستان-ت
20161002,361.41,379,358,360.96,37217,4,شستان-ت
20161003,358.28,358,358,358.28,1283,1,شستان-ت
20161004,358.73,359,358,358.28,72600,4,شستان-ت
20161005,358.28,402,358,391.75,35221,7,شستان-ت
20161009,397.10,397,397,397.10,10000,3,شستان-ت
20161010,419.41,419,397,407.36,19107,5,شستان-ت
20161022,428.33,491,424,480.09,54000,4,شستان-ت
20161026,481.87,491,385,441.72,15196,6,شستان-ت
20161029,384.16,384,384,384.16,6354,3,شستان-ت
20161107,312.33,402,312,338.65,37000,12,شستان-ت
20161108,334.63,335,335,334.63,2000,2,شستان-ت
20161112,401.56,410,336,371.67,19850,11,شستان-ت
20161113,336.87,344,335,337.76,7550,4,شستان-ت
20161116,348.91,349,349,348.91,2000,1,شستان-ت
20161119,348.91,379,349,378.36,33000,3,شستان-ت
20161123,352.04,352,349,348.91,6027,5,شستان-ت
20161127,348.02,348,346,347.13,10232,5,شستان-ت
20161203,352.48,352,349,350.70,36000,6,شستان-ت
20161204,356.94,357,357,356.94,6500,2,شستان-ت
20161206,383.27,383,358,371.22,22850,6,شستان-ت
20161212,361.41,361,361,361.41,2500,1,شستان-ت
20161213,361.41,361,360,360.96,4000,2,شستان-ت
20161214,312.33,361,312,316.79,501000,5,شستان-ت
20161218,303.40,303,303,303.40,500000,1,شستان-ت
20161219,277.76,278,278,277.76,300000,1,شستان-ت
20161220,238.64,239,239,238.64,100000,1,شستان-ت
20161221,305.15,305,274,281.67,71500,7,شستان-ت
20161225,295.37,295,243,250.77,509776,9,شستان-ت
20161226,234.73,235,235,234.73,200000,1,شستان-ت
20161227,226.90,227,223,224.95,20000000,2,شستان-ت
20161228,215.17,215,215,215.17,26000000,2,شستان-ت
20170101,281.67,282,274,273.85,50500,9,شستان-ت
20170102,312.97,313,274,281.67,25500,5,شستان-ت
20170109,266.03,286,266,280.89,16850,5,شستان-ت
20170116,285.59,286,274,277.37,6110,5,شستان-ت
20170117,285.59,309,286,308.67,37770,3,شستان-ت
20170131,256.25,256,254,254.29,108428,2,شستان-ت
20170220,234.73,235,235,234.73,10000,4,شستان-ت
20170226,216.73,217,217,216.73,5500,4,شستان-ت
20170227,216.73,218,217,217.12,17850,5,شستان-ت
20170228,217.91,219,218,217.91,17000,4,شستان-ت
20170305,235.15,236,235,235.15,11850,3,شستان-ت
20170306,235.15,235,235,235.15,23000,1,شستان-ت
20170313,219.48,259,219,232.41,3000,2,شستان-ت
20170314,255.53,256,256,255.53,10000,2,شستان-ت
20170315,281.01,281,281,281.01,5050,5,شستان-ت
20170318,308.83,309,309,308.83,112800,14,شستان-ت
20170325,373.01,373,373,373.01,6500,3,شستان-ت
20170326,495.27,495,495,495.27,24982,6,شستان-ت
20170327,723.22,723,690,717.00,445860,51,شستان-ت
20170328,1140.00,1141,1140,1141.00,301324,33,شستان-ت
20170329,1255.00,1255,1220,1253.00,424120,71,شستان-ت
20170403,1378.00,1378,1378,1378.00,100050,15,شستان-ت
20170404,1515.00,1515,1500,1515.00,1070623,106,شستان-ت
20170405,1400.00,1400,1364,1365.00,243183,44,شستان-ت
20170408,1229.00,1440,1229,1285.00,422500,57,شستان-ت
20170409,1319.00,1413,1176,1275.00,2144007,228,شستان-ت
20170410,1157.00,1289,1148,1164.00,2345746,325,شستان-ت
20170412,1189.00,1280,1188,1230.00,19207207,1522,شستان-ت
20170415,1353.00,1353,1330,1353.00,3694084,251,شستان-ت
20170416,1488.00,1488,1370,1439.00,7505576,584,شستان-ت
20170417,1399.00,1399,1296,1314.00,1473076,159,شستان-ت
20170418,1183.00,1250,1183,1200.00,4079279,340,شستان-ت
20170419,1270.00,1270,1185,1217.00,3176356,361,شستان-ت
20170422,1162.00,1250,1159,1203.00,4698843,479,شستان-ت
20170423,1210.00,1210,1083,1105.00,3492228,387,شستان-ت
20170424,1030.00,1059,1000,1024.00,1974199,242,شستان-ت
20170426,1000.00,1126,1000,1108.00,1727529,181,شستان-ت
