<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010326,162.49,163,162,162.66,10672,4,Sand Foundry-a
20010327,162.66,164,163,163.54,16818,7,Sand Foundry-a
20010331,163.54,164,164,163.54,7582,4,Sand Foundry-a
20010410,163.54,164,164,163.54,1014,3,Sand Foundry-a
20010415,163.54,167,164,166.60,19549,11,Sand Foundry-a
20010416,166.60,167,167,166.60,31800,14,Sand Foundry-a
20010418,166.69,167,167,166.69,1000,1,Sand Foundry-a
20010421,167.04,167,167,166.69,7000,5,Sand Foundry-a
20010423,166.69,167,167,166.69,1072,1,Sand Foundry-a
20010428,167.12,167,167,166.69,6534,4,Sand Foundry-a
20010430,166.69,167,167,166.69,2000,1,Sand Foundry-a
20010505,166.69,167,167,166.69,100,1,Sand Foundry-a
20010506,166.16,166,166,166.16,5000,1,Sand Foundry-a
20010508,165.29,165,165,165.29,2700,3,Sand Foundry-a
20010513,165.29,166,165,166.16,64096,22,Sand Foundry-a
20010515,166.16,166,166,166.16,3726,2,Sand Foundry-a
20010519,166.16,166,166,166.16,14418,7,Sand Foundry-a
20010521,166.16,166,166,166.16,60,1,Sand Foundry-a
20010527,167.91,168,168,167.91,26000,5,Sand Foundry-a
20010613,166.60,167,167,166.60,5000,3,Sand Foundry-a
20010619,166.60,167,167,166.60,3159,2,Sand Foundry-a
20010708,161.26,161,161,161.26,3000,1,Sand Foundry-a
20010723,157.15,161,157,161.26,17304,10,Sand Foundry-a
20010724,161.79,162,162,161.79,1500,1,Sand Foundry-a
20010725,161.79,162,162,161.79,7420,5,Sand Foundry-a
20010729,160.13,162,160,161.79,6173,5,Sand Foundry-a
20010730,162.66,163,163,162.66,1534,3,Sand Foundry-a
20010731,163.54,164,164,163.54,636,1,Sand Foundry-a
20010805,164.15,164,164,164.06,6534,2,Sand Foundry-a
20010812,167.47,171,167,170.53,17506,9,Sand Foundry-a
20010814,170.53,171,171,171.06,10548,6,Sand Foundry-a
20010820,171.23,171,171,171.23,8669,5,Sand Foundry-a
20010822,171.41,171,171,171.41,2000,1,Sand Foundry-a
20010825,171.41,175,171,174.91,10500,3,Sand Foundry-a
20010826,174.91,175,175,174.91,9334,4,Sand Foundry-a
20010829,174.73,175,175,174.73,300,1,Sand Foundry-a
20010902,167.04,175,167,174.91,14130,9,Sand Foundry-a
20011028,173.07,175,173,174.91,20500,15,Sand Foundry-a
20011029,174.82,175,175,174.91,12000,5,Sand Foundry-a
20011030,174.82,175,175,174.82,10000,1,Sand Foundry-a
20011031,174.91,192,175,184.53,146304,42,Sand Foundry-a
20011103,192.40,194,192,193.71,8500,9,Sand Foundry-a
20011104,203.33,203,203,203.33,93187,37,Sand Foundry-a
20011105,203.33,213,203,213.47,49200,22,Sand Foundry-a
20011106,213.47,213,213,213.47,3000,2,Sand Foundry-a
20011107,213.47,213,213,213.47,15000,13,Sand Foundry-a
20011110,215.14,224,215,224.14,23000,13,Sand Foundry-a
20011111,224.32,235,224,235.34,24300,17,Sand Foundry-a
20011112,240.50,245,236,244.87,12200,7,Sand Foundry-a
20011113,244.87,256,245,255.80,52264,20,Sand Foundry-a
20011114,255.80,256,256,255.80,8993,3,Sand Foundry-a
20011117,257.20,258,255,255.36,19210,14,Sand Foundry-a
20011118,255.28,267,250,266.73,45806,24,Sand Foundry-a
20011119,266.73,274,267,274.17,55034,18,Sand Foundry-a
20011120,274.17,274,271,273.38,15206,8,Sand Foundry-a
20011124,271.11,271,271,271.11,3050,3,Sand Foundry-a
20011126,262.36,262,262,262.36,14374,6,Sand Foundry-a
20011127,253.62,254,254,253.62,8000,5,Sand Foundry-a
20011202,245.74,246,245,244.87,7500,5,Sand Foundry-a
20011203,240.50,240,240,240.50,5000,5,Sand Foundry-a
20011204,240.50,241,240,240.59,3487,2,Sand Foundry-a
20011205,246.27,246,246,246.27,534,1,Sand Foundry-a
20011208,252.48,252,252,252.48,4000,1,Sand Foundry-a
20011210,257.99,258,258,257.99,1500,1,Sand Foundry-a
20011215,261.92,262,254,253.62,10721,9,Sand Foundry-a
20011217,253.70,255,254,253.70,14834,6,Sand Foundry-a
20011218,253.62,254,254,253.62,1000,2,Sand Foundry-a
20011219,253.79,254,254,253.70,12000,15,Sand Foundry-a
20011222,253.62,254,254,253.62,4700,3,Sand Foundry-a
20011223,253.62,254,254,253.62,620,1,Sand Foundry-a
20011224,253.62,254,254,253.62,9500,7,Sand Foundry-a
20011225,253.62,254,254,253.62,2734,5,Sand Foundry-a
20011226,253.53,254,245,244.87,1700,2,Sand Foundry-a
20011229,252.65,254,253,253.62,12300,8,Sand Foundry-a
20011230,253.62,254,254,253.62,6770,3,Sand Foundry-a
20011231,253.62,254,254,253.62,2000,4,Sand Foundry-a
20020101,253.62,254,254,253.62,8437,7,Sand Foundry-a
20020105,253.53,263,254,263.24,89642,19,Sand Foundry-a
20020106,267.17,270,258,265.95,159968,40,Sand Foundry-a
20020107,266.21,266,266,266.03,13754,7,Sand Foundry-a
20020108,266.21,266,266,265.86,23000,10,Sand Foundry-a
20020112,265.95,266,266,265.86,25000,13,Sand Foundry-a
20020113,266.73,267,266,265.86,146000,23,Sand Foundry-a
20020114,266.73,267,266,265.86,56468,15,Sand Foundry-a
20020115,275.48,276,275,275.92,97068,24,Sand Foundry-a
20020116,276.97,277,276,276.79,23540,7,Sand Foundry-a
20020119,276.79,280,277,276.88,31342,13,Sand Foundry-a
