<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190316,615000.00,615000,611000,611334.00,174502
20190317,620000.00,621899,615000,618450.00,178803
20190318,624999.00,626000,621011,625218.00,78001
20190319,625301.00,626050,625218,625455.00,7157
20190325,650000.00,650000,650000,650000.00,89
20190326,625300.00,635000,625300,634947.00,727
20190327,634995.00,634995,630000,630981.00,4634
20190330,634000.00,634000,626611,626635.00,3000
20190331,629000.00,629000,629000,629000.00,6643
20190406,629100.00,629260,628000,628813.00,2859
20190407,634992.00,636480,629800,634989.00,17917
20190408,637500.00,637999,631057,636596.00,14253
20190409,639631.00,639631,633800,637476.00,16350
20190410,637503.00,638000,637503,637997.00,1509
20190413,636057.00,638000,636055,637129.00,88724
20190414,636220.00,636220,629000,630921.00,9520
20190415,634000.00,634000,629000,629651.00,12164
20190416,630000.00,638000,630000,634405.00,4811
20190417,620027.00,636000,620024,634394.00,27871
20190420,644991.00,644991,632002,633831.00,17053
20190422,632000.00,633054,632000,632142.00,1455
20190423,633054.00,633054,600535,630023.00,581
20190424,625010.00,625010,622000,622955.00,4536
20190427,627751.00,628997,626700,627402.00,6027
20190428,627000.00,628993,626100,628025.00,13804
20190429,623002.00,626005,623000,625681.00,38052
20190430,627000.00,629996,627000,628248.00,9553
20190501,628000.00,632471,627000,630079.00,16199
20190504,627200.00,640000,626000,633517.00,79932
20190505,639995.00,647999,637000,643156.00,17134
20190506,630210.00,642000,630210,640911.00,4388
20190507,632550.00,635010,632021,632727.00,1654
20190508,633001.00,648979,632614,638633.00,24094
20190511,642000.00,643000,638010,641287.00,5533
20190512,641501.00,643000,640003,641421.00,3336
20190513,640009.00,647789,640009,644340.00,4684
20190514,637505.00,644000,637504,641948.00,1466
20190515,640000.00,644000,639000,640634.00,7897
20190518,639050.00,640010,639050,639991.00,7108
20190519,641000.00,641000,640000,640237.00,29144
20190520,640000.00,640000,635000,639193.00,13392
20190521,640000.00,641000,638001,640115.00,59820
20190522,636210.00,648989,636209,639832.00,9391
20190525,639175.00,645996,639175,642905.00,18112
20190526,644999.00,648840,640000,646664.00,10864
20190528,648888.00,650000,648000,649275.00,15896
20190529,657650.00,657650,652000,653079.00,29
20190601,645000.00,653000,644357,646723.00,44582
20190602,648500.00,657877,648500,651477.00,12466
20190603,658990.00,658990,652000,652352.00,247
20190608,652352.00,664999,651364,661058.00,25794
20190609,664370.00,664377,656803,661854.00,10458
20190610,662000.00,664000,662000,663373.00,14635
20190611,666665.00,666665,666665,666665.00,44
20190612,662500.00,662500,662003,662095.00,3825
20190615,662003.00,662003,648192,655997.00,2700
20190616,652103.00,652103,646319,650039.00,97125
20190617,647000.00,651500,647000,647249.00,23589
20190618,650000.00,650000,644000,644793.00,1833
20190619,645001.00,649899,645001,646475.00,36486
20190622,643509.00,650838,643509,645624.00,26142
20190623,647015.00,652999,647000,647535.00,20061
20190624,648273.00,649242,647209,648684.00,25200
20190625,652989.00,652989,649000,649026.00,17953
20190626,641001.00,653003,641001,649303.00,3882
20190630,653880.00,654500,650210,653451.00,19412
20190701,650012.00,654199,650000,653056.00,39846
20190702,651101.00,655000,651101,653689.00,17673
20190703,654010.00,658985,654010,655859.00,10237
20190706,656466.00,660000,656465,657611.00,12649
20190707,657602.00,661000,657602,658172.00,82942
20190708,657869.00,660000,657867,657920.00,14155
20190709,661000.00,661002,661000,661001.00,3788
20190710,661900.00,663900,661010,663455.00,8403
20190713,660000.00,664000,655035,663297.00,25924
20190714,655020.00,664000,655020,661616.00,65937
20190715,664000.00,666000,663725,664126.00,23010
20190716,664980.00,664980,663001,664548.00,19121
20190717,665000.00,666970,665000,665010.00,10546
20190720,665202.00,665202,664000,664758.00,66303
20190721,665000.00,665390,665000,665202.00,101792
20190722,665500.00,665500,665000,665432.00,31354
20190723,663002.00,665500,662010,664279.00,27102
20190724,664888.00,665492,659362,663800.00,37645
20190727,662001.00,664893,662001,663030.00,21013
20190728,663030.00,664998,661100,661933.00,69196
20190729,664999.00,665038,662500,664300.00,25944
20190730,662003.00,664899,662003,663800.00,58858
20190731,664890.00,666000,664006,664667.00,129768
20190803,668888.00,668888,664000,664656.00,40639
20190804,664201.00,665000,664000,664317.00,114619
20190805,664100.00,664569,664100,664403.00,59614
20190806,667197.00,667197,661751,663008.00,7675
20190807,664500.00,666699,661367,665117.00,22878
20190810,665000.00,667970,664002,665177.00,28124
20190811,664052.00,670000,664051,667798.00,22836
20190813,669888.00,670000.00,665000.00,669548.00,39532
