<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20040317,2325.88,2540,2325,2510.58,145600
20040329,2636.11,2636,2572,2571.87,4400
20040330,2700.36,2700,2590,2590.04,1300
20040403,2719.38,2719,2719,2719.38,15000
20040404,2855.05,2855,2855,2855.05,15000
20040405,2997.49,2997,2997,2997.49,15000
20040406,3147.11,3147,3147,3147.11,15000
20040407,3304.33,3304,3304,3304.33,15000
20040410,3469.17,3469,3469,3469.17,20400
20040412,3642.46,3642,3642,3642.46,16650
20040413,3642.88,3824,3461,3558.77,87615
20040414,3652.18,3737,3652,3700.79,19467
20040417,3884.22,3885,3749,3819.98,17244
20040418,3867.31,3910,3866,3879.57,24317
20040421,3909.58,3931,3893,3919.72,12560
20040424,4115.41,4115,4104,4111.61,11882
20040425,4111.61,4316,4112,4269.26,31059
20040426,4226.57,4227,4100,4202.06,15140
20040427,4183.04,4183,4014,4166.56,3137
20040428,3958.61,4055,3959,4055.40,7194
20040501,3853.37,3953,3853,3953.11,6056
20040502,3930.71,3931,3779,3831.81,13547
20040503,3831.81,3832,3804,3830.54,10735
20040504,3830.54,4007,3831,3902.39,17301
20040505,4097.24,4097,4001,4001.30,6110
20040508,4201.21,4201,4200,4200.79,27752
20040509,4198.25,4201,4198,4199.10,17351
20040510,4194.87,4197,4195,4196.56,6855
20040512,3997.92,4194,3998,4194.03,160
20040515,3984.39,4185,3984,4184.73,536
20040516,3977.21,4094,3976,4093.86,5222
20040518,3889.29,4013,3889,4012.71,4750
20040523,3883.80,3888,3846,3874.08,30066
20040601,2113.29,3973,2113,3538.06,2210
20040605,3714.73,3715,3670,3670.36,9010
20040606,3670.78,3671,3670,3670.36,1145
20040608,3658.52,3670,3659,3669.51,582
20040609,3486.92,3489,3487,3487.77,19121
20040612,3488.61,3489,3461,3463.25,12018
20040613,3463.25,3463,3463,3462.83,3402
20040614,3461.14,3464,3461,3461.14,27969
20040615,3439.58,3461,3440,3457.34,18373
20040616,3381.26,3445,3381,3434.09,30086
20040619,3434.09,3434,3432,3433.67,29142
20040620,3427.75,3434,3428,3433.25,42232
20040621,3486.92,3605,3444,3550.32,24910
20040622,3634.85,3728,3635,3725.72,12752
20040623,3911.69,3912,3912,3911.69,14200
20040626,3977.21,4107,3977,4088.36,19373
20040627,4226.57,4293,4227,4249.40,28483
20040628,4461.57,4462,4303,4303.50,3074
20040629,4303.50,4303,4226,4289.55,6835
20040630,4224.46,4224,4076,4078.22,16616
20040703,3874.92,3875,3874,3874.50,26100
20040704,3684.30,3709,3684,3709.24,10424
20040705,3873.23,3877,3763,3763.34,3955
20040706,3915.92,3951,3916,3941.70,11460
20040707,4068.08,4139,4068,4129.36,38165
20040710,4134.43,4135,4130,4130.63,6582
20040711,4220.66,4335,4015,4077.37,19219
20040712,4276.87,4277,4185,4204.59,16576
20040713,4205.86,4227,4205,4210.51,24169
20040714,4268.84,4269,4211,4223.61,18030
20040717,4223.61,4224,4222,4223.19,13999
20040718,4223.19,4223,4223,4222.77,2490
20040719,4222.77,4223,4015,4070.61,11576
20040720,4070.61,4071,4069,4069.77,9721
20040724,3892.67,4068,3893,4035.95,10010
20040725,4035.95,4227,4036,4187.69,212553
20040726,4396.90,4397,4255,4255.31,3900
20040727,4255.74,4468,4256,4389.30,27010
20040728,4608.66,4609,4402,4402.40,743
20040801,5283.22,5283,5283,5283.22,2000
20040802,5283.22,5283,5030,5246.02,5005
20040803,4983.97,5118,4984,5118.38,5864
20040804,4862.67,4901,4863,4900.71,10210
20040807,4655.99,4656,4656,4655.99,40900
20040809,4649.23,4649,4480,4640.78,1911
20040810,4649.23,4655,4646,4645.85,5414
20040811,4648.81,4649,4588,4620.49,6183
20040815,4389.72,4617,4390,4616.69,200
20040816,4385.91,4588,4386,4588.37,1469
20040817,4389.72,4506,4390,4505.53,5010
