<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20150315,1102.11,1102,1102,1102.11,17995000,20212,Tabas Company-a
20150316,1157.22,1157,1157,1157.22,524171,146,Tabas Company-a
20150317,1215.02,1215,1215,1215.02,572258,252,Tabas Company-a
20150318,1275.75,1276,1276,1275.75,200322,389,Tabas Company-a
20150325,1339.43,1339,1339,1339.43,185325,405,Tabas Company-a
20150328,1406.29,1406,1388,1406.05,9149239,12928,Tabas Company-a
20150329,1431.76,1469,1377,1422.46,11321450,11572,Tabas Company-a
20150330,1371.27,1401,1351,1364.41,1441879,1610,Tabas Company-a
20150331,1298.29,1369,1296,1316.16,2484144,2694,Tabas Company-a
20150404,1381.80,1382,1382,1381.80,179412,127,Tabas Company-a
20150405,1450.87,1451,1352,1396.25,4691294,3459,Tabas Company-a
20150406,1347.02,1347,1326,1329.63,1407815,1216,Tabas Company-a
20150407,1284.57,1318,1264,1279.92,3690587,7771,Tabas Company-a
20150408,1286.29,1342,1286,1301.96,1058624,1332,Tabas Company-a
20150411,1298.04,1298,1275,1287.26,1389064,990,Tabas Company-a
20150412,1288.49,1293,1228,1269.39,1228713,645,Tabas Company-a
20150413,1232.16,1286,1232,1248.32,284614,307,Tabas Company-a
20150414,1283.10,1311,1274,1304.16,875186,547,Tabas Company-a
20150415,1317.39,1366,1301,1333.31,1429420,834,Tabas Company-a
20150418,1303.18,1330,1303,1314.45,393082,335,Tabas Company-a
20150419,1317.63,1362,1305,1346.53,436471,343,Tabas Company-a
20150420,1311.02,1353,1286,1316.90,372746,201,Tabas Company-a
20150421,1302.94,1323,1274,1288.24,189936,135,Tabas Company-a
20150422,1321.06,1332,1293,1311.27,285061,218,Tabas Company-a
20150425,1320.08,1330,1300,1315.18,273133,207,Tabas Company-a
20150426,1322.53,1323,1303,1307.84,113719,106,Tabas Company-a
20150427,1321.06,1321,1274,1298.53,289073,167,Tabas Company-a
20150428,1293.14,1322,1274,1292.65,321820,376,Tabas Company-a
20150429,1274.53,1298,1275,1292.90,131662,121,Tabas Company-a
20150503,1276.24,1321,1274,1283.10,217120,119,Tabas Company-a
20150504,1274.04,1274,1238,1263.02,345960,144,Tabas Company-a
20150505,1237.06,1298,1237,1259.83,195233,142,Tabas Company-a
20150506,1236.81,1272,1225,1246.61,287801,179,Tabas Company-a
20150509,1258.61,1286,1229,1268.65,737236,324,Tabas Company-a
20150510,1267.92,1308,1229,1280.16,776271,1339,Tabas Company-a
20150513,1329.63,1330,1291,1318.61,514933,206,Tabas Company-a
20150517,1273.79,1286,1253,1267.67,352429,156,Tabas Company-a
20150518,1273.55,1298,1239,1273.55,354524,164,Tabas Company-a
20150519,1273.55,1274,1241,1267.92,141903,168,Tabas Company-a
20150520,1271.10,1288,1244,1266.45,128614,95,Tabas Company-a
20150523,1273.55,1280,1244,1271.10,366009,152,Tabas Company-a
20150524,1273.55,1284,1273,1275.26,451545,177,Tabas Company-a
20150525,1276.73,1317,1274,1287.51,152339,104,Tabas Company-a
20150526,1312.49,1312,1274,1274.04,183832,75,Tabas Company-a
20150527,1273.79,1318,1274,1291.67,361862,156,Tabas Company-a
20150530,1317.14,1322,1274,1312.25,460956,173,Tabas Company-a
20150531,1316.41,1335,1277,1307.10,866832,583,Tabas Company-a
20150623,1351.17,1380,1328,1366.22,521408,282,Tabas Company-a
20150624,1388.81,1395,1339,1372.64,429074,145,Tabas Company-a
20150627,1342.24,1394,1342,1387.98,191372,99,Tabas Company-a
20150628,1396.62,1397,1344,1382.96,157425,63,Tabas Company-a
20150629,1388.54,1394,1350,1379.89,143128,61,Tabas Company-a
20150630,1391.88,1393,1360,1379.05,110725,64,Tabas Company-a
20150701,1388.81,1448,1389,1440.13,526473,148,Tabas Company-a
20150704,1512.08,1512,1512,1512.08,20993,22,Tabas Company-a
20150705,1587.65,1588,1562,1585.70,1883721,238,Tabas Company-a
20150706,1642.59,1662,1577,1630.32,711073,269,Tabas Company-a
20150707,1634.23,1707,1551,1645.66,511284,162,Tabas Company-a
20150711,1567.58,1638,1568,1621.12,76827,45,Tabas Company-a
20150712,1640.64,1644,1587,1609.69,139782,88,Tabas Company-a
20150713,1623.07,1690,1623,1684.98,632310,139,Tabas Company-a
20150714,1769.20,1769,1698,1741.87,1565427,181,Tabas Company-a
20150715,1828.88,1829,1676,1806.85,533638,104,Tabas Company-a
20150720,1729.32,1729,1717,1719.01,119484,59,Tabas Company-a
20150721,1729.32,1757,1646,1684.70,63832,40,Tabas Company-a
20150722,1745.78,1751,1673,1741.87,8980371,230,Tabas Company-a
20150725,1654.86,1756,1655,1671.04,307124,68,Tabas Company-a
20150726,1673.55,1754,1673,1711.20,1539110,163,Tabas Company-a
20150727,1673.27,1729,1626,1667.13,630941,87,Tabas Company-a
20150728,1666.58,1667,1584,1591.56,120478,48,Tabas Company-a
20150729,1603.55,1642,1513,1562.00,166150,59,Tabas Company-a
20150801,1638.13,1638,1551,1610.52,75995,26,Tabas Company-a
20150802,1609.13,1645,1576,1621.68,161296,47,Tabas Company-a
20150803,1648.17,1648,1609,1617.49,19614,17,Tabas Company-a
20150804,1631.44,1631,1542,1607.45,11001,18,Tabas Company-a
20150805,1570.08,1673,1562,1625.86,25170,32,Tabas Company-a
20150808,1659.33,1659,1545,1545.54,58194,23,Tabas Company-a
20150809,1478.89,1547,1479,1505.94,34694,19,Tabas Company-a
20150810,1575.66,1577,1506,1574.27,31570,6,Tabas Company-a
20150812,1495.62,1556,1496,1533.83,69906,20,Tabas Company-a
20150815,1560.60,1561,1464,1538.01,80623,27,Tabas Company-a
20150816,1547.77,1548,1461,1465.23,66550,33,Tabas Company-a
20150817,1533.55,1534,1392,1410.29,164909,46,Tabas Company-a
20150818,1411.12,1450,1395,1396.90,226680,27,Tabas Company-a
20150819,1397.46,1406,1397,1403.59,31680,15,Tabas Company-a
20150822,1441.24,1474,1425,1459.09,10900,12,Tabas Company-a
20150823,1401.36,1472,1401,1438.73,4562,16,Tabas Company-a
20150824,1493.39,1506,1411,1435.39,23368,23,Tabas Company-a
20150825,1422.28,1422,1401,1404.71,36348,16,Tabas Company-a
20150826,1394.67,1450,1395,1439.01,5352,6,Tabas Company-a
20150829,1411.12,1421,1394,1398.30,129601,24,Tabas Company-a
20150830,1436.22,1464,1419,1429.53,17991,32,Tabas Company-a
20150831,1463.83,1464,1423,1442.08,11013,24,Tabas Company-a
20150901,1462.16,1462,1411,1431.20,51150,23,Tabas Company-a
20150902,1444.31,1464,1412,1435.94,36852,23,Tabas Company-a
20150905,1492.00,1496,1464,1465.51,153594,37,Tabas Company-a
20150906,1478.06,1539,1470,1535.50,419340,109,Tabas Company-a
20150907,1506.22,1534,1506,1524.63,20089,27,Tabas Company-a
20150908,1546.38,1562,1479,1560.32,480151,32,Tabas Company-a
20150909,1508.73,1530,1500,1502.60,9770,10,Tabas Company-a
20150912,1530.76,1577,1506,1546.10,62700,24,Tabas Company-a
20150913,1505.94,1506,1469,1469.41,45000,8,Tabas Company-a
20150914,1497.58,1498,1442,1459.93,3800,6,Tabas Company-a
20150915,1436.22,1447,1417,1428.97,39933,32,Tabas Company-a
20150916,1490.60,1491,1426,1429.81,26722,32,Tabas Company-a
20150919,1436.50,1437,1394,1404.99,176822,36,Tabas Company-a
20150920,1367.34,1395,1367,1393.83,68952,26,Tabas Company-a
20150921,1394.39,1394,1343,1381.56,33536,25,Tabas Company-a
20150922,1449.89,1450,1397,1445.15,55318,15,Tabas Company-a
20150923,1408.34,1408,1401,1408.06,34800,10,Tabas Company-a
20150926,1366.50,1394,1367,1367.62,26507,8,Tabas Company-a
20150927,1352.84,1405,1353,1379.05,5599,7,Tabas Company-a
20150928,1380.17,1380,1367,1372.08,10433,8,Tabas Company-a
20150929,1408.34,1408,1367,1394.11,2624,5,Tabas Company-a
20150930,1394.39,1408,1394,1407.50,11140,6,Tabas Company-a
20151003,1355.35,1358,1337,1338.06,68410,38,Tabas Company-a
20151004,1385.75,1386,1272,1344.75,62650,16,Tabas Company-a
20151005,1320.77,1388,1321,1372.08,2636,10,Tabas Company-a
20151006,1309.33,1309,1303,1303.48,118188,45,Tabas Company-a
20151007,1268.90,1338,1269,1294.00,4303,14,Tabas Company-a
20151010,1232.64,1337,1233,1295.11,3576,18,Tabas Company-a
20151011,1310.17,1360,1305,1335.27,42493,38,Tabas Company-a
20151012,1394.11,1394,1367,1368.73,3002,7,Tabas Company-a
20151013,1338.62,1419,1339,1391.88,15676,23,Tabas Company-a
20151014,1422.28,1422,1385,1393.00,13364,10,Tabas Company-a
20151017,1394.39,1438,1394,1399.97,38048,16,Tabas Company-a
20151018,1408.34,1458,1397,1414.47,74268,30,Tabas Company-a
20151019,1436.22,1461,1436,1452.68,20895,5,Tabas Company-a
20151020,1469.41,1469,1388,1463.27,25934,19,Tabas Company-a
20151021,1413.91,1414,1390,1394.67,38350,18,Tabas Company-a
20151025,1338.62,1339,1325,1330.81,31450,14,Tabas Company-a
