<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20040615,3200.00,3250,3200,3225.00,58485
20040616,3225.00,3226,2903,3017.00,242225
20040619,3005.00,3016,3001,3009.00,79269
20040620,2949.00,2970,2850,2927.00,75502
20040621,2800.00,2801,2800,2800.00,31750
20040622,2850.00,2851,2850,2850.00,23508
20040623,2850.00,2850,2850,2850.00,13000
20040626,2950.00,2950,2950,2950.00,1500
20040627,2981.00,3099,2981,3049.00,8735
20040628,3100.00,3100,2952,3012.00,33418
20040629,2952.00,2952,2952,2952.00,735
20040706,2790.00,2840,2702,2798.00,29560
20040707,2861.00,2862,2842,2849.00,7260
20040710,2843.00,2867,2713,2821.00,99010
20040711,2900.00,3077,2852,2932.00,107238
20040712,3225.00,3225,3225,3225.00,31442
20040713,3235.00,3236,3235,3235.00,2305
20040714,3400.00,3500,3399,3438.00,10769
20040717,3750.00,3781,3700,3743.00,14453
20040718,3413.00,3413,3413,3413.00,2000
20040719,3412.00,3688,3412,3623.00,20547
20040720,3625.00,3648,3610,3641.00,1356717
20040724,3642.00,3642,3642,3642.00,4638
20040725,3801.00,4006,3750,3898.00,13754
20040731,5000.00,5003,5000,5001.00,14459
20040801,5007.00,5251,5007,5083.00,31092
20040802,5337.00,5337,5337,5337.00,768
20040803,5504.00,5603,5500,5592.00,24323
20040804,5871.00,5871,5871,5871.00,2826
20041024,7211.00,7500,7200,7208.00,2900000
20041025,7500.00,7500,7400,7400.00,499576
20050117,4500.00,4500,4300,4390.00,282330
20050118,4299.00,4300,3952,4152.00,130941
20050119,4290.00,4390,4214,4311.00,543663
20050122,4265.00,4420,4160,4320.00,451813
20050123,4389.00,4479,4320,4419.00,294461
20050124,4470.00,4550,4447,4518.00,197250
20050125,4547.00,4550,4421,4491.00,122161
20050126,4496.00,4496,4400,4431.00,151314
20050130,4210.00,4410,4210,4283.00,76266
20050131,4260.00,4283,3857,4143.00,159594
20050201,4032.00,4196,4032,4119.00,156290
20050202,4150.00,4499,4115,4336.00,1216124
20050205,4300.00,4300,4100,4107.00,70505
20050206,4183.00,4190,4062,4134.00,109619
20050207,4000.00,4002,4000,4000.00,67841
20050208,3998.00,4001,3601,3853.00,82697
20050209,4191.00,4197,3610,3704.00,147199
20050516,6400.00,6616,6350,6536.00,4956360
20050517,6740.00,6821,6700,6769.00,1201519
20050925,2390.00,2400,2150,2224.00,42926
20050926,2200.00,2420,2116,2147.00,79091
20050927,1953.00,1953,1933,1938.00,81518
20050928,2001.00,2002,1900,1965.00,328012
20051001,2000.00,2025,1950,1980.00,94867
20051002,2057.00,2130,2057,2084.00,186448
20051003,2125.00,2158,2000,2108.00,269571
20051004,2010.00,2100,2000,2081.00,602668
20051005,2080.00,2101,2080,2098.00,147194
20051008,2000.00,2200,2000,2168.00,109520
20051009,2100.00,2201,2100,2173.00,273089
20051010,2167.00,2172,2146,2158.00,89583
20051011,2148.00,2148,1950,2013.00,99366
20051012,2054.00,2085,2047,2061.00,41214
20051015,2127.00,2130,2055,2104.00,164220
20051016,2104.00,2104,2030,2051.00,109812
20051017,2052.00,2056,2012,2045.00,134466
20051018,2045.00,2046,1976,1995.00,157395
20051019,1900.00,2040,1900,2034.00,207740
20051022,2030.00,2042,1984,2014.00,205057
20051023,2000.00,2000,1920,1957.00,79816
20051024,1957.00,1979,1899,1940.00,399465
20051026,1899.00,1950,1899,1927.00,247630
20051029,1943.00,1989,1735,1815.00,207859
20051030,1726.00,1726,1634,1639.00,217583
20051031,1600.00,1619,1476,1489.00,508114
20051101,1341.00,1401,1341,1349.00,525914
20060410,1450.00,1800,1450,1486.00,1950010
20060411,1457.00,1511,1452,1471.00,9995622
20060412,1460.00,1529,1460,1473.00,248010
20090304,300.00,318,300,315.00,67215
20090307,333.00,333,297,316.00,250005
20090308,332.00,334,298,318.00,1330920
20090309,299.00,310,299,300.00,113651
20090310,282.00,283,282,282.00,104998
20090311,298.00,298,298,298.00,87755
20090314,315.00,315,314,315.00,151812
20090316,318.00,318,312,317.00,33758
20090317,312.00,312,312,312.00,6544
20090318,306.00,311,306,310.00,23035
20090325,326.00,326,326,326.00,300
20090330,307.00,309,307,308.00,37550
20090331,310.00,311,310,311.00,9036
20090404,317.00,320,317,318.00,10000
20090405,320.00,337,320,333.00,30203
20090406,352.00,352,352,352.00,7
20090407,373.00,373,373,373.00,205005
20090411,387.00,387,351,353.00,18868
20090412,351.00,351,332,333.00,23032
20090413,316.00,348,316,333.00,233938
20090414,321.00,329,314,319.00,79354
20090415,304.00,331,304,327.00,311442
