<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20140308,3171.63,3172,3172,3171.63,3192,1,Tehran Darou-a
20140414,3812.30,3812,3812,3812.30,3192,1,Tehran Darou-a
20140503,3812.30,3812,3812,3812.30,664,1,Tehran Darou-a
20141025,4123.12,4123,4123,4123.12,9360,3,Tehran Darou-a
20141026,4123.12,4123,4123,4123.12,18592,14,Tehran Darou-a
20141028,4123.12,4123,4123,4123.12,1328,1,Tehran Darou-a
20141119,6660.42,6660,6660,6660.42,61168,1,Tehran Darou-a
20141129,7041.02,7041,7041,7041.02,46120,2,Tehran Darou-a
20141201,7294.75,7295,7295,7294.75,2656,2,Tehran Darou-a
20141203,9832.05,9832,9832,9832.05,2656,2,Tehran Darou-a
20141206,9832.05,9832,9832,9832.05,2656,2,Tehran Darou-a
20141208,10466.38,10466,10466,10466.38,5312,4,Tehran Darou-a
20141209,10910.41,10910,10910,10910.41,1328,1,Tehran Darou-a
20141216,12369.36,12369,12369,12369.36,2656,2,Tehran Darou-a
20141217,12749.95,12750,12750,12749.95,1328,1,Tehran Darou-a
20141227,13067.12,13067,13067,13067.12,1328,1,Tehran Darou-a
20141230,19029.78,19030,19030,19029.78,3328,1,Tehran Darou-a
20150107,19029.78,19030,19030,19029.78,1328,1,Tehran Darou-a
20150201,19029.78,19030,19030,19029.78,320,3,Tehran Darou-a
20150202,19029.78,19030,19030,19029.78,2344,1,Tehran Darou-a
20150228,19029.78,19030,19030,19029.78,1328,1,Tehran Darou-a
20150411,19029.78,19030,19030,19029.78,17264,1,Tehran Darou-a
20150420,19029.78,19030,19030,19029.78,2489,4,Tehran Darou-a
20150421,19029.78,19030,19030,19029.78,8000,1,Tehran Darou-a
20150422,19029.78,19030,19030,19029.78,167,1,Tehran Darou-a
20150610,19029.78,19030,19030,19029.78,1328,1,Tehran Darou-a
20150915,19517.72,19518,19518,19517.72,1328,1,Tehran Darou-a
20151104,19517.72,19518,19518,19517.72,1328,1,Tehran Darou-a
20151201,19517.72,19518,19518,19517.72,195,1,Tehran Darou-a
20160123,19517.72,19518,19518,19517.72,664,1,Tehran Darou-a
20160305,19517.72,19518,19518,19517.72,3320,4,Tehran Darou-a
20160307,19517.72,19518,19518,19517.72,664,1,Tehran Darou-a
20160312,19517.72,19518,19518,19517.72,664,1,Tehran Darou-a
20160316,19517.72,19518,19518,19517.72,664,1,Tehran Darou-a
20160806,19583.00,19583,19583,19583.00,60,2,Tehran Darou-a
20161212,19583.00,19583,19583,19583.00,17660,1,Tehran Darou-a
20180725,19583.00,19583,19583,19583.00,1039328,21,Tehran Darou-a
20181001,19583.00,19583,19583,19583.00,734400,15,Tehran Darou-a
20181029,19583.00,19583,19583,19583.00,1039992,21,Tehran Darou-a
