<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20181105,440000.00,440000,440000,440000.00,4
20181117,418000.00,439000,418000,429083.00,36
20181118,407629.00,408000,407629,407634.00,77
20181119,407629.00,428015,407629,421220.00,3
20181120,428000.00,442281,428000,431321.00,129
20181127,429000.00,441000,429000,430571.00,56
20181225,409043.00,409043,409043,409043.00,70
20181226,388591.00,390000,388591,389917.00,17
20190107,370422.00,390000,370422,382169.00,5
20190114,364000.00,369999,364000,369614.00,130
20190116,351134.00,380000,351134,362869.00,108
20190123,350000.00,350000,350000,350000.00,3
20190128,332500.00,332500,332500,332500.00,7
20190129,315875.00,315875,315875,315875.00,45
20190302,300082.00,300082,300082,300082.00,111
20190305,285078.00,285078,285078,285078.00,4
20190306,270825.00,270825,270825,270825.00,66
20190312,257284.00,270825,257284,266841.00,31
20190508,253499.00,280183,253499,257118.00,100
20190520,244263.00,244263,244263,244263.00,27
20190525,244263.00,244263,244263,244263.00,43
20190630,232050.00,232050,232050,232050.00,4
20190701,220448.00,220448,220448,220448.00,5
20190702,209426.00,209426,209426,209426.00,5
20190706,198955.00,198955,198955,198955.00,5
20190710,189008.00,189008,189008,189008.00,6
20190713,179558.00,179558,179558,179558.00,6
20190714,170581.00,170581,170581,170581.00,20
20190715,165000.00,165000,165000,165000.00,5
20190716,156750.00,156750,156750,156750.00,20
20190717,148913.00,148913,148913,148913.00,2
20190720,141468.00,141468,141468,141468.00,1
20190722,140000.00,148541,140000,144469.00,86
20190724,137246.00,137246,137246,137246.00,17
20190728,130384.00,130384,130384,130384.00,11
20190803,130000.00,130000,130000,130000.00,8
20190811,130000.00,130000,130000,130000.00,15
