<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20080507,8690.00,8690,8690,8690.00,10294,6,دتمادح-ت
20111227,7995.00,7995,7995,7995.00,1,1,دتمادح-ت
20111228,7356.00,8000,7356,7794.00,84725,19,دتمادح-ت
20120103,7171.00,7850,7171,7849.00,3004,3,دتمادح-ت
20120109,7223.00,7223,7223,7223.00,13,1,دتمادح-ت
20120115,7300.00,7300,7300,7300.00,2000,2,دتمادح-ت
20120116,7590.00,7600,7590,7592.00,1850,2,دتمادح-ت
20120117,7890.00,7885,7700,7854.00,6063,4,دتمادح-ت
20120125,7250.00,7250,7250,7250.00,725,1,دتمادح-ت
20120131,6703.00,6703,6702,6702.00,7400,8,دتمادح-ت
20120522,7300.00,7300,7200,7229.00,155366,16,دتمادح-ت
20160914,8988.00,8988,8090,8273.00,349778,167,دتمادح-ت
20160917,7450.00,8290,7450,7955.00,66150,36,دتمادح-ت
20160918,7991.00,8200,7991,8092.00,66600,28,دتمادح-ت
20160919,8092.00,8099,8052,8090.00,355807,53,دتمادح-ت
20160921,8090.00,8150,8090,8090.00,110963,22,دتمادح-ت
20160925,8128.00,8498,8110,8247.00,40564,29,دتمادح-ت
20160926,8527.00,8527,8181,8189.00,25967,6,دتمادح-ت
20160927,8600.00,8600,8220,8245.00,28137,18,دتمادح-ت
20160928,8222.00,8450,8222,8264.00,70106,19,دتمادح-ت
20161001,8450.00,8450,8300,8359.00,4970,10,دتمادح-ت
20161002,8157.00,8201,8157,8195.00,21024,16,دتمادح-ت
20161003,8200.00,8202,8200,8200.00,100913,23,دتمادح-ت
20161005,8200.00,8200,8200,8200.00,1400,3,دتمادح-ت
20161008,8249.00,8250,8198,8226.00,4600,12,دتمادح-ت
20161016,8165.00,8165,8000,8136.00,752,3,دتمادح-ت
20161018,7337.00,7699,7337,7589.00,9550,8,دتمادح-ت
20161019,7501.00,7501,7404,7494.00,26325,15,دتمادح-ت
20161022,7380.00,7380,7372,7378.00,21542,15,دتمادح-ت
20161023,7406.00,7406,7101,7346.00,16202,11,دتمادح-ت
20161024,7300.00,7300,7210,7264.00,67631,14,دتمادح-ت
20161026,7400.00,7500,7400,7473.00,2990,7,دتمادح-ت
20161029,7300.00,7300,7300,7300.00,756,2,دتمادح-ت
20161030,7778.00,7779,7320,7451.00,16704,14,دتمادح-ت
20161031,7320.00,7699,7320,7445.00,32874,22,دتمادح-ت
20161101,7321.00,7788,7321,7726.00,3498,9,دتمادح-ت
20161105,7401.00,7749,7401,7597.00,738,3,دتمادح-ت
20161106,7520.00,7560,7402,7509.00,14709,10,دتمادح-ت
20161107,7471.00,7586,7404,7509.00,80750,26,دتمادح-ت
20161108,7400.00,7696,7350,7418.00,13329,13,دتمادح-ت
20161109,7350.00,7549,7153,7431.00,40148,32,دتمادح-ت
20170207,8140.00,8140,8140,8140.00,100000,2,دتمادح-ت
20170214,7900.00,7900,7900,7900.00,5000,1,دتمادح-ت
20170225,7800.00,7800,7800,7800.00,422,1,دتمادح-ت
20170226,7800.00,7800,7700,7750.00,300,2,دتمادح-ت
20170227,7600.00,7600,7400,7405.00,1145683,42,دتمادح-ت
