<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20031209,2600.00,2600,2600,2600.00,5657,2,Tukafoolad Inv.-R-a
20040418,2500.00,2500,2500,2500.00,1206,1,Tukafoolad Inv.-R-a
20040424,2730.00,2730,2730,2730.00,1131,1,Tukafoolad Inv.-R-a
20040425,2740.00,2740,2740,2740.00,3553,7,Tukafoolad Inv.-R-a
20040426,2740.00,2740,2740,2740.00,10,1,Tukafoolad Inv.-R-a
20040428,3014.00,3014,3014,3014.00,1371,1,Tukafoolad Inv.-R-a
20040501,3315.00,3315,3315,3315.00,1371,1,Tukafoolad Inv.-R-a
20040503,3050.00,3050,2725,2837.00,4048,7,Tukafoolad Inv.-R-a
20040504,2978.00,2985,2978,2982.00,6406,4,Tukafoolad Inv.-R-a
20040505,3050.00,3050,3035,3036.00,1860,5,Tukafoolad Inv.-R-a
20040508,3049.00,3146,3049,3105.00,7076,9,Tukafoolad Inv.-R-a
20040509,3105.00,3105,3105,3105.00,376,2,Tukafoolad Inv.-R-a
20040510,3201.00,3201,3200,3200.00,9524,10,Tukafoolad Inv.-R-a
20040511,3227.00,3227,3227,3227.00,2160,3,Tukafoolad Inv.-R-a
20040512,3350.00,3350,3230,3282.00,4936,9,Tukafoolad Inv.-R-a
20040515,3250.00,3270,3250,3269.00,13442,8,Tukafoolad Inv.-R-a
20040516,3273.00,3273,3273,3273.00,10946,8,Tukafoolad Inv.-R-a
20040517,3295.00,3304,3295,3297.00,6120,8,Tukafoolad Inv.-R-a
20040518,3308.00,3315,3212,3302.00,25975,15,Tukafoolad Inv.-R-a
20040519,3212.00,3300,3212,3254.00,4318,6,Tukafoolad Inv.-R-a
20040522,3212.00,3290,3180,3195.00,6096,5,Tukafoolad Inv.-R-a
20040523,3288.00,3289,3150,3200.00,18496,18,Tukafoolad Inv.-R-a
20040524,3200.00,3206,3200,3202.00,7509,7,Tukafoolad Inv.-R-a
20040525,3500.00,3500,3500,3500.00,126,1,Tukafoolad Inv.-R-a
20040526,3600.00,3651,3600,3616.00,8199,14,Tukafoolad Inv.-R-a
20040529,3616.00,3700,3616,3678.00,8251,9,Tukafoolad Inv.-R-a
20040530,3800.00,3805,3800,3801.00,14801,14,Tukafoolad Inv.-R-a
20040531,4181.00,4181,3800,3809.00,21600,26,Tukafoolad Inv.-R-a
20040601,3809.00,3809,3808,3808.00,6742,10,Tukafoolad Inv.-R-a
20040602,3817.00,4050,3817,3867.00,6346,9,Tukafoolad Inv.-R-a
20040607,3820.00,3820,3800,3806.00,6284,3,Tukafoolad Inv.-R-a
20040608,3819.00,3819,3819,3819.00,1039,1,Tukafoolad Inv.-R-a
20040609,3600.00,3819,3600,3631.00,210,3,Tukafoolad Inv.-R-a
20040707,3201.00,3201,3200,3200.00,381866,63,Tukafoolad Inv.-R-a
20050430,6401.00,6401,6401,6401.00,2100,1,Tukafoolad Inv.-R-a
20050501,6200.00,6392,6050,6194.00,38485,23,Tukafoolad Inv.-R-a
20050502,5600.00,5600,5578,5590.00,30918,13,Tukafoolad Inv.-R-a
20050503,5400.00,5950,5400,5569.00,35605,20,Tukafoolad Inv.-R-a
20050504,5950.00,6125,5950,6081.00,9980,7,Tukafoolad Inv.-R-a
20050507,6150.00,6150,6130,6138.00,37532,19,Tukafoolad Inv.-R-a
20050508,6138.00,6300,6138,6192.00,40836,23,Tukafoolad Inv.-R-a
20050509,6001.00,6232,6001,6206.00,45555,25,Tukafoolad Inv.-R-a
20050510,6338.00,6400,6338,6388.00,6887,6,Tukafoolad Inv.-R-a
20050511,6520.00,6707,6478,6580.00,37431,20,Tukafoolad Inv.-R-a
20050514,6580.00,6825,6541,6790.00,72765,28,Tukafoolad Inv.-R-a
20050515,6790.00,6791,6648,6773.00,29041,17,Tukafoolad Inv.-R-a
20050516,6790.00,6790,6778,6786.00,50221,28,Tukafoolad Inv.-R-a
20050517,6791.00,6930,6788,6839.00,53706,26,Tukafoolad Inv.-R-a
20050518,6900.00,6933,6900,6900.00,15452,11,Tukafoolad Inv.-R-a
20050521,6900.00,6900,6830,6852.00,52787,21,Tukafoolad Inv.-R-a
20050522,6514.00,6514,6514,6514.00,578,1,Tukafoolad Inv.-R-a
20050523,6517.00,6520,6515,6517.00,5159,4,Tukafoolad Inv.-R-a
20050524,6536.00,6545,6536,6540.00,1433,7,Tukafoolad Inv.-R-a
20050525,6700.00,6700,6545,6628.00,31569,25,Tukafoolad Inv.-R-a
20050528,6934.00,7001,6687,6863.00,12830,13,Tukafoolad Inv.-R-a
20050529,7200.00,7303,7100,7283.00,140650,23,Tukafoolad Inv.-R-a
20050530,7279.00,7300,7250,7266.00,124220,42,Tukafoolad Inv.-R-a
20050531,7266.00,7266,7140,7219.00,209714,98,Tukafoolad Inv.-R-a
20050601,7250.00,7250,7110,7230.00,100404,31,Tukafoolad Inv.-R-a
20050606,7229.00,7230,7218,7222.00,62162,26,Tukafoolad Inv.-R-a
20050607,7115.00,7199,7110,7182.00,50099,40,Tukafoolad Inv.-R-a
20050608,7196.00,7199,7145,7190.00,134122,59,Tukafoolad Inv.-R-a
20050611,7190.00,7229,7170,7192.00,142189,44,Tukafoolad Inv.-R-a
20050612,7120.00,7150,7000,7068.00,10827,8,Tukafoolad Inv.-R-a
20050613,7099.00,7100,6900,6999.00,60112,35,Tukafoolad Inv.-R-a
20050614,7001.00,7272,7000,7059.00,55152,30,Tukafoolad Inv.-R-a
20050615,7469.00,7495,7250,7414.00,20955,15,Tukafoolad Inv.-R-a
20050618,7200.00,7351,7100,7225.00,13798,30,Tukafoolad Inv.-R-a
20050619,7100.00,7100,7100,7100.00,10000,1,Tukafoolad Inv.-R-a
20050620,7005.00,7155,7005,7112.00,16558,7,Tukafoolad Inv.-R-a
20050625,6401.00,6401,6401,6401.00,6859,4,Tukafoolad Inv.-R-a
20050626,7000.00,7000,7000,7000.00,3220,4,Tukafoolad Inv.-R-a
20050627,7000.00,7000,7000,7000.00,10000,1,Tukafoolad Inv.-R-a
20050629,7000.00,7000,6999,6999.00,2133,4,Tukafoolad Inv.-R-a
20050704,6994.00,6994,6994,6994.00,426,1,Tukafoolad Inv.-R-a
20050706,6302.00,6310,6300,6302.00,14375,9,Tukafoolad Inv.-R-a
20050806,5300.00,5500,5300,5354.00,784323,77,Tukafoolad Inv.-R-a
20070404,1649.00,1700,1649,1664.00,13647,6,Tukafoolad Inv.-R-a
20070407,1598.00,1598,1598,1598.00,4500,1,Tukafoolad Inv.-R-a
20070408,1536.00,1537,1535,1535.00,55019,18,Tukafoolad Inv.-R-a
20070409,1485.00,1485,1485,1485.00,272,1,Tukafoolad Inv.-R-a
20070411,1510.00,1510,1485,1495.00,8468,7,Tukafoolad Inv.-R-a
20070414,1502.00,1554,1502,1542.00,11387,8,Tukafoolad Inv.-R-a
20070415,1542.00,1603,1542,1581.00,4238,7,Tukafoolad Inv.-R-a
20070416,1583.00,1601,1583,1597.00,20373,10,Tukafoolad Inv.-R-a
20070417,1598.00,1600,1597,1597.00,13715,10,Tukafoolad Inv.-R-a
20070418,1647.00,1650,1647,1648.00,18635,7,Tukafoolad Inv.-R-a
20070421,1620.00,1620,1620,1620.00,27,1,Tukafoolad Inv.-R-a
20070422,1620.00,1674,1620,1652.00,7897,6,Tukafoolad Inv.-R-a
20070423,1640.00,1699,1640,1690.00,16986,10,Tukafoolad Inv.-R-a
20070424,1690.00,1690,1690,1690.00,4007,3,Tukafoolad Inv.-R-a
20070425,1651.00,1694,1651,1691.00,25069,9,Tukafoolad Inv.-R-a
20070428,1697.00,1697,1624,1687.00,11483,5,Tukafoolad Inv.-R-a
20070429,1620.00,1620,1620,1620.00,5523,5,Tukafoolad Inv.-R-a
20070430,1590.00,1590,1590,1590.00,4631,3,Tukafoolad Inv.-R-a
20070501,1550.00,1550,1550,1550.00,5000,1,Tukafoolad Inv.-R-a
20070502,1500.00,1501,1500,1500.00,17816,12,Tukafoolad Inv.-R-a
20070505,1500.00,1500,1500,1500.00,26865,13,Tukafoolad Inv.-R-a
20070506,1501.00,1502,1501,1501.00,8327,8,Tukafoolad Inv.-R-a
20070507,1505.00,1505,1441,1457.00,14766,12,Tukafoolad Inv.-R-a
20070508,1400.00,1401,1399,1399.00,15735,7,Tukafoolad Inv.-R-a
20070509,1420.00,1420,1420,1420.00,1433,2,Tukafoolad Inv.-R-a
20070513,1476.00,1476,1476,1476.00,17107,6,Tukafoolad Inv.-R-a
20070515,1497.00,1497,1430,1489.00,3939,4,Tukafoolad Inv.-R-a
20070519,1430.00,1430,1430,1430.00,4546,4,Tukafoolad Inv.-R-a
20070521,1429.00,1430,1419,1428.00,28190,12,Tukafoolad Inv.-R-a
20070522,1400.00,1400,1400,1400.00,408,1,Tukafoolad Inv.-R-a
