<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20040224,300.00,300,300,300.00,10660,5,وتوصاح-ت
20040225,320.00,320,289,300.00,8465782,15,وتوصاح-ت
20040228,318.00,319,300,303.00,119714,25,وتوصاح-ت
20040229,311.00,321,301,305.00,156322,34,وتوصاح-ت
20040303,300.00,310,300,305.00,50504,15,وتوصاح-ت
20040306,320.00,320,300,306.00,11936,5,وتوصاح-ت
20040307,310.00,320,308,311.00,95479,32,وتوصاح-ت
20040308,320.00,320,300,310.00,221465,48,وتوصاح-ت
20040309,300.00,300,279,286.00,84112,27,وتوصاح-ت
20040310,309.00,310,280,303.00,33240,18,وتوصاح-ت
20040313,275.00,303,273,275.00,343154,33,وتوصاح-ت
20040314,250.00,250,248,248.00,137329,29,وتوصاح-ت
20040315,245.00,249,231,241.00,5732192,45,وتوصاح-ت
20040316,265.00,265,246,260.00,138100,32,وتوصاح-ت
20040317,260.00,280,260,278.00,2431,3,وتوصاح-ت
20040327,294.00,296,294,295.00,24431,8,وتوصاح-ت
20040328,300.00,300,297,299.00,75855,18,وتوصاح-ت
20040329,300.00,310,300,301.00,33982,16,وتوصاح-ت
20040330,314.00,314,314,314.00,3000,1,وتوصاح-ت
20040404,345.00,345,345,345.00,77833,292,وتوصاح-ت
20040405,371.00,371,371,371.00,27650,97,وتوصاح-ت
20040406,408.00,408,408,408.00,26286,5,وتوصاح-ت
20040407,429.00,436,429,429.00,1938,4,وتوصاح-ت
20040410,471.00,471,471,471.00,71,1,وتوصاح-ت
20040412,477.00,479,477,477.00,3959,3,وتوصاح-ت
20040413,505.00,524,500,503.00,107800,30,وتوصاح-ت
20040414,501.00,550,477,507.00,77310,21,وتوصاح-ت
20040417,550.00,550,550,550.00,4280,3,وتوصاح-ت
20040421,500.00,500,495,497.00,3689,6,وتوصاح-ت
20040424,448.00,495,448,459.00,9831,16,وتوصاح-ت
20040425,504.00,504,504,504.00,22330,5,وتوصاح-ت
20040426,540.00,554,507,547.00,152845,34,وتوصاح-ت
20040427,546.00,546,495,526.00,90240,23,وتوصاح-ت
20040428,474.00,510,474,507.00,157787,27,وتوصاح-ت
20040501,507.00,520,507,510.00,3284097,34,وتوصاح-ت
20040710,1200.00,1200,1200,1200.00,6677028,136,وتوصاح-ت
20050228,750.00,750,650,725.00,32802,15,وتوصاح-ت
20050301,720.00,725,720,724.00,8065,5,وتوصاح-ت
20050302,707.00,720,707,715.00,77338,29,وتوصاح-ت
20050305,716.00,716,705,713.00,6285,7,وتوصاح-ت
20050306,650.00,650,642,645.00,18337,15,وتوصاح-ت
20050307,645.00,647,644,645.00,34415,22,وتوصاح-ت
20050308,640.00,641,581,605.00,23567,14,وتوصاح-ت
20050309,604.00,605,604,605.00,6973,13,وتوصاح-ت
20050312,580.00,600,545,575.00,15419,8,وتوصاح-ت
20050313,549.00,598,549,552.00,61109,25,وتوصاح-ت
20050314,561.00,600,554,569.00,727418,13,وتوصاح-ت
20050315,600.00,601,570,593.00,26278,14,وتوصاح-ت
20050316,593.00,593,582,588.00,57310,22,وتوصاح-ت
20050424,600.00,600,600,600.00,97725,10,وتوصاح-ت
20100329,615.00,620,615,617.00,10000,3,وتوصاح-ت
20100403,596.00,596,596,596.00,12000,5,وتوصاح-ت
20100405,575.00,575,555,555.00,505,2,وتوصاح-ت
20100406,517.00,517,517,517.00,200,1,وتوصاح-ت
20100410,481.00,481,481,481.00,100,1,وتوصاح-ت
20100501,448.00,448,448,448.00,1000,1,وتوصاح-ت
20100503,417.00,417,417,417.00,200,1,وتوصاح-ت
20100504,388.00,417,388,397.00,322055,133,وتوصاح-ت
20100505,401.00,424,401,421.00,206079,33,وتوصاح-ت
20100508,392.00,393,392,392.00,4752,7,وتوصاح-ت
20100815,100.00,100,92,100.00,5212000,210,وتوصاح-ت
20100816,100.00,93,92,92.00,2347446,45,وتوصاح-ت
20100817,85.00,99,85,97.00,44161702,786,وتوصاح-ت
20111010,266.00,287,266,272.00,6467,4,وتوصاح-ت
20111011,293.00,293,293,293.00,4406,9,وتوصاح-ت
20111012,316.00,316,316,316.00,5985,17,وتوصاح-ت
20111015,341.00,341,341,341.00,385391,85,وتوصاح-ت
20111016,344.00,345,314,317.00,54000,10,وتوصاح-ت
20111017,301.00,342,292,307.00,64749,23,وتوصاح-ت
20111018,329.00,331,292,324.00,16594,10,وتوصاح-ت
20111019,302.00,309,301,301.00,17460,4,وتوصاح-ت
20111022,321.00,321,282,308.00,13966,10,وتوصاح-ت
20111023,286.00,300,285,287.00,20563,12,وتوصاح-ت
20111025,265.00,298,265,279.00,3521,15,وتوصاح-ت
20111026,265.00,265,265,265.00,30,1,وتوصاح-ت
20111029,244.00,250,244,246.00,12793,19,وتوصاح-ت
20111030,246.00,265,246,255.00,8886,14,وتوصاح-ت
20111031,275.00,275,270,273.00,35228,24,وتوصاح-ت
20111101,294.00,294,294,294.00,32105,21,وتوصاح-ت
20111102,295.00,317,295,312.00,71292,29,وتوصاح-ت
20111105,336.00,336,336,336.00,18131,13,وتوصاح-ت
20111106,336.00,362,320,342.00,153890,18,وتوصاح-ت
20111108,315.00,315,315,315.00,6189,8,وتوصاح-ت
20111112,290.00,290,290,290.00,5780,6,وتوصاح-ت
20111113,290.00,313,290,311.00,6421,6,وتوصاح-ت
20111114,287.00,313,287,306.00,11223,16,وتوصاح-ت
20111116,284.00,284,282,284.00,3312,10,وتوصاح-ت
20111119,270.00,270,262,264.00,3410,6,وتوصاح-ت
20111120,243.00,285,243,272.00,115040,28,وتوصاح-ت
20111121,293.00,293,293,293.00,55076,18,وتوصاح-ت
20111122,290.00,290,275,279.00,8674,7,وتوصاح-ت
20111123,257.00,257,257,257.00,12,2,وتوصاح-ت
20111126,249.00,257,249,250.00,21062,16,وتوصاح-ت
20111127,249.00,249,249,249.00,6145,8,وتوصاح-ت
20111128,249.00,249,249,249.00,25329,5,وتوصاح-ت
20111129,230.00,230,230,230.00,34518,15,وتوصاح-ت
20120312,100.00,101,100,100.00,2500000,52,وتوصاح-ت
20120313,100.00,108,100,107.00,18574013,372,وتوصاح-ت
