<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20131019,694.78,695,695,694.78,22500,1,Abadgaran Kish-a
20131130,694.78,695,695,694.78,125282,5,Abadgaran Kish-a
20140111,829.25,829,829,829.25,26000,2,Abadgaran Kish-a
20141117,834.18,834,834,834.18,300000,2,Abadgaran Kish-a
20141125,853.90,854,854,853.90,700000,7,Abadgaran Kish-a
20141130,853.90,854,854,853.90,828800,6,Abadgaran Kish-a
20141203,853.90,854,854,853.90,650000,7,Abadgaran Kish-a
20150314,729.83,730,730,729.83,6576,1,Abadgaran Kish-a
20150509,729.83,730,730,729.83,80000,1,Abadgaran Kish-a
20150513,681.18,681,681,681.18,13152,2,Abadgaran Kish-a
20150525,681.18,681,681,681.18,32000,1,Abadgaran Kish-a
20150729,622.79,623,623,622.79,32000,1,Abadgaran Kish-a
20150901,559.54,560,560,559.54,64000,2,Abadgaran Kish-a
20151118,559.54,560,560,559.54,41152,3,Abadgaran Kish-a
20151125,574.13,574,574,574.13,5600,5,Abadgaran Kish-a
20151128,583.87,584,584,583.87,4800,1,Abadgaran Kish-a
20151205,583.87,584,584,583.87,6000,1,Abadgaran Kish-a
20151207,681.18,681,681,681.18,40000,1,Abadgaran Kish-a
20151208,705.50,706,706,705.50,10000,1,Abadgaran Kish-a
20151214,778.49,778,778,778.49,40000,1,Abadgaran Kish-a
20151215,793.08,793,793,793.08,3600,1,Abadgaran Kish-a
20151221,793.08,793,793,793.08,100,1,Abadgaran Kish-a
20160105,750.22,750,750,750.22,37000,7,Abadgaran Kish-a
20160106,723.42,723,723,723.42,250000,5,Abadgaran Kish-a
20160109,723.42,723,723,723.42,639100,14,Abadgaran Kish-a
20160118,696.63,697,697,696.63,20000,1,Abadgaran Kish-a
20160124,669.83,670,670,669.83,70000,2,Abadgaran Kish-a
20160126,653.76,654,654,653.76,92000,2,Abadgaran Kish-a
20160130,637.68,638,638,637.68,62000,2,Abadgaran Kish-a
20160131,637.68,638,638,637.68,30000,1,Abadgaran Kish-a
20160203,616.25,616,616,616.25,37600,3,Abadgaran Kish-a
20160206,616.25,616,616,616.25,39354,3,Abadgaran Kish-a
20160213,605.53,606,606,605.53,6400,1,Abadgaran Kish-a
20160214,605.53,606,606,605.53,10000,1,Abadgaran Kish-a
20160215,701.99,702,699,699.31,28800,2,Abadgaran Kish-a
20160217,669.83,670,670,669.83,10000,1,Abadgaran Kish-a
20160220,659.12,659,659,659.12,10000,1,Abadgaran Kish-a
20160223,659.12,659,659,659.12,37200,3,Abadgaran Kish-a
20160409,637.68,638,638,637.68,10000,1,Abadgaran Kish-a
20160410,653.76,654,654,653.76,40000,1,Abadgaran Kish-a
20160411,669.83,670,670,669.83,30000,1,Abadgaran Kish-a
20160419,632.32,632,632,632.32,7000,1,Abadgaran Kish-a
20160423,610.89,611,611,610.89,40000,2,Abadgaran Kish-a
20160424,600.17,600,595,598.56,33000,4,Abadgaran Kish-a
20160427,594.81,595,584,588.38,33000,3,Abadgaran Kish-a
20160508,701.99,702,702,701.99,10000,1,Abadgaran Kish-a
20160927,707.35,707,707,707.35,1200,1,Abadgaran Kish-a
20161004,707.35,707,707,707.35,5000,1,Abadgaran Kish-a
20161116,695.75,696,696,695.75,1000,1,Abadgaran Kish-a
20161218,720.16,720,720,720.16,8000,1,Abadgaran Kish-a
20161219,789.65,790,790,789.65,18000,2,Abadgaran Kish-a
20161221,900.48,900,900,900.48,20000,2,Abadgaran Kish-a
20170218,928.62,929,929,928.62,68200,6,Abadgaran Kish-a
20170306,984.90,985,985,984.90,309500,5,Abadgaran Kish-a
20170307,1034.14,1034,1034,1034.14,190000,3,Abadgaran Kish-a
20170313,1090.42,1090,1090,1090.42,124,1,Abadgaran Kish-a
20170415,1199.47,1199,1199,1199.47,32130,1,Abadgaran Kish-a
20170416,1319.06,1319,1319,1319.06,2690,1,Abadgaran Kish-a
20170531,1450.62,1451,1196,1324.69,1525,3,Abadgaran Kish-a
20170617,1456.95,1457,1457,1456.95,6920,5,Abadgaran Kish-a
20170712,1602.57,1603,1603,1602.57,10000,2,Abadgaran Kish-a
20170715,1762.27,1762,1762,1762.27,19190,6,Abadgaran Kish-a
20170716,1938.14,1938,1938,1938.14,235945,19,Abadgaran Kish-a
20170718,2131.60,2132,2132,2131.60,10746,5,Abadgaran Kish-a
20170719,2131.60,2132,2132,2131.60,25746,6,Abadgaran Kish-a
20170722,2344.76,2345,2345,2344.76,63000,4,Abadgaran Kish-a
20170723,2579.03,2579,2579,2579.03,302747,31,Abadgaran Kish-a
20170725,2836.51,2837,2837,2836.51,49678,9,Abadgaran Kish-a
20170726,3120.02,3120,3120,3120.02,150102,12,Abadgaran Kish-a
20170729,3431.67,3432,2909,3364.84,1001697,221,Abadgaran Kish-a
20170730,3656.79,3701,3517,3688.45,669439,205,Abadgaran Kish-a
20170731,3869.25,4057,3806,3994.47,1230272,329,Abadgaran Kish-a
20170801,4221.00,4389,3926,4147.13,1298897,398,Abadgaran Kish-a
20170802,3801.01,4319,3738,3910.76,813294,308,Abadgaran Kish-a
20170806,4150.65,4151,3520,3788.35,569731,218,Abadgaran Kish-a
20170807,3587.85,3757,3410,3429.56,422394,145,Abadgaran Kish-a
20170808,3772.17,3772,3771,3772.17,262826,46,Abadgaran Kish-a
20170809,3834.78,4144,3458,3925.53,444961,214,Abadgaran Kish-a
