<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010410,441.44,459,441,459.10,1820,7,Iran Transfo-a
20010411,443.21,459,442,441.80,12940,15,Iran Transfo-a
20010414,430.85,431,424,423.75,3600,4,Iran Transfo-a
20010415,423.75,424,423,423.79,16181,39,Iran Transfo-a
20010416,423.79,424,424,423.82,9514,20,Iran Transfo-a
20010417,427.32,443,424,424.17,22960,18,Iran Transfo-a
20010418,437.91,441,434,441.44,35953,13,Iran Transfo-a
20010421,445.86,452,445,452.04,14239,9,Iran Transfo-a
20010422,459.10,463,458,459.07,10528,18,Iran Transfo-a
20010423,452.18,459,452,459.10,36741,31,Iran Transfo-a
20010424,459.10,459,459,459.07,9514,21,Iran Transfo-a
20010425,459.10,466,459,466.17,8668,20,Iran Transfo-a
20010428,466.59,467,467,466.69,187,2,Iran Transfo-a
20010430,489.12,489,488,489.12,2750,9,Iran Transfo-a
20010501,489.12,491,489,490.89,2493,8,Iran Transfo-a
20010502,491.03,491,489,489.23,7884,11,Iran Transfo-a
20010506,488.73,489,488,488.38,650,3,Iran Transfo-a
20010507,483.72,484,483,483.79,8810,26,Iran Transfo-a
20010508,487.32,488,487,488.41,2763,9,Iran Transfo-a
20010509,490.78,491,488,488.03,3149,8,Iran Transfo-a
20010512,483.51,484,483,483.12,3267,8,Iran Transfo-a
20010515,482.06,482,480,480.29,1929,5,Iran Transfo-a
20010516,483.82,486,479,485.59,15176,21,Iran Transfo-a
20010519,487.78,488,488,487.78,507,2,Iran Transfo-a
20010520,492.09,505,492,503.60,17861,39,Iran Transfo-a
20010521,503.60,507,502,506.78,16431,27,Iran Transfo-a
20010523,505.01,505,505,505.01,500,2,Iran Transfo-a
20010526,505.01,507,505,505.01,4216,15,Iran Transfo-a
20010527,506.78,512,507,508.54,54229,18,Iran Transfo-a
20010528,508.90,512,509,512.08,9174,11,Iran Transfo-a
20010529,512.08,516,512,515.71,21605,34,Iran Transfo-a
20010530,515.96,517,516,517.37,13318,24,Iran Transfo-a
20010602,517.44,530,516,526.27,53907,45,Iran Transfo-a
20010603,531.50,540,526,539.97,14294,12,Iran Transfo-a
20010606,545.63,551,540,547.57,8393,25,Iran Transfo-a
20010609,550.92,562,551,561.52,4630,17,Iran Transfo-a
20010611,566.85,569,564,565.05,11493,34,Iran Transfo-a
20010612,566.85,569,567,568.58,1471,7,Iran Transfo-a
20010613,571.41,571,570,569.99,5389,16,Iran Transfo-a
20010616,572.11,572,570,572.18,4665,17,Iran Transfo-a
20010617,574.58,576,573,572.82,10120,34,Iran Transfo-a
20010618,572.82,573,569,568.97,7051,19,Iran Transfo-a
20010619,568.54,569,558,557.99,18677,24,Iran Transfo-a
20010620,557.99,558,558,557.99,4835,11,Iran Transfo-a
20010623,557.84,558,556,555.94,1574,6,Iran Transfo-a
20010624,554.24,554,551,552.65,3024,9,Iran Transfo-a
20010625,550.39,550,547,550.22,3135,8,Iran Transfo-a
20010626,547.39,547,544,543.82,23998,25,Iran Transfo-a
20010627,543.82,550,544,550.22,8038,23,Iran Transfo-a
20010630,550.18,551,548,550.92,5935,29,Iran Transfo-a
20010701,559.75,567,554,565.08,63472,21,Iran Transfo-a
20010702,563.42,563,563,563.28,6570,17,Iran Transfo-a
20010703,563.25,563,558,557.99,9876,16,Iran Transfo-a
20010704,557.99,558,558,557.88,1619,5,Iran Transfo-a
20010707,550.92,554,551,554.45,5238,16,Iran Transfo-a
20010708,554.45,558,554,557.99,19094,42,Iran Transfo-a
20010805,494.42,545,494,545.27,3521,10,Iran Transfo-a
20010806,557.99,558,558,557.99,1000,1,Iran Transfo-a
20010807,559.05,565,547,547.39,5575,8,Iran Transfo-a
20010808,547.39,565,547,564.84,15047,32,Iran Transfo-a
20010812,566.81,567,567,566.81,1500,3,Iran Transfo-a
20010813,575.64,583,576,582.71,2265,5,Iran Transfo-a
20010814,583.41,586,583,586.24,1237,3,Iran Transfo-a
20010818,615.55,616,614,614.49,1250,6,Iran Transfo-a
20010819,615.69,616,616,615.66,1000,4,Iran Transfo-a
20010820,615.94,616,616,615.73,5128,15,Iran Transfo-a
20010821,616.04,616,616,616.04,5431,18,Iran Transfo-a
20010822,616.15,616,616,616.15,150,1,Iran Transfo-a
20010825,616.36,617,616,616.64,1880,3,Iran Transfo-a
20010826,616.68,617,617,616.64,1907,5,Iran Transfo-a
20010827,616.64,617,617,616.61,2542,10,Iran Transfo-a
20010829,610.96,611,611,610.96,10826,5,Iran Transfo-a
20010901,600.36,600,600,600.36,1140,4,Iran Transfo-a
20010902,596.83,597,597,596.80,1240,4,Iran Transfo-a
20010903,593.30,597,592,596.83,8830,18,Iran Transfo-a
20010904,596.44,596,595,594.96,820,5,Iran Transfo-a
20010908,593.30,593,593,593.30,500,1,Iran Transfo-a
20010909,592.59,593,588,588.00,1715,4,Iran Transfo-a
20010910,586.24,586,584,584.47,7665,16,Iran Transfo-a
20010911,584.47,586,584,586.20,2400,5,Iran Transfo-a
20010912,582.71,586,583,586.17,951,4,Iran Transfo-a
