<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20050514,260.54,261,261,260.54,365400
20050515,273.57,274,274,273.57,40000
20050516,287.24,287,287,287.24,40000
20050517,301.57,302,302,301.57,40000
20050518,316.65,317,317,316.65,219951
20050521,332.47,332,326,332.37,641648
20050522,325.67,335,316,324.00,92030
20050523,326.05,335,316,326.42,42330
20050524,321.21,323,317,323.35,17510
20050525,325.67,333,308,328.84,58319
20050528,331.72,332,329,330.14,32707
20050529,330.23,330,315,326.79,15130
20050530,334.98,338,316,334.23,107326
20050531,334.23,338,330,335.17,40035
20050601,331.26,332,330,332.28,20510
20050606,334.98,335,326,330.70,14867
20050607,345.96,346,329,334.42,40494
20050608,330.33,332,326,332.19,12678
20050611,334.51,335,333,333.49,167604
20050612,334.14,335,333,334.14,87714
20050613,334.98,336,334,334.33,9218
20050614,334.98,337,333,335.44,28143
20050615,344.19,344,336,335.91,1900
20050619,329.58,335,319,334.89,2409
20050620,319.16,333,318,332.65,4439
20050621,329.86,332,330,332.28,4510
20050626,326.98,332,327,332.00,1320
20050629,315.44,323,315,322.70,17880
20050716,306.60,309,307,309.39,26801
20050717,309.20,309,294,294.22,535557
20050724,316.37,352,316,326.98,4756
20050730,326.60,327,327,326.88,1010
20050806,332.56,333,327,327.07,1260
20050810,310.79,325,311,322.70,112021
20050813,310.79,321,311,320.65,5456
20050814,304.65,324,305,320.65,160110
20050817,317.30,320,317,320.46,1214
20050820,304.46,319,304,319.16,2506
20050824,316.09,319,316,319.07,885
20050828,303.16,319,303,318.51,1010
20050829,303.16,306,303,306.04,24903
20050903,302.41,306,301,305.58,3242
20050904,305.20,305,305,305.39,13010
20050906,302.41,305,302,305.30,705
20050907,302.41,305,302,305.02,3010
20050910,302.41,305,302,304.83,2010
20050911,300.55,305,301,304.55,2010
20050912,300.55,304,301,304.27,2010
20050924,289.11,304,289,303.62,3875
20050925,297.76,303,298,302.78,4210
20051004,287.71,292,288,291.90,22952
20051011,277.38,291,277,290.50,3010
20051012,301.85,302,291,290.50,20
20051115,301.67,302,302,301.67,70000
20051204,295.71,296,296,295.71,500
20051205,295.71,296,296,295.71,75382
20051212,293.94,295,294,295.43,6167
20051218,295.15,295,295,295.15,26524
20051231,280.45,291,280,290.87,9177
20060103,276.36,286,276,284.17,33531
20060108,282.69,283,283,283.06,22300
20060109,282.50,283,282,282.96,6229
20060115,282.78,283,283,282.87,12281
20060117,282.31,283,282,282.87,11
20060123,281.29,282,281,281.57,25010
20060129,278.96,281,279,281.01,5970
20060204,278.68,280,279,280.27,10010
20060221,278.59,279,275,278.03,16580
20060222,278.31,278,278,278.13,18424
20060228,277.85,278,278,278.03,6678
20060313,272.54,284,273,278.50,116989
20060314,283.89,284,279,283.89,52110
20060318,283.62,284,284,283.62,134000
20060319,282.87,284,283,283.62,23020
20060411,283.24,284,283,283.52,3277
20060422,277.94,283,278,282.87,3360
20060527,277.29,278,277,277.38,74250
20060529,271.89,276,272,275.61,10010
20060704,270.12,274,270,273.85,10010
20060708,270.03,270,270,270.03,84831
20060709,264.63,265,265,264.63,65978
20060710,259.42,259,259,259.42,40000
20060712,254.31,254,254,254.31,40000
20060716,254.21,254,254,254.21,35179
20060722,266.12,266,266,266.12,3000
20060724,271.43,271,266,266.22,1032
20060815,260.91,266,261,261.38,110210
20060820,261.38,261,261,261.38,1000000
20060823,261.38,267,261,262.12,1084481
20060826,267.33,267,267,267.33,35000
20060830,272.64,273,273,272.64,32500
20060905,278.03,278,278,278.03,118000
20060910,283.52,284,284,283.52,32500
20060916,283.52,284,284,283.52,1600
20060917,283.52,284,284,283.52,80255
20060926,283.43,284,283,283.43,119855
20060927,283.52,284,283,283.43,10010
20060930,283.52,284,283,283.43,5010
20061009,289.01,289,289,289.01,65440
20061010,289.01,289,289,289.01,13
20061017,289.01,289,289,289.01,50000
20061022,289.01,289,289,289.01,170000
20061030,289.01,289,289,289.01,35000
20061108,289.01,289,289,289.01,300
20061125,291.90,292,289,289.20,2396
20061129,291.90,292,292,291.90,165000
20061224,291.99,292,292,291.99,81120
20061226,297.76,298,292,292.08,708
20070106,297.76,298,298,297.76,70000
20070107,297.76,298,298,297.76,5
20070110,297.76,298,298,297.76,300
20070115,303.34,303,298,302.88,30080
20070117,303.34,303,303,303.34,170533
20070127,297.76,303,298,303.25,566
20070214,303.25,303,303,303.25,875
20070304,309.30,309,303,303.25,110
20070328,309.30,309,307,307.06,20010
20070506,315.44,315,315,315.44,30000
20070513,321.67,322,317,317.39,10010
20070515,323.72,324,319,319.35,10010
20070527,322.79,326,323,325.02,61610
20070528,331.44,331,328,327.54,31273
20070606,331.44,331,331,331.26,38737
20070617,331.26,331,331,331.26,10000
20070626,331.35,331,331,331.26,30000
20070630,334.51,335,334,334.33,30010
20070714,344.28,344,344,344.28,30000
20070724,348.94,349,349,348.94,3355
20070730,348.94,349,349,348.94,50000
20070902,269.84,270,270,269.84,10000
20070908,271.71,272,270,269.94,1790
20070918,275.33,275,271,270.96,8262
20070919,275.33,275,272,274.22,32965
20070922,275.33,275,274,274.22,37
20070926,279.15,279,277,277.38,27471
20070930,280.82,281,279,278.96,20010
20071001,278.96,279,279,278.96,53506
20071002,278.96,279,279,278.96,5800
20071006,278.96,279,279,278.96,12000
20071007,278.96,279,279,278.96,2000
20071008,278.96,279,279,278.96,2000
20071226,278.22,278,273,276.26,50010
20071230,270.77,271,271,270.77,62889
20080305,269.84,270,270,269.84,2889
20080317,269.84,270,270,269.84,14712
20080527,269.75,270,270,269.75,55339
20080531,269.66,270,270,269.75,20768
20080601,269.75,270,270,269.75,20000
20080602,269.75,272,270,270.77,20010
20080608,273.47,273,272,271.71,15010
20080615,277.10,277,275,274.59,23010
20080618,280.08,280,276,276.45,15010
20080624,280.08,280,277,276.54,590
20080625,280.08,280,277,276.92,4342
20080701,280.08,280,277,276.92,98
20080708,276.26,277,276,276.92,1685
20080720,276.36,277,276,276.92,216010
20080813,268.63,276,269,276.26,3456
20080818,267.98,275,268,274.96,6910
20080823,266.77,275,267,274.87,310
20080825,266.68,274,267,273.57,6860
20080826,265.38,265,265,265.38,70000
20080903,257.47,257,257,257.47,50000
20080927,256.72,257,257,257.00,27010
20081014,249.37,257,249,256.63,104788
20081015,256.63,257,257,256.63,2422
20081105,256.63,257,257,256.63,918350
20081116,256.63,257,257,256.63,30000
20081123,256.63,257,257,256.63,6000
20081125,256.63,257,257,256.63,24000
20081208,256.72,257,257,256.63,758
20090105,256.63,257,257,256.63,2422
20090113,256.45,256,256,256.54,21000
20090119,256.45,256,256,256.45,29000
20090301,256.17,256,256,256.17,37000
20090304,256.07,256,256,256.17,15300
20090419,248.54,256,249,256.07,158682
20090505,256.07,256,256,256.07,246000
20090510,256.07,256,256,256.07,500
20090517,263.70,264,264,256.07,200
20090728,237.84,238,238,237.84,54150
20090729,237.84,238,238,237.84,50000
20090801,237.84,238,238,237.84,92000
20090804,237.84,238,238,237.84,50000
20090808,237.84,238,238,237.84,50000
20090809,237.84,238,238,237.84,50000
20090811,237.84,238,238,237.84,50000
20090812,237.84,238,238,237.84,50000
20090815,237.84,238,238,237.84,50000
20090817,237.84,238,238,237.84,13850
20090825,237.84,238,238,237.84,500
20090829,237.84,238,238,237.84,500
20090830,237.84,238,238,237.84,10000
20090901,242.69,243,243,238.43,5000
20090902,242.79,243,243,239.42,9500
20090906,242.79,243,243,241.80,30020
20090907,242.79,243,243,242.00,10000
20090921,242.79,243,243,242.00,500
20090926,242.79,243,243,242.00,500
20090928,242.79,243,243,242.10,4060
20091031,203.15,203,203,203.15,500
20091101,208.11,208,208,203.35,2000
