<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20151012,1875.69,1876,1876,1875.69,7200000
20151013,1969.47,1969,1959,1969.05,5165460
20151014,1984.48,2019,1951,1986.98,2731938
20151017,1950.30,1997,1909,1969.05,1713277
20151018,1979.89,1980,1901,1918.20,1564173
20151019,1901.11,1959,1898,1922.79,469212
20151020,1913.20,1953,1891,1914.03,313808
20151021,1879.86,1917,1872,1886.94,451798
20151025,1864.85,1888,1838,1864.85,141658
20151026,1834.01,1869,1792,1817.75,302308
20151027,1821.08,1821,1734,1760.23,442611
20151028,1748.97,1750,1692,1703.96,512969
20151031,1688.54,1789,1667,1712.29,3512194
20151101,1797.74,1798,1792,1797.74,1231632
20151102,1812.75,1822,1758,1788.57,503392
20151103,1790.24,1822,1760,1800.66,835898
20151104,1816.08,1816,1762,1805.66,427560
20151107,1799.83,1867,1762,1824.42,894219
20151108,1859.85,1860,1813,1844.01,754776
20151109,1801.91,1834,1784,1803.16,320409
20151110,1831.92,1837,1794,1829.84,405683
20151111,1803.58,1833,1776,1804.41,952559
20151114,1776.07,1817,1776,1809.00,519650
20151115,1817.33,1867,1797,1839.01,1450405
20151116,1866.52,1930,1848,1894.86,1431232
20151117,1894.86,1925,1835,1893.61,818453
20151118,1904.86,1912,1863,1885.69,398185
20151121,1842.34,1876,1822,1847.76,304751
20151122,1896.53,1899,1811,1882.77,540248
20151123,1875.69,1876,1826,1832.75,272904
20151124,1850.68,1870,1821,1854.43,612413
20151125,1842.34,1852,1798,1822.75,144074
20151128,1829.84,1855,1814,1841.92,343397
20151129,1854.01,1885,1822,1846.93,283677
20151130,1842.34,1855,1817,1835.67,173860
20151201,1801.08,1851,1772,1811.50,125869
20151205,1854.85,1855,1814,1852.35,319890
20151206,1793.57,1794,1789,1791.07,53708
20151207,1809.00,1813,1772,1788.57,118567
20151208,1808.16,1817,1771,1814.41,321848
20151209,1773.57,1792,1751,1778.15,181347
20151213,1755.23,1796,1749,1766.48,312157
20151214,1750.64,1753,1743,1748.14,92357
20151215,1751.89,1791,1740,1783.57,409844
20151216,1804.83,1805,1751,1751.89,132543
20151219,1786.07,1786,1722,1771.90,404159
20151220,1708.96,1709,1684,1687.28,447989
20151221,1713.13,1740,1684,1726.05,617551
20151222,1684.37,1736,1676,1686.87,90859
20151223,1704.37,1733,1676,1728.97,563452
20151226,1708.96,1767,1674,1748.97,604205
20151227,1731.88,1812,1695,1776.07,463320
20151228,1805.66,1813,1751,1796.91,489154
20151230,1808.58,1851,1792,1826.92,577831
20160102,1814.00,1851,1788,1828.17,305667
20160103,1813.16,1834,1776,1817.75,471343
20160104,1793.16,1845,1793,1825.25,446726
20160105,1829.00,1897,1799,1846.93,1484011
20160106,1884.02,1939,1884,1934.04,1315197
20160109,1941.96,2030,1887,1977.39,1430696
20160110,1888.19,1975,1886,1920.29,464751
20160111,1913.62,1980,1914,1956.97,853184
20160112,1942.38,1969,1866,1905.28,363586
20160113,1835.26,1928,1835,1893.61,588475
20160116,1871.52,1948,1868,1919.45,579405
20160117,1896.53,1897,1824,1839.42,625804
20160118,1813.16,1837,1761,1778.99,121248
20160119,1771.48,1852,1771,1804.41,379450
20160120,1792.32,1852,1776,1828.17,354158
20160123,1796.49,1892,1796,1876.10,186491
20160127,1870.27,1876,1794,1861.93,210641
20160130,1843.18,1916,1834,1875.27,326954
20160131,1834.01,1871,1782,1839.84,441641
20160201,1801.49,1932,1801,1894.86,1475565
20160202,1944.05,1955,1876,1925.71,840858
20160203,1945.71,1959,1885,1934.04,641148
20160206,1946.55,2031,1947,2011.57,941146
20160207,2104.94,2112,2088,2109.94,1324048
20160208,2213.31,2215,2126,2188.30,1953493
20160209,2197.47,2292,2084,2214.98,1635718
20160210,2113.27,2167,2105,2113.27,723481
20160213,2084.10,2084,2008,2015.32,349031
20160214,2007.82,2059,1959,2025.33,623287
20160215,2013.24,2083,1977,2054.92,719905
20160216,2002.82,2157,2003,2114.52,740594
