<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160306,969.34,969,969,969.34,26700
20160412,979.03,979,979,979.03,290000
20160427,979.03,979,979,979.03,391040
20160710,979.03,979,979,979.03,100
20160723,969.34,979,969,969.34,3300000
20160724,969.34,969,969,969.34,11
20160807,969.34,969,969,969.34,1110
20160815,959.65,960,960,959.65,1000
20160910,969.34,969,969,969.34,10
20161204,964.49,964,964,964.49,50000
20170307,678.54,679,679,678.54,28428
20170315,746.39,746,746,746.39,314
20170404,679.51,680,672,675.63,90314
20170410,731.85,737,732,732.82,5500
20170412,805.52,806,806,805.52,20500
20170415,885.98,886,886,885.98,42519
20170416,974.19,974,974,974.19,48500
20170417,998.42,1016,877,920.87,31700
20170418,829.76,901,829,854.96,112808
20170419,925.72,926,872,913.12,13000
20170422,822.00,958,822,841.39,127608
20170423,922.81,924,913,921.84,30001
20170426,921.84,933,922,924.75,3060
20170429,832.66,872,833,846.23,15000
20170520,761.90,765,762,762.87,25162
20170521,762.87,763,763,762.87,9300
20170522,838.48,838,838,838.48,50000
20170524,804.55,805,805,804.55,129707
20170527,852.05,885,852,871.44,126701
20170528,948.98,949,872,900.52,95791
20170530,911.18,990,911,965.46,90061
20170531,989.70,1061,989,1014.90,158754
20170603,1109.90,1116,1108,1110.86,26534
20170607,1221.37,1221,1221,1221.37,102252
20170610,1101.17,1260,1101,1143.82,70028
20170612,1238.82,1258,1239,1255.30,101314
20170613,1380.34,1380,1164,1281.47,106444
20170614,1212.65,1328,1213,1240.76,16406
20170618,1313.46,1365,1313,1361.92,62809
20170619,1378.40,1498,1378,1491.82,106020
20170620,1640.12,1640,1358,1389.07,78427
20170621,1424.93,1453,1358,1378.40,98080
20170624,1392.94,1394,1392,1391.97,24908
20170625,1265.96,1367,1261,1264.02,72090
20170701,1284.38,1390,1284,1367.74,242078
20170702,1376.46,1425,1355,1365.80,133597
20170703,1366.77,1433,1357,1360.95,461454
20170705,1382.28,1387,1294,1356.11,51913
20170708,1357.08,1357,1357,1357.08,800
20170709,1356.11,1373,1251,1282.44,41380
20170711,1211.68,1306,1212,1284.38,5100
20170712,1212.65,1213,1192,1201.01,7000
20170715,1308.61,1309,1260,1298.92,46950
20170716,1211.68,1280,1212,1224.28,5955
20170717,1279.53,1280,1135,1151.58,20001
20170718,1037.19,1237,1037,1072.09,16110
20170719,1178.72,1179,1078,1112.80,150688
20170722,1067.24,1178,1049,1084.69,63823
20170723,1085.66,1163,1086,1106.02,180001
20170724,1106.99,1134,1105,1110.86,62138
20170725,1075.00,1158,1075,1121.53,86144
20170726,1151.58,1152,1124,1129.28,67000
20170729,1066.27,1199,1066,1110.86,174010
20170730,1105.05,1161,1086,1101.17,209245
20170731,1086.63,1139,1076,1109.90,99809
20170801,1105.05,1144,1078,1113.77,41164
20170802,1046.89,1114,1044,1078.88,83027
20170806,1053.67,1086,1054,1065.31,95299
20170807,1094.39,1171,1055,1141.88,678568
20170808,1255.30,1255,1255,1255.30,290497
20170809,1380.34,1380,1380,1380.34,463563
20170812,1454.01,1454,1260,1364.83,1681080
20170813,1343.51,1344,1243,1258.20,316843
20170814,1192.29,1309,1188,1250.45,192913
20170815,1296.01,1296,1198,1245.60,143461
20170816,1206.83,1270,1207,1252.39,178971
20170819,1249.48,1257,1200,1229.12,82260
20170820,1273.71,1274,1143,1177.75,253020
20170821,1159.33,1206,1095,1150.61,162022
20170822,1200.04,1200,1071,1095.35,192189
20170823,1160.30,1205,1096,1185.50,693419
20170826,1211.68,1249,1127,1177.75,334861
20170827,1200.04,1201,1115,1138.01,267157
20170828,1135.10,1154,1115,1123.47,98793
20170829,1114.74,1218,1095,1121.53,327281
20170830,1134.13,1226,1134,1197.14,412139
20170902,1197.14,1279,1183,1235.91,169200
20170903,1259.17,1259,1173,1202.95,781981
20170904,1183.56,1308,1231,1283.41,907806
20170905,1316.36,1318,1214,1276.62,304525
20170906,1260.14,1260,1207,1236.88,128770
20170910,1197.14,1250,1139,1198.11,190944
20170911,1078.88,1154,1079,1079.85,1916303
20170912,1095.35,1112,1018,1071.12,214696
20170913,1095.35,1095,1032,1057.55,47998
20170916,1099.23,1099,1008,1093.42,21290
20171021,1022.36,1078,1022,1067.76,268210
20171028,1017.43,1017,1017,1017.43,44942
20171030,1019.40,1019,1019,1019.40,16000
20171101,1073.68,1093,1074,1078.61,198205
20171104,1112.17,1164,1112,1125.98,169147
20171106,1262.17,1262,1086,1220.72,1067674
20171108,1232.56,1233,1233,1232.56,25506
20171111,1163.48,1163,1163,1163.48,32000
20171113,1161.51,1162,1161,1160.52,360000
20171115,1205.92,1206,1204,1205.92,1075483
20171120,1272.03,1272,1272,1272.03,51970
20171122,1149.67,1150,1150,1149.67,10000
20171125,1184.21,1184,1184,1184.21,563627
