<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070925,104.00,105,104,104.09,144450000
20070926,106.15,106,104,105.98,36447979
20070929,104.00,106,104,104.09,8970539
20070930,102.03,102,102,102.03,1168850
20071001,100.06,100,100,100.06,1150707
20071002,98.08,98,98,98.08,1060391
20071006,96.19,100,96,97.22,15094738
20071007,97.82,99,95,95.59,4803219
20071008,94.39,94,94,93.71,9037202
20071009,94.39,96,94,94.99,1115580
20071010,96.88,97,94,95.94,4593565
20071014,95.85,96,94,94.14,2880875
20071015,92.33,93,92,92.33,922600
20071016,90.79,91,91,90.53,407166
20071017,88.73,92,89,88.99,4024195
20071020,90.45,90,88,88.64,1911552
20071021,87.61,89,87,88.04,2049706
20071022,87.96,90,88,89.16,1931112
20071023,88.39,89,88,88.30,1469010
20071024,88.56,90,88,88.81,1617993
20071027,89.24,90,89,89.42,780116
20071028,89.67,90,88,88.39,2716776
20071029,87.44,88,87,87.70,1913320
20071030,88.39,89,88,88.39,1696375
20071031,90.10,90,89,89.93,428829
20071103,91.65,92,88,90.53,841553
20071104,92.33,92,89,89.16,1569947
20071105,87.96,89,88,88.81,334643
20071107,89.93,91,89,90.10,677362
20071110,90.10,92,90,90.70,1580551
20071111,90.10,91,89,90.19,1412597
20071112,90.10,91,89,89.93,1568658
20071113,88.99,90,89,89.33,759503
20071114,88.39,89,88,88.13,777035
20071117,88.39,90,87,88.90,542292
20071118,88.90,90,88,88.81,94237
20071119,88.81,89,87,88.56,100095
20071120,88.47,88,87,87.87,187232
20071121,87.27,88,86,86.50,582907
20071124,85.04,88,85,86.93,739736
20071125,87.44,88,86,87.01,496984
20071126,86.67,87,86,87.01,412281
20071127,85.81,87,85,85.81,552607
20071128,85.90,87,86,86.07,456132
20071201,85.81,86,85,85.73,506828
20071202,85.81,86,84,85.21,732615
20071203,84.10,86,84,85.21,792691
20071204,85.21,86,84,85.21,1614092
20071205,85.81,87,86,86.24,813663
20071208,87.96,88,88,87.96,397608
20071209,89.67,90,88,88.30,81010
20071210,90.02,90,90,90.02,446923
20071211,91.73,92,88,91.65,1525118
20071212,89.84,93,90,91.56,614993
20071215,93.36,93,92,92.50,222255
20071216,92.59,94,93,94.14,982134
20071217,92.50,95,92,94.31,173085
20071218,94.31,94,93,94.14,335761
20071219,94.39,94,92,93.79,256434
20071222,91.99,94,92,93.62,144651
20071223,91.82,94,92,91.90,397858
20071224,93.11,94,93,92.68,199730
20071225,92.59,94,92,92.93,327585
20071226,92.93,94,93,93.02,129010
20071230,91.30,93,91,92.68,146167
20071231,90.87,93,91,91.82,387853
20080101,92.42,94,92,92.50,337735
20080102,93.45,94,91,91.99,559074
20080105,91.73,92,90,91.05,394995
20080106,92.50,93,89,91.22,223488
20080108,92.42,93,90,91.22,118495
20080109,89.84,92,90,91.30,399357
20080112,90.96,92,90,91.22,636476
20080113,90.19,92,90,91.22,312495
20080114,91.39,92,90,90.62,933230
20080115,90.79,92,90,90.87,360249
20080116,90.79,92,89,89.76,812014
20080120,89.67,91,89,90.10,316121
20080121,89.33,91,88,89.59,346228
20080122,88.90,91,88,89.50,158998
20080123,89.24,91,89,89.76,260635
20080126,89.42,90,88,88.64,593830
20080127,87.01,88,87,87.87,333947
20080128,86.50,88,86,86.58,607065
20080129,88.30,88,86,86.50,271466
20080130,86.58,87,86,86.50,63049
20080202,85.98,88,86,86.41,150274
20080203,87.44,88,86,86.50,183178
20080204,85.90,86,85,86.24,261454
20080205,86.24,86,85,86.07,422877
20080206,85.81,86,85,85.98,415048
20080209,84.95,86,85,85.90,913430
20080210,85.90,87,85,85.90,168875
20080212,86.67,87,85,85.73,291962
20080213,85.81,86,86,85.73,348680
20080216,85.81,87,85,85.98,572483
20080217,85.90,88,86,86.07,180010
20080218,86.15,88,86,86.07,134310
20080219,85.90,88,86,86.07,224995
20080220,86.24,88,86,86.07,188522
20080223,87.10,87,86,86.41,263088
20080224,85.90,88,85,86.33,201570
20080225,86.33,87,86,86.33,23437
20080226,87.96,88,87,87.44,537864
20080302,87.53,88,86,87.36,187010
20080303,87.10,87,86,87.10,133194
20080304,85.81,87,86,86.67,249929
20080305,86.24,88,85,87.70,663104
20080309,89.42,89,89,89.42,12313975
20080310,91.13,91,91,91.13,752080
20080311,92.93,93,90,92.76,3120095
20080312,94.39,95,93,94.39,1042714
20080315,95.77,96,93,95.51,1115955
20080316,94.39,95,94,95.42,43989
20080317,93.53,95,94,95.42,8225
20080329,93.53,95,94,95.42,1010
20080330,93.53,95,94,95.42,908
20080405,93.53,95,94,95.34,22205
20080407,93.45,93,93,93.45,100
20080408,91.65,93,92,93.45,20
20080409,91.65,92,92,91.65,100
20080414,89.84,90,90,89.84,1710
20080415,88.13,88,88,88.13,1084792
20080416,88.13,88,86,86.41,1345855
20080419,88.13,88,87,87.53,545669
20080420,86.93,87,86,87.01,269154
20080421,87.01,88,86,86.84,87126
20080422,85.81,87,86,86.84,50399
20080423,86.84,87,86,86.76,65913
20080426,85.81,87,85,85.81,948996
20080427,86.67,87,86,85.81,223803
20080428,85.73,86,84,84.95,461097
20080429,84.27,85,83,84.61,190142
20080430,84.52,85,83,84.35,138280
20080503,84.01,84,83,84.18,129950
20080504,82.98,84,83,83.75,216576
20080505,84.70,85,83,83.84,99410
20080506,85.47,85,85,84.61,346294
20080507,85.12,86,85,84.87,210435
20080510,85.21,85,85,84.87,38814
20080511,86.58,87,85,84.95,40010
20080512,83.75,84,82,84.27,215010
20080513,82.12,85,82,84.01,297852
20080514,84.10,85,84,84.01,113041
20080517,85.64,86,83,84.01,35010
20080518,83.32,86,82,84.01,119414
20080519,84.10,85,84,84.01,27842
20080520,84.01,85,82,84.01,80010
20080521,84.01,86,83,85.04,512746
20080524,85.81,86,83,85.04,6470
20080525,83.84,86,83,84.95,48330
20080526,85.12,86,83,85.12,283231
20080527,85.90,86,86,85.81,2299377
20080528,85.81,86,86,85.81,537743
20080531,86.07,87,86,85.81,485877
20080601,85.81,86,86,85.81,474359
20080602,85.81,87,86,85.81,277520
20080608,85.81,86,86,85.81,171626
20080609,85.81,86,86,85.81,364163
20080610,85.81,86,86,85.81,660462
20080611,85.81,86,86,85.81,1098452
20080614,85.81,86,86,85.81,211823
20080615,85.81,86,86,85.81,212952
20080616,85.55,86,84,85.73,426052
20080618,84.10,85,83,85.04,249061
20080621,82.55,85,83,84.61,126449
20080622,84.78,85,82,84.01,197354
20080623,84.52,85,82,83.92,29010
20080624,81.52,84,81,83.84,38402
20080625,83.84,84,84,83.84,470
20080628,83.15,84,82,83.67,65031
20080629,82.38,83,81,83.49,57210
20080630,81.52,83,81,83.32,80630
20080701,81.52,86,82,82.38,15697462
20080702,81.44,85,81,83.15,352749
20080705,84.87,86,83,83.49,113890
