<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20081206,1957.30,1957.30,1911.00,1935.80,24280,21,13-كانه_فلزي6
20081207,1935.80,1935.80,1911.10,1911.40,105596,38,13-كانه_فلزي6
20081208,1911.40,1911.50,1911.20,1911.30,71635,28,13-كانه_فلزي6
20081210,1911.30,1911.60,1866.60,1866.60,95379,29,13-كانه_فلزي6
20081213,1866.60,1866.60,1799.90,1799.90,25746,16,13-كانه_فلزي6
20081214,1800.00,1800.00,1758.20,1758.20,898275,187,13-كانه_فلزي6
20081215,1758.20,1758.40,1758.10,1758.10,122098,45,13-كانه_فلزي6
20081216,1758.10,1759.90,1758.10,1759.90,619177,74,13-كانه_فلزي6
20081220,1761.20,1761.20,1761.20,1761.20,435434,66,13-كانه_فلزي6
20081221,1761.20,1763.50,1761.20,1763.50,774009,94,13-كانه_فلزي6
20081222,1765.40,1765.70,1756.30,1756.30,2626969,332,13-كانه_فلزي6
20081223,1756.30,1756.30,1746.80,1746.80,165632,56,13-كانه_فلزي6
20081224,1746.80,1746.90,1737.50,1737.50,424749,101,13-كانه_فلزي6
20081227,1737.50,1737.50,1728.60,1728.60,386484,94,13-كانه_فلزي6
20081228,1728.60,1728.60,1720.20,1720.20,94613,42,13-كانه_فلزي6
20081229,1720.20,1720.20,1719.90,1720.00,316048,68,13-كانه_فلزي6
20081230,1720.20,1722.20,1673.80,1673.80,867242,159,13-كانه_فلزي6
20081231,1673.80,1673.80,1626.60,1626.60,180072,71,13-كانه_فلزي6
20090103,1626.40,1626.60,1580.80,1580.80,426186,95,13-كانه_فلزي6
20090104,1543.80,1543.90,1536.60,1536.60,57779,24,13-كانه_فلزي6
20090105,1510.20,1512.40,1495.70,1495.70,20855176,1052,13-كانه_فلزي6
20090110,1480.00,1480.00,1470.30,1470.70,4559334,3060,13-كانه_فلزي6
20090111,1452.00,1452.00,1430.40,1432.00,3781355,1470,13-كانه_فلزي6
20090112,1414.50,1416.40,1401.70,1403.50,4012455,3824,13-كانه_فلزي6
20090113,1403.40,1403.40,1388.20,1390.10,2920040,622,13-كانه_فلزي6
20090114,1391.30,1391.30,1371.90,1372.90,9599822,957,13-كانه_فلزي6
20090117,1358.70,1359.50,1358.10,1358.10,2416532,633,13-كانه_فلزي6
20090118,1355.50,1363.10,1355.30,1356.50,873714,453,13-كانه_فلزي6
20090119,1353.60,1362.10,1351.90,1353.70,4140771,4539,13-كانه_فلزي6
20090120,1353.70,1363.70,1353.70,1363.70,807621,304,13-كانه_فلزي6
20090121,1364.60,1364.90,1364.60,1364.90,154512,94,13-كانه_فلزي6
20090124,1364.90,1402.40,1364.90,1401.50,9585889,1958,13-كانه_فلزي6
20090125,1400.40,1400.40,1381.30,1384.20,2677694,478,13-كانه_فلزي6
20090126,1384.10,1384.10,1377.60,1377.70,929374,532,13-كانه_فلزي6
20090127,1377.60,1377.70,1376.90,1377.50,679026,306,13-كانه_فلزي6
20090128,1378.50,1378.60,1377.30,1377.70,1685532,422,13-كانه_فلزي6
20090131,1378.80,1379.20,1378.50,1379.20,586078,311,13-كانه_فلزي6
20090201,1379.20,1379.40,1379.00,1379.00,299821,275,13-كانه_فلزي6
20090202,1379.00,1379.10,1377.60,1377.60,733283,433,13-كانه_فلزي6
20090203,1377.50,1377.50,1374.40,1374.40,493368,246,13-كانه_فلزي6
20090204,1374.40,1374.40,1368.80,1369.00,1283595,744,13-كانه_فلزي6
20090207,1367.40,1367.40,1363.10,1363.20,829448,224,13-كانه_فلزي6
20090208,1362.60,1362.60,1359.90,1360.00,1388397,244,13-كانه_فلزي6
20090209,1359.30,1359.30,1355.10,1355.60,480144,287,13-كانه_فلزي6
20090211,1355.10,1355.10,1353.20,1353.40,128018,141,13-كانه_فلزي6
20090214,1352.30,1352.30,1338.50,1338.60,182580,191,13-كانه_فلزي6
20090215,1332.20,1332.20,1319.20,1319.30,1906743,1148,13-كانه_فلزي6
20090217,1315.90,1315.90,1308.30,1308.30,750726,701,13-كانه_فلزي6
20090218,1307.70,1307.70,1301.20,1301.20,1943396,270,13-كانه_فلزي6
20090221,1300.60,1300.60,1297.00,1297.00,257242,300,13-كانه_فلزي6
20090222,1296.30,1296.30,1292.30,1292.50,351505,201,13-كانه_فلزي6
20090223,1292.00,1292.00,1290.20,1290.20,186597,163,13-كانه_فلزي6
20090225,1289.50,1289.50,1267.10,1267.10,1685996,559,13-كانه_فلزي6
20090228,1266.00,1266.00,1259.80,1259.80,3189301,505,13-كانه_فلزي6
20090301,1258.30,1258.30,1248.20,1248.40,2048299,453,13-كانه_فلزي6
20090302,1247.50,1247.50,1237.60,1237.60,1202831,579,13-كانه_فلزي6
20090303,1236.60,1236.60,1234.80,1234.80,184348,203,13-كانه_فلزي6
20090304,1233.60,1233.60,1230.10,1230.10,1185742,188,13-كانه_فلزي6
20090307,1229.10,1229.10,1227.10,1227.20,256587,194,13-كانه_فلزي6
20090308,1225.50,1225.50,1223.20,1223.80,500323,181,13-كانه_فلزي6
20090309,1223.00,1223.00,1221.20,1221.20,238751,194,13-كانه_فلزي6
20090310,1219.50,1219.50,1217.20,1217.30,378573,256,13-كانه_فلزي6
20090311,1215.70,1215.70,1214.50,1215.20,143455,130,13-كانه_فلزي6
20090314,1214.50,1214.50,1213.00,1213.10,173974,150,13-كانه_فلزي6
20090316,1211.80,1211.80,1209.60,1210.00,446933,185,13-كانه_فلزي6
20090317,1209.20,1209.20,1207.30,1207.30,306538,222,13-كانه_فلزي6
20090318,1206.90,1206.90,1205.80,1205.80,164803,129,13-كانه_فلزي6
20090325,1205.80,1205.80,1205.80,1205.80,15000,3,13-كانه_فلزي6
20090328,1205.20,1205.20,1199.80,1199.80,1634192,372,13-كانه_فلزي6
20090329,1194.60,1194.60,1193.70,1194.50,2186101,613,13-كانه_فلزي6
20090330,1194.60,1194.60,1194.10,1194.10,381402,172,13-كانه_فلزي6
20090331,1198.10,1198.10,1197.00,1197.10,1611394,441,13-كانه_فلزي6
20090404,1196.90,1196.90,1195.90,1195.90,259563,172,13-كانه_فلزي6
20090405,1179.10,1184.10,1179.10,1184.10,1668777,2086,13-كانه_فلزي6
20090406,1189.50,1207.10,1189.50,1207.10,1840285,1307,13-كانه_فلزي6
20090407,1208.10,1208.60,1208.10,1208.60,494584,341,13-كانه_فلزي6
20090408,1208.70,1210.30,1206.80,1210.30,1992573,693,13-كانه_فلزي6
20090411,1210.60,1227.90,1210.40,1227.90,1333432,450,13-كانه_فلزي6
20090412,1228.50,1228.80,1228.50,1228.70,440449,317,13-كانه_فلزي6
20090413,1228.60,1233.10,1228.60,1232.90,2710220,609,13-كانه_فلزي6
20090414,1231.80,1233.20,1230.50,1233.10,1343534,505,13-كانه_فلزي6
20090415,1233.30,1234.10,1233.20,1233.40,462014,239,13-كانه_فلزي6
20090418,1233.30,1233.40,1232.80,1232.80,360242,129,13-كانه_فلزي6
