<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20081213,4606.50,4606.50,4606.50,4606.50,1006
20090428,4560.00,4627.90,4560.00,4580.60,139162
20090627,5244.20,5244.20,5244.20,5244.20,156115
20090726,4900.30,4900.30,4900.30,4900.30,4500
20090729,4834.40,4834.40,4834.40,4834.40,20000
20090801,4789.40,4789.40,4789.40,4789.40,8738
20090802,4726.70,4726.70,4726.70,4726.70,15000
20090803,4666.60,4666.60,4666.60,4666.60,25000
20090804,4667.20,4667.20,4667.20,4667.20,4805
20090805,4713.80,4713.80,4713.80,4713.80,10000
20090808,4729.10,4750.20,4729.10,4750.20,17223
20090810,4753.40,4754.40,4753.40,4754.40,15644
20090811,4748.00,4772.60,4748.00,4772.60,17596
20090812,4818.40,4824.70,4818.40,4824.70,23300
20090817,4834.40,4834.40,4834.40,4834.40,197223
20090818,4860.20,4860.20,4860.20,4860.20,5000
20090822,4888.60,4923.90,4888.60,4923.90,20500
20090823,4988.80,4988.80,4988.80,4988.80,12600
20090824,5000.70,5003.80,5000.50,5000.50,71541
20090826,5055.70,5069.40,5055.70,5069.40,36000
20090829,5140.70,5140.70,5140.70,5140.70,12600
20090830,5152.30,5152.30,5152.30,5152.30,2000
20090831,5224.60,5224.60,5224.60,5224.60,12706
20090901,5300.10,5300.10,5300.10,5300.10,27900
20090902,5378.40,5378.40,5333.00,5333.00,68035
20090905,5372.50,5412.00,5372.50,5399.40,20000
20090906,5397.40,5397.40,5397.40,5397.40,470
20090908,5392.60,5392.60,5316.30,5340.00,36259
20090913,5261.70,5261.70,5261.70,5261.70,12859
20090914,5237.00,5237.00,5232.70,5232.70,18797
20090915,5217.90,5217.90,5217.90,5217.90,2445
20090916,5156.70,5156.70,5156.70,5156.70,10000
20090921,5121.80,5156.70,5121.80,5121.80,6000
20090923,5121.00,5121.00,5121.00,5121.00,253
20090927,5047.80,5047.80,5047.80,5047.80,20000
20090930,4991.80,4991.80,4977.90,4977.90,43000
20091003,4977.90,4977.90,4976.50,4977.10,37599
20091004,4976.50,4976.50,4976.50,4976.50,23323
20091005,4975.80,4975.80,4973.70,4974.30,89138
20091006,4973.80,4982.50,4973.70,4982.50,60000
20091007,5016.90,5040.50,5016.90,5040.50,51500
20091010,5071.80,5107.50,5071.80,5107.50,70000
20091011,5107.80,5107.80,5107.80,5107.80,10000
20091012,5107.80,5107.80,5036.80,5036.80,20050
20091013,4966.70,4966.70,4966.70,4966.70,105947
20091017,5020.30,5033.80,5020.30,5033.80,31308
20091018,5033.80,5034.50,5033.80,5034.50,5881
20091019,5090.00,5090.00,5090.00,5090.00,10000
20091020,5082.30,5082.30,5068.20,5068.20,18891
20091021,5067.90,5067.90,5066.10,5066.10,19867
20091024,5066.20,5109.90,5066.20,5109.90,50050
20091025,5130.60,5130.60,5130.60,5130.60,9948
20091027,5131.80,5131.80,5131.80,5131.80,2840
20091031,5117.70,5117.70,5066.50,5066.50,28863
20091102,5052.60,5052.60,5052.60,5052.60,2616
20091103,5038.10,5038.10,5019.00,5019.00,10000
