<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20081206,370.20,370.20,366.70,367.80,1689796,379,Top 50 Index
20081207,367.80,367.80,364.20,364.20,3309008,586,Top 50 Index
20081208,362.20,362.20,361.50,361.50,4889069,945,Top 50 Index
20081210,359.50,359.50,356.10,356.10,8583982,709,Top 50 Index
20081213,354.20,354.20,351.10,351.10,26202686,2010,Top 50 Index
20081214,351.00,351.00,345.80,345.80,13723487,1643,Top 50 Index
20081215,345.60,345.60,345.10,345.10,6034641,898,Top 50 Index
20081216,345.10,345.10,343.70,344.00,9473267,913,Top 50 Index
20081220,344.10,344.10,343.80,344.10,5405866,783,Top 50 Index
20081221,344.20,344.80,344.20,344.80,4900978,742,Top 50 Index
20081222,343.80,343.90,343.50,343.50,5932842,1060,Top 50 Index
20081223,343.60,343.60,342.00,342.10,3830692,871,Top 50 Index
20081224,342.20,342.30,341.80,341.80,6531166,1207,Top 50 Index
20081227,342.20,342.60,342.10,342.10,30854736,2134,Top 50 Index
20081228,341.00,341.00,340.40,340.40,14638070,1660,Top 50 Index
20081229,340.40,340.40,337.90,338.00,17152983,1503,Top 50 Index
20081230,337.00,337.00,334.30,334.30,22405711,1329,Top 50 Index
20081231,333.90,333.90,330.80,330.80,9716574,1177,Top 50 Index
20090103,330.80,331.20,329.20,329.50,9174914,1613,Top 50 Index
20090104,327.90,328.20,327.80,327.90,5043334,984,Top 50 Index
20090105,326.80,326.90,326.10,326.10,25684022,1857,Top 50 Index
20090110,325.50,325.50,325.00,325.10,12041768,3933,Top 50 Index
20090111,324.30,324.30,322.60,322.60,12474785,2786,Top 50 Index
20090112,321.90,321.90,321.00,321.10,18839376,5069,Top 50 Index
20090113,321.10,321.10,314.60,314.80,12783798,2408,Top 50 Index
20090114,314.90,314.90,313.90,314.30,13089203,3332,Top 50 Index
20090117,313.80,314.50,313.80,314.50,25327654,2105,Top 50 Index
20090118,314.50,315.30,314.50,315.10,25688113,1617,Top 50 Index
20090119,315.10,316.70,315.10,316.40,7929591,5448,Top 50 Index
20090120,317.50,318.70,317.50,318.20,4872933,1288,Top 50 Index
20090121,318.30,319.90,318.30,319.70,6536840,1518,Top 50 Index
20090124,319.70,324.60,319.70,323.90,71315472,4065,Top 50 Index
20090125,323.90,323.90,322.20,322.30,11459485,1952,Top 50 Index
20090126,322.30,322.40,321.80,321.80,15731734,2680,Top 50 Index
20090127,321.80,322.30,321.80,322.30,13268005,2226,Top 50 Index
20090128,322.40,322.50,322.20,322.20,7147769,1840,Top 50 Index
20090131,322.60,322.60,322.00,322.00,12179000,1978,Top 50 Index
20090201,322.30,322.30,321.40,321.40,14417518,1801,Top 50 Index
20090202,321.60,321.60,321.10,321.10,11093261,2260,Top 50 Index
20090203,321.20,321.20,320.90,320.90,8158341,1664,Top 50 Index
20090204,321.00,321.00,319.30,319.80,10670168,2381,Top 50 Index
20090207,319.80,319.90,319.60,319.60,12659888,1894,Top 50 Index
20090208,319.40,319.40,317.40,317.40,13887778,2083,Top 50 Index
20090209,317.40,317.40,316.80,316.80,8285692,1796,Top 50 Index
20090211,316.80,317.20,316.80,316.90,6567077,1112,Top 50 Index
20090214,317.00,317.30,316.40,316.40,7435889,1524,Top 50 Index
