<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20150223,9899.10,9940.00,989911.00,9939.30,314729140,30912,شاخص_كل_(هم_وزن)6
20150224,9911.20,9926.00,9893.40,9893.40,278521094,31899,شاخص_كل_(هم_وزن)6
20150225,9894.90,9895.00,9815.10,9815.10,271188153,28391,شاخص_كل_(هم_وزن)6
20150228,9818.10,9823.10,9794.40,9794.40,257849083,23864,شاخص_كل_(هم_وزن)6
20150301,9794.10,9811.50,9788.20,9811.40,475683577,37612,شاخص_كل_(هم_وزن)6
20150302,9815.80,9839.50,9815.80,9825.70,717632564,39724,شاخص_كل_(هم_وزن)6
20150303,9825.40,9829.10,9805.60,9806.20,563828250,34328,شاخص_كل_(هم_وزن)6
20150304,9813.60,9828.90,9813.60,9828.90,536513887,42539,شاخص_كل_(هم_وزن)6
20150308,9818.70,9821.80,9799.50,9799.70,318401856,32728,شاخص_كل_(هم_وزن)6
20150309,9806.10,9810.80,9791.70,9791.70,258376699,23737,شاخص_كل_(هم_وزن)6
20150310,9795.10,9795.10,9729.40,9729.50,293088969,31189,شاخص_كل_(هم_وزن)6
20150311,9736.50,9745.50,9730.10,9730.10,263287177,26888,شاخص_كل_(هم_وزن)6
20150314,9734.40,9810.90,9734.40,9810.90,524973256,42131,شاخص_كل_(هم_وزن)6
20150315,9840.70,9888.00,9840.70,9878.60,555231496,52297,شاخص_كل_(هم_وزن)6
20150316,9888.70,9890.20,9855.60,9855.60,773753824,54825,شاخص_كل_(هم_وزن)6
20150317,9851.50,9851.50,9743.70,9743.80,375675666,39695,شاخص_كل_(هم_وزن)6
20150318,9755.30,9862.00,9755.30,9861.50,766170725,74720,شاخص_كل_(هم_وزن)6
20150325,9868.60,9884.40,9868.60,9884.40,284988282,25255,شاخص_كل_(هم_وزن)6
20150328,9889.50,9980.20,9888.70,9980.20,572398187,52510,شاخص_كل_(هم_وزن)6
