<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20150224,9198.40,9212.10,9181.80,9181.80,278521094,31899,TotalEqualWeightPr
20150225,9183.30,9183.30,9109.20,9109.10,271188153,28391,TotalEqualWeightPr
20150228,9111.90,9116.60,9090.00,9090.00,257849083,23864,TotalEqualWeightPr
20150301,9014.40,9030.40,9009.00,9030.40,475683577,37612,TotalEqualWeightPr
20150302,9034.40,9056.20,9034.40,9043.50,717632564,39724,TotalEqualWeightPr
20150303,9043.30,9046.70,9025.00,9025.60,563828250,34328,TotalEqualWeightPr
20150304,9029.00,9043.00,9029.00,9043.00,536513887,42539,TotalEqualWeightPr
20150308,9033.60,9036.50,9015.90,9016.10,318401856,32728,TotalEqualWeightPr
20150309,9001.90,9006.30,8988.80,8988.80,258376699,23737,TotalEqualWeightPr
20150310,8991.90,8991.90,8931.50,8931.60,293088969,31189,TotalEqualWeightPr
20150311,8938.00,8946.30,8932.20,8932.20,263287177,26888,TotalEqualWeightPr
20150314,8936.20,9006.40,8936.20,9006.40,524973256,42131,TotalEqualWeightPr
20150315,9028.80,9072.20,9028.80,9063.60,555231496,52297,TotalEqualWeightPr
20150316,9072.90,9074.30,9042.60,9042.60,773753824,54825,TotalEqualWeightPr
20150317,9026.40,9026.40,8927.60,8927.70,375675666,39695,TotalEqualWeightPr
20150318,8938.20,9036.00,8938.20,9035.50,766170725,74720,TotalEqualWeightPr
20150325,9042.10,9056.50,9042.10,9056.50,284988282,25255,TotalEqualWeightPr
20150328,9053.30,9136.30,9052.60,9136.30,572398187,52510,TotalEqualWeightPr
20150329,9158.50,9289.50,9158.50,9288.80,943264725,66201,TotalEqualWeightPr
20150330,9290.20,9293.80,9226.30,9226.30,726293674,60749,TotalEqualWeightPr
20150331,9221.10,9240.90,9215.20,9228.70,615520282,53750,TotalEqualWeightPr
20150404,9252.10,9426.30,9252.10,9426.30,377740854,23107,TotalEqualWeightPr
20150405,9469.20,9666.80,9469.20,9666.80,1241892162,63885,TotalEqualWeightPr
20150406,9734.90,9734.90,9634.20,9634.30,3468340525,177280,TotalEqualWeightPr
20150407,9627.90,9627.90,9549.50,9549.50,1348343687,136029,TotalEqualWeightPr
20150408,9547.10,9571.40,9536.20,9565.90,1764432603,146160,TotalEqualWeightPr
20150411,9561.70,9562.00,9488.50,9488.50,1420866829,131465,TotalEqualWeightPr
20150412,9484.40,9484.40,9366.80,9366.80,1113319692,106789,TotalEqualWeightPr
20150413,9371.20,9377.80,9317.60,9319.40,1039215767,91467,TotalEqualWeightPr
