<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20190514,500.00,500,500,500.00,101483100,1378,Baran Life INS-a
20190515,500.00,500,500,500.00,2149500,167,Baran Life INS-a
20190518,500.00,500,500,500.00,19853000,1963,Baran Life INS-a
20190519,500.00,500,500,500.00,1279000,115,Baran Life INS-a
20190520,500.00,500,500,500.00,810000,72,Baran Life INS-a
20190521,500.00,500,500,500.00,1760000,157,Baran Life INS-a
20190522,500.00,500,500,500.00,1530000,149,Baran Life INS-a
20190525,500.00,500,500,500.00,770000,72,Baran Life INS-a
20190526,500.00,500,500,500.00,490000,49,Baran Life INS-a
20190528,500.00,500,500,500.00,15670000,865,Baran Life INS-a
20190529,500.00,500,500,500.00,479500,38,Baran Life INS-a
20190601,500.00,500,500,500.00,2180000,217,Baran Life INS-a
20190602,500.00,500,500,500.00,60690000,665,Baran Life INS-a
20190603,500.00,500,500,500.00,1309500,118,Baran Life INS-a
20190608,500.00,500,500,500.00,350000,35,Baran Life INS-a
20190609,500.00,500,500,500.00,300000,30,Baran Life INS-a
20190610,500.00,500,500,500.00,440000,44,Baran Life INS-a
20190611,500.00,500,500,500.00,410000,41,Baran Life INS-a
20190612,500.00,500,500,500.00,12190000,1039,Baran Life INS-a
20190615,500.00,500,500,500.00,410820,34,Baran Life INS-a
20190616,500.00,500,500,500.00,260000,26,Baran Life INS-a
20190617,500.00,500,500,500.00,140000,14,Baran Life INS-a
20190618,500.00,500,500,500.00,600000,60,Baran Life INS-a
20190619,500.00,500,500,500.00,750000,67,Baran Life INS-a
20190622,500.00,500,500,500.00,620000,62,Baran Life INS-a
20190623,500.00,500,500,500.00,630000,63,Baran Life INS-a
20190624,500.00,500,500,500.00,530000,49,Baran Life INS-a
20190625,500.00,500,500,500.00,24662000,302,Baran Life INS-a
20190626,500.00,500,500,500.00,467253580,701,Baran Life INS-a
