<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20151011,11.00,17,11,14.00,37498,8,زنجانح-ت
20151014,46.00,50,40,45.00,75438,6,زنجانح-ت
20151017,73.00,76,70,73.00,947600,11,زنجانح-ت
20151018,75.00,94,75,78.00,280898,10,زنجانح-ت
20151019,80.00,100,80,85.00,243868,9,زنجانح-ت
20151020,89.00,89,79,85.00,1037682,19,زنجانح-ت
20151021,87.00,87,87,87.00,17200,7,زنجانح-ت
20151025,87.00,87,70,79.00,301158,7,زنجانح-ت
20151026,86.00,86,86,86.00,190688,5,زنجانح-ت
20151027,86.00,99,86,92.00,605000,5,زنجانح-ت
20151028,86.00,89,85,86.00,522298,5,زنجانح-ت
20151031,80.00,80,80,80.00,25000,2,زنجانح-ت
20151101,80.00,81,80,80.00,600000,7,زنجانح-ت
20151104,70.00,70,51,62.00,509842,12,زنجانح-ت
20151107,70.00,70,70,70.00,15658,1,زنجانح-ت
20151108,55.00,69,51,62.00,196740,6,زنجانح-ت
20151109,51.00,51,51,51.00,100000,6,زنجانح-ت
20151110,53.00,53,53,53.00,10000,3,زنجانح-ت
20151111,52.00,54,52,53.00,41594,4,زنجانح-ت
20151114,55.00,55,51,52.00,588666,20,زنجانح-ت
20151115,45.00,51,45,47.00,604544,20,زنجانح-ت
20151116,47.00,47,40,45.00,152000,13,زنجانح-ت
20151117,36.00,39,35,37.00,1132220,15,زنجانح-ت
20151118,39.00,39,28,30.00,1177742,13,زنجانح-ت
20151121,25.00,33,24,28.00,857202,25,زنجانح-ت
20151122,30.00,30,20,23.00,2151020,36,زنجانح-ت
20151123,26.00,27,26,26.00,650000,20,زنجانح-ت
20151124,26.00,27,26,27.00,324000,16,زنجانح-ت
20151125,24.00,27,24,25.00,198000,8,زنجانح-ت
20151128,25.00,27,24,25.00,247726,15,زنجانح-ت
20151129,25.00,27,23,26.00,1306278,30,زنجانح-ت
20151130,27.00,28,20,24.00,3720132,44,زنجانح-ت
20151201,23.00,27,22,23.00,2118548,18,زنجانح-ت
20151205,23.00,31,22,26.00,4056126,41,زنجانح-ت
20151206,24.00,25,23,24.00,960000,11,زنجانح-ت
20151207,23.00,23,23,23.00,402294,10,زنجانح-ت
20151208,23.00,23,23,23.00,121836,3,زنجانح-ت
20151209,25.00,25,25,25.00,34360,1,زنجانح-ت
20151213,23.00,24,23,24.00,2486000,2,زنجانح-ت
20151214,24.00,25,22,24.00,927730,9,زنجانح-ت
20151215,26.00,29,24,27.00,226068,7,زنجانح-ت
20151216,28.00,33,26,32.00,464000,8,زنجانح-ت
20151219,28.00,28,28,28.00,164900,7,زنجانح-ت
20151220,28.00,28,20,21.00,1776000,14,زنجانح-ت
20151221,18.00,20,15,17.00,972424,22,زنجانح-ت
20151222,20.00,27,20,23.00,211672,9,زنجانح-ت
20151223,25.00,27,23,25.00,360000,7,زنجانح-ت
20151226,23.00,23,23,23.00,14700,3,زنجانح-ت
20151227,23.00,27,23,26.00,230000,6,زنجانح-ت
20151228,28.00,30,20,26.00,1700000,15,زنجانح-ت
20151230,23.00,31,20,28.00,3501946,51,زنجانح-ت
20160102,30.00,30,21,26.00,15337942,46,زنجانح-ت
20160103,28.00,32,27,29.00,810662,34,زنجانح-ت
20160104,29.00,29,15,20.00,2519704,45,زنجانح-ت
20160316,8.00,8,8,8.00,16000000,2,زنجانح-ت
20160326,6.00,6,6,6.00,16000000,2,زنجانح-ت
20160327,5.00,5,5,5.00,16000000,2,زنجانح-ت
20160328,5.00,5,5,5.00,16000000,2,زنجانح-ت
20160329,5.00,5,5,5.00,16000000,2,زنجانح-ت
20160330,5.00,5,5,5.00,16000000,2,زنجانح-ت
20160403,5.00,5,5,5.00,16000000,2,زنجانح-ت
20160406,5.00,5,5,5.00,16000000,2,زنجانح-ت
20160409,5.00,5,5,5.00,8000000,1,زنجانح-ت
20160412,5.00,5,5,5.00,8000000,1,زنجانح-ت
20160417,5.00,5,5,5.00,16000000,2,زنجانح-ت
20160418,5.00,5,5,5.00,16000000,2,زنجانح-ت
20160419,5.00,5,5,5.00,8000000,1,زنجانح-ت
20160420,5.00,5,5,5.00,16000000,1,زنجانح-ت
20160427,5.00,5,5,5.00,16000000,2,زنجانح-ت
20160430,5.00,5,5,5.00,16000000,2,زنجانح-ت
20160501,5.00,5,5,5.00,4408590,1,زنجانح-ت
20160503,3.00,3,3,3.00,16000000,3,زنجانح-ت
20160504,3.00,3,3,3.00,16000000,2,زنجانح-ت
20160507,3.00,3,3,3.00,16000000,2,زنجانح-ت
20160508,3.00,3,3,3.00,16000000,2,زنجانح-ت
20160509,3.00,3,3,3.00,16000000,2,زنجانح-ت
20160510,1.00,1,1,1.00,337242100,2,زنجانح-ت
20171122,82.00,82,82,82.00,7022842,558,زنجانح-ت
20171125,80.00,80,74,75.00,23784793,1364,زنجانح-ت
20171126,71.00,75,68,69.00,13416846,713,زنجانح-ت
20171128,75.00,75,75,75.00,2803397,160,زنجانح-ت
20171129,82.00,82,82,82.00,735684,37,زنجانح-ت
