<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20040630,932.99,933,933,932.99,1351276
20040703,979.64,980,980,979.64,648724
20040704,1028.45,1028,1028,1028.45,500000
20040705,1079.76,1080,1080,1079.76,500000
20040706,1079.76,1123,1026,1056.79,488002
20040713,1056.08,1056,967,988.97,5868
20040714,939.81,985,940,985.38,3795
20040717,936.22,974,936,973.54,13490
20040718,925.10,968,925,967.80,6315
20040724,919.72,963,920,962.78,5817
20040725,914.69,959,915,959.19,3781
20040727,911.46,959,911,958.83,322
20040728,911.10,947,911,946.99,13839
20040731,899.98,938,900,938.38,10010
20040801,891.73,936,892,935.86,3004
20040802,889.21,934,889,934.07,1812
20040803,887.42,929,887,928.69,6290
20040804,882.40,927,882,926.89,2020
20040807,880.60,923,881,923.30,4010
20040808,877.37,901,877,901.41,26396
20040815,856.56,901,857,901.41,424
20040818,856.56,899,857,899.26,2380
20040905,854.41,854,854,854.41,200
20040906,811.70,812,812,811.70,25000
20040907,771.15,771,771,771.15,57700
20040908,732.76,733,733,732.76,99512
20040911,732.76,764,698,729.17,44385
20040912,729.17,731,729,729.17,18495
20040914,738.86,754,732,738.14,47264
20040915,731.32,772,731,743.16,14172
20040918,780.13,780,744,744.24,1927
20040919,781.20,781,765,764.70,31510
20040920,781.20,803,754,777.61,122548
20040921,777.61,815,778,793.40,38668
20040922,816.37,833,802,802.37,16265
20040925,832.52,833,807,806.68,8122
20040926,846.15,846,811,810.63,7532
20040927,825.34,825,811,810.99,14409
20040928,824.26,825,789,808.83,14411
20040929,788.38,825,788,807.04,93167
20041002,766.85,804,767,804.17,3767
20041003,816.37,816,804,804.89,6782
20041004,764.70,802,765,802.37,3338
20041005,762.54,774,763,773.67,40010
20041006,753.57,767,736,766.85,10857
20041009,728.81,761,729,760.75,15084
20041010,724.86,756,724,755.72,9376
20041011,723.79,754,724,749.62,30809
20041012,749.62,752,750,749.62,10933
20041013,749.62,764,750,761.11,59910
20041016,762.54,766,761,761.11,1990
20041018,799.14,799,761,761.47,1010
20041019,799.50,800,792,791.61,45125
20041020,799.86,801,797,796.99,37877
20041023,836.82,837,801,804.17,11110
20041024,804.53,843,805,808.12,7752
20041025,816.37,836,816,816.37,19272
20041026,816.73,817,804,815.29,4798
20041027,815.65,816,789,810.99,19592
20041030,810.99,815,811,810.99,38844
20041031,796.63,807,797,805.96,19737
20041101,805.96,806,782,804.53,12238
20041102,796.27,804,796,804.17,2110
20041103,784.79,803,785,803.09,2279
20041106,788.74,803,789,802.73,32
20041108,767.92,800,768,800.22,4022
20041109,785.51,797,785,794.48,26675
20041110,802.37,807,794,796.63,23535
20041113,821.75,826,812,812.06,34196
20041115,825.34,853,825,851.89,216928
20041116,894.24,894,854,878.81,157968
20041117,915.05,915,879,883.47,10791
20041120,897.11,897,884,883.83,2788
20041121,861.22,881,861,880.60,7328
20041122,878.81,880,879,880.24,1036
20041123,850.46,878,850,878.45,3337
20041124,853.33,871,845,871.27,12410
20041129,827.85,868,828,868.40,4051
20041130,824.98,868,825,867.68,873
20041201,824.62,897,825,860.51,31964
20041204,893.52,903,873,873.42,20692
20041205,916.84,917,917,916.84,142200
20041206,962.42,962,961,962.06,194960
20041207,1010.14,1010,962,994.00,112697
20041211,994.00,998,972,994.00,44991
20041212,972.82,973,958,962.42,59969
20041213,957.39,957,919,956.32,34920
20041214,952.73,968,921,958.83,64778
20041215,967.08,968,933,963.85,69961
20041218,968.52,1012,969,976.41,76468
20041219,976.05,1023,976,983.59,69736
20041220,1022.70,1033,1023,1026.29,51628
20041221,1022.34,1023,1022,1022.70,48356
20041222,1022.70,1023,980,1011.94,23219
20041225,1011.94,1012,1005,1010.86,19207
20041226,1003.33,1003,961,962.42,56508
20041227,914.69,915,914,914.33,125546
20041228,914.33,960,914,928.33,35442
20041229,969.24,969,951,950.94,31871
20050101,968.16,968,912,935.86,98626
20050102,897.11,945,897,934.43,17787
20050103,933.35,964,933,938.73,13164
20050104,954.52,961,938,947.35,75968
20050105,947.35,967,947,953.09,17806
20050108,958.11,969,916,951.65,34508
20050109,964.21,965,937,949.14,22352
20050110,925.82,940,916,939.81,19213
20050111,940.17,940,939,939.45,4151
20050112,939.09,965,915,935.15,14300
20050115,915.77,956,916,936.58,6843
20050116,954.52,955,915,935.50,18078
20050117,914.69,927,890,927.25,18918
20050118,903.57,926,904,926.17,1940
20050119,897.11,924,893,923.66,4088
20050123,878.81,923,879,922.95,810
20050124,878.81,888,879,888.50,43348
20050130,879.17,888,879,888.14,410
20050131,861.22,885,861,884.91,6008
20050201,871.63,881,861,880.60,11875
20050202,860.15,880,860,879.53,2110
20050205,858.35,877,858,877.01,5734
20050206,843.64,875,833,875.22,2250
20050207,831.80,873,832,873.42,2260
20050208,830.00,872,830,871.99,1508
20050213,828.57,868,829,868.04,5010
20050214,824.98,858,825,841.13,37845
20050216,799.14,835,799,835.03,7895
20050221,793.40,861,793,805.96,43500
20050222,846.15,846,809,809.19,5010
20050223,809.19,809,809,809.19,1500
20050226,847.95,848,812,812.42,4740
20050228,848.31,849,817,817.09,7800
20050301,812.78,816,813,816.37,5519
20050305,854.05,857,819,818.52,3225
20050306,859.43,859,825,824.98,9264
20050307,865.89,866,838,838.26,18396
20050308,860.87,880,856,855.84,27104
20050309,855.12,899,854,879.88,35137
20050312,836.11,924,836,913.97,56230
20050313,959.55,960,960,959.55,62391
20050314,960.27,961,959,959.19,28790
20050315,959.19,959,959,959.19,910
20050316,957.39,959,957,958.83,754
20050326,915.05,957,915,957.39,1566
20050327,915.05,956,915,955.96,1781
20050328,915.05,950,911,949.86,7365
20050329,904.29,948,902,948.42,1510
20050330,904.29,944,904,944.48,5010
20050404,968.88,983,946,951.65,26733
20050405,951.29,952,951,951.29,7509
20050411,932.99,950,933,949.86,4010
20050412,924.02,949,918,948.78,1410
20050413,914.33,947,914,947.35,2010
20050416,913.26,933,913,932.99,23106
20050418,886.34,932,886,931.92,965
20050419,885.63,927,886,926.89,5672
20050423,880.60,925,881,925.46,1627
20050424,879.53,923,880,922.95,2850
20050425,877.01,921,877,921.15,2044
20050430,875.22,918,875,917.56,4234
20050501,871.99,916,872,915.77,1960
20050502,870.20,910,870,910.39,6260
20050503,865.17,909,865,908.95,1700
20050504,863.74,906,864,906.44,3105
20050510,861.22,884,861,883.83,27850
20050511,839.69,872,840,871.99,15010
20050514,828.57,857,829,856.56,23775
20050515,839.69,861,840,851.89,24002
20050517,841.85,852,842,851.54,1008
20050518,850.46,850,844,849.38,16649
20050521,844.36,849,844,849.02,1920
20050522,844.72,879,845,868.40,58214
20050523,845.08,867,845,867.32,1848
20050524,868.40,894,858,866.25,21782
20050525,857.99,866,858,865.89,2071
20050528,889.93,890,867,866.61,2005
20050529,869.84,894,869,872.71,19123
20050530,873.07,911,873,879.88,14089
20050531,915.05,924,880,900.70,38317
20050905,681.80,682,682,681.80,2044
20050906,647.71,680,648,680.37,1850
20050910,646.64,680,647,679.65,1110
20050913,645.92,680,646,679.65,286
20050917,645.92,679,646,678.93,1110
20050918,645.20,677,645,677.50,2010
20050924,643.77,677,644,677.50,287
20051001,643.77,674,644,673.91,5553
20051010,640.54,671,641,670.68,5010
20051011,637.31,667,637,667.45,5010
20051012,634.08,664,634,664.22,5010
20051016,631.21,660,631,659.91,7010
20051017,627.26,658,627,658.48,2010
20051018,625.82,657,626,657.04,2011
20051019,624.39,656,624,655.61,2010
20051023,622.95,654,623,654.17,2010
20051024,621.52,652,622,652.02,3121
20051026,619.72,651,620,650.58,2010
20051029,618.29,649,618,649.15,2010
20051030,616.85,648,617,647.71,2010
20051031,615.42,646,615,646.28,2010
20051101,613.98,645,614,644.84,2010
20051102,612.90,643,613,643.41,2010
20051106,611.47,642,611,641.97,2060
20051107,610.03,610,610,610.03,2000
20051108,579.53,580,580,579.53,1000
20051109,550.82,579,551,578.81,1010
20051116,567.33,578,567,578.10,2010
20051119,566.61,578,567,577.74,1403
20051120,566.25,577,566,577.02,2010
20051121,565.54,577,566,576.66,1010
20051122,565.18,576,565,576.30,1010
20051123,564.82,575,565,575.23,4990
20051126,563.74,604,564,572.36,121290
20051127,600.70,601,581,595.32,65854
20051129,610.03,610,596,596.40,4284
20051130,609.67,610,585,591.73,30748
20051203,606.45,620,600,599.99,35183
20051204,620.80,622,609,608.60,23380
20051205,578.46,606,578,606.09,4440
20051206,606.09,606,606,606.09,19010
20051210,581.33,601,581,601.42,10010
20051211,630.85,631,605,604.65,7377
20051213,575.23,599,575,598.55,11010
20051214,595.68,597,569,597.47,2630
20051217,598.19,599,585,596.04,5210
20051218,566.25,596,566,595.68,100
20051219,566.97,594,566,593.53,4006
20051221,583.48,592,583,591.73,7900
20051224,583.48,591,583,591.37,60
20051225,581.33,591,581,591.02,1237
20051226,574.15,590,574,589.94,3010
20051227,560.51,585,561,584.56,10196
20051228,570.20,583,570,582.76,7263
20051231,591.73,592,583,582.76,285
20060101,590.30,590,558,581.69,2310
20060102,559.80,581,558,580.61,1894
20060104,560.15,577,559,577.02,9155
20060109,559.80,572,556,572.36,12721
20060110,560.15,571,560,571.28,3465
20060114,556.21,569,556,569.13,7510
20060115,556.21,569,554,568.77,901
20060116,549.03,565,549,564.82,11599
20060117,536.83,564,537,564.10,1040
20060118,536.83,561,536,561.23,5675
20060124,562.31,562,561,561.23,640
20060130,551.90,561,552,560.87,1300
20060201,538.27,557,538,556.92,9663
20060204,549.03,556,529,556.21,2234
20060227,545.08,563,545,555.49,16311
20060228,545.08,554,545,554.41,4089
20060301,545.44,554,545,554.05,931
20060304,562.67,563,555,555.13,8910
20060305,555.13,562,555,555.13,37943
20060306,552.26,561,552,555.13,5311
20060307,552.62,555,553,554.77,1640
20060308,545.44,554,545,554.41,1678
20060311,545.44,554,545,554.05,995
20060312,545.44,554,545,553.70,555
20060313,545.44,553,545,553.34,2010
20060314,545.44,553,545,552.98,1848
20060315,552.62,553,553,552.62,258
20060319,552.62,563,553,552.62,1869
20060415,562.67,563,542,554.05,12040
20060418,554.41,565,543,550.47,28432
20060419,561.23,561,553,552.62,11223
20060422,556.21,556,553,552.62,2010
20060423,552.62,553,552,552.26,9205
20060425,563.03,563,553,552.62,2795
20060426,563.38,563,553,553.34,4482
20060429,564.10,564,553,553.34,140
20060430,564.10,564,554,554.41,6680
20060501,565.18,565,555,555.13,5234
20060502,565.18,565,559,558.72,20855
20060503,559.08,567,559,558.72,4310
20060506,564.82,567,561,560.51,17010
20060517,520.32,520,520,520.32,1000
20060529,509.92,519,510,519.25,5010
20060612,509.20,509,509,509.20,60679
20060613,499.15,507,499,507.05,10535
20060614,497.00,504,497,504.18,14523
20060617,499.51,503,500,503.46,10010
20060620,493.41,502,493,502.02,6860
20060624,492.33,502,492,501.66,1010
20060625,492.33,501,492,500.95,3784
20060701,491.26,500,491,500.23,2915
20060703,490.54,499,491,499.15,4674
20060704,489.46,499,489,498.79,510
20060711,489.10,498,489,498.43,2020
20060712,488.74,494,489,494.13,24547
20060715,484.44,493,484,493.05,4430
20060719,483.36,490,483,490.18,15335
20060722,480.49,489,480,489.10,4779
20060724,479.41,489,479,488.74,323
20060731,479.06,488,479,488.39,1010
20060802,478.70,488,479,488.03,750
20060806,484.44,484,478,483.72,24369
20060807,474.39,482,474,481.93,10010
20060814,472.60,481,473,481.21,3450
20060815,472.60,475,472,475.47,33010
20060819,466.14,475,466,474.75,4313
20060820,483.72,484,484,483.72,68402
20060821,484.44,491,484,483.72,5503
20060827,493.05,493,485,485.16,10687
20060828,493.05,493,485,485.16,1205
20060830,494.85,495,487,486.95,10771
20060903,496.64,497,497,496.64,62170
20060904,506.33,506,497,496.64,1310
20060905,506.33,506,501,500.59,23010
20060906,501.66,502,501,500.59,1909
20060910,509.56,510,502,501.66,7460
20060913,509.56,510,502,502.38,6686
20060919,512.43,512,502,502.38,1490
20060923,512.43,512,505,504.89,14950
20060927,514.94,515,508,507.76,16909
20060930,514.94,515,511,510.63,28202
20061001,512.07,512,511,510.99,16854
20061002,510.63,511,508,510.63,841
20061003,502.38,510,502,510.28,899
20061004,502.38,510,502,509.56,4241
20061008,502.38,508,502,508.48,7977
20061009,508.48,508,508,508.48,3000
20061010,507.40,508,507,508.12,4230
20061016,498.07,506,498,505.97,12960
20061023,507.05,507,506,506.33,16921
20061028,506.33,506,506,506.33,2000
20061030,506.33,506,506,506.33,10
20061031,506.33,506,506,506.33,2460
20061105,506.33,506,506,505.97,5401
20061106,506.33,506,506,506.33,11609
20061108,506.33,516,506,507.40,16175
20061112,498.79,507,499,506.69,3800
20061119,516.73,517,507,507.05,2870
20061125,507.05,507,507,507.05,11328
20061128,507.05,517,507,507.40,5965
20061203,507.76,508,507,507.40,965
20061205,510.63,511,507,507.40,965
20061206,516.73,517,508,507.76,1150
20061209,516.73,517,508,508.12,3629
20061210,511.71,512,509,508.84,10110
20061211,510.28,510,509,508.84,965
20061213,510.28,510,509,508.84,1055
20061217,510.28,510,509,508.84,2454
20061220,498.79,508,499,508.48,2965
20061223,500.59,508,501,507.76,5010
20061226,500.59,507,501,507.40,2350
20070101,497.36,507,497,507.40,910
20070107,497.36,507,497,507.05,1080
20070109,497.00,507,497,506.69,1374
20070116,496.64,506,497,506.33,1140
20070121,496.28,506,496,506.33,1010
20070122,496.28,506,496,506.33,360
20070124,496.28,496,496,496.28,56000
20070128,486.59,496,487,494.49,22679
20070203,495.20,495,494,494.49,2063
20070207,495.20,495,494,494.49,5010
20070210,485.52,501,486,495.20,12009
20070212,502.38,502,495,495.20,640
20070214,504.89,505,505,504.89,61910
20070218,505.25,515,505,507.76,17965
20070220,517.81,518,518,517.81,67803
20070221,527.86,528,518,517.81,510
20070226,527.86,528,520,519.61,10641
20070227,529.65,530,524,523.91,23229
20070228,534.32,534,524,523.91,482
20070303,534.32,534,531,531.45,40430
20070304,541.85,542,535,535.39,21764
20070305,545.80,546,536,535.75,2410
20070306,546.16,546,543,543.29,41367
20070307,543.29,553,543,543.29,23255
20070314,552.62,553,543,544.72,14558
