<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010325,7319.36,7319,7319,7318.88,1650
20010327,7315.97,7319,7316,7319.36,1600
20010328,7319.36,7319,7319,7319.36,1363
20010331,7322.27,7326,7322,7325.66,500
20010403,7326.15,7326,7326,7326.15,200
20010408,7319.85,7326,7320,7326.15,700
20010409,7412.87,7461,7374,7461.32,4875
20010410,7509.77,7752,7510,7752.02,7962
20010411,7755.42,7806,7755,7805.80,2100
20010414,7848.93,7907,7849,7907.07,2536
20010415,7947.76,8302,7946,8302.42,4237
20010416,8509.79,8510,8510,8509.79,2500
20010418,8722.48,8722,8722,8722.48,1113
20010421,8809.69,8810,8810,8809.69,1011
20010422,8897.39,8897,8897,8897.39,6857
20010423,8986.05,8986,8986,8986.05,6240
20010424,9075.68,9076,9076,9075.68,12765
20010425,8985.08,8985,8985,8985.08,1907
20010428,8982.66,8990,8983,8990.41,8177
20010429,8997.19,9080,8990,8990.41,68006
20010430,9080.04,9080,9080,9080.04,37172
20010704,6429.34,6429,5577,6429.34,22100
20010707,6493.29,6493,6365,6365.38,35882
20010708,6301.91,6374,6302,6301.91,15834
20010709,6238.93,6239,6239,6238.93,1020
20010710,6176.91,6177,6177,6176.91,2642
20010711,6022.84,6023,6023,6022.84,1078
20010714,5872.64,6023,5873,6022.84,34426
20010715,6020.90,6021,5909,5908.98,7330
20010716,5906.56,5909,5862,5862.47,3339
20010717,5861.98,5862,5814,5814.02,19100
20010718,5816.44,5959,5814,5959.37,4826
20010722,6108.11,6108,6108,6108.11,1504
20010729,6783.02,6783,6415,6775.27,31463
20010730,6774.79,7025,6775,6783.02,50619
20010731,6783.02,6783,6492,6492.81,21495
20010801,6492.32,6493,6420,6491.84,22473
20010804,6615.87,6667,6491,6492.32,31734
20010805,6546.58,6547,6492,6519.94,30400
20010806,6531.08,6531,6492,6492.81,99855
20010807,6511.70,6638,6492,6526.72,379177
