<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160127,698.33,698,698,698.33,130000000
20160130,733.01,733,733,733.01,149044
20160131,769.57,770,770,769.57,645571
20160201,808.00,808,774,796.28,77900408
20160202,796.75,815,778,790.66,20342139
20160203,781.75,782,759,770.97,10710529
20160206,769.57,805,762,788.32,12703644
20160207,797.22,819,792,805.19,11838253
20160208,792.06,808,785,794.41,14853355
20160209,800.97,815,770,798.16,20290438
20160210,771.44,791,759,767.69,9844588
20160213,777.54,778,733,744.73,6736821
20160214,740.04,755,727,738.64,3294526
20160215,737.23,764,733,744.73,6222669
20160216,736.29,748,721,727.86,5814443
20160217,728.32,745,712,725.98,9804625
20160220,731.61,743,722,730.67,7027631
20160221,745.20,745,722,730.67,6721656
20160222,726.45,764,726,748.48,8466636
20160223,755.98,759,732,742.38,4076574
20160224,732.54,748,729,735.35,2978658
20160227,748.48,750,731,736.76,2531880
20160228,735.82,736,714,721.76,4129038
20160229,721.76,733,712,716.14,2696980
20160301,716.61,722,708,713.33,3714120
20160302,714.73,721,703,708.17,3478499
20160305,708.64,741,709,732.07,5090218
20160306,733.48,740,708,718.95,2819876
20160307,713.33,722,706,710.51,4331694
20160308,712.39,717,706,709.11,3081972
20160309,708.64,712,704,707.23,2387960
20160312,707.70,726,704,715.67,4321742
20160314,712.86,731,706,712.39,4842722
20160315,712.39,717,701,705.36,2297656
20160316,703.48,708,694,699.74,4035059
20160326,707.70,716,689,701.14,2019776
20160327,707.70,708,698,702.55,1343101
20160328,703.02,707,694,699.27,1645185
20160329,695.99,702,694,696.45,1841778
20160330,698.33,707,694,697.39,1351829
20160402,702.55,711,698,703.02,2262395
20160403,703.02,705,694,700.20,1846333
20160404,700.67,722,696,711.45,3652602
20160405,722.70,747,714,741.92,10311527
20160406,746.13,773,730,748.48,3784258
20160409,735.82,738,718,725.98,1936341
20160410,725.98,731,713,717.54,1257639
20160411,715.20,734,715,724.57,768502
20160412,719.42,731,716,718.95,1066535
20160413,717.08,717,708,712.39,1411810
20160416,725.98,726,690,696.45,2788429
20160417,685.67,708,686,701.14,1508254
20160418,707.70,730,708,725.04,1686508
20160419,730.20,730,709,716.14,1140112
20160420,710.05,730,710,722.23,4193902
20160423,712.39,730,712,721.29,2563526
20160424,721.76,735,722,728.79,1358970
20160425,731.14,734,722,729.73,1426531
20160426,722.23,745,718,733.48,2086415
20160427,742.85,755,733,745.67,2728743
20160430,735.82,754,736,744.26,1010682
